model_label,endpoint,selector,non_thinking_layer,native_thinking_layer,non_thinking_confirmation,native_thinking_confirmation,native_minus_non
Gemma4-E4B,final_count,fisher_trace,41,40,337.1998809506127,1239.0225783508859,901.8226974002732
Gemma4-E4B,final_count,isotropic_snr,41,37,-0.7515407497159453,-0.9536744824544331,-0.20213373273848778
Gemma4-E4B,final_count,mahalanobis_silhouette,41,41,0.12280579453864415,0.248670268930409,0.12586447439176485
Gemma4-E4B,final_count,ordinal_rsa,16,5,0.9600979317171989,0.9501739225721512,-0.009924009145047763
Gemma4-E4B,running_index,fisher_trace,10,13,131.6520425710017,61.13941275140247,-70.51262981959923
Gemma4-E4B,running_index,isotropic_snr,39,22,-6.84619138032166,-3.1899020621756424,3.656289318146017
Gemma4-E4B,running_index,mahalanobis_silhouette,22,16,0.10851129292258066,0.1954036516892401,0.08689235876665943
Gemma4-E4B,running_index,ordinal_rsa,11,1,0.7383729220268378,0.8099057127770475,0.07153279075020968
Qwen3-8B,final_count,fisher_trace,23,35,141.28358558641617,1150.0889678135945,1008.8053822271784
Qwen3-8B,final_count,isotropic_snr,35,34,-1.7791534039588044,3.1475894448247748,4.926742848783579
Qwen3-8B,final_count,mahalanobis_silhouette,35,35,0.16438346693467581,0.7726862834793639,0.608302816544688
Qwen3-8B,final_count,ordinal_rsa,17,12,0.9771485783019789,0.9317245901347135,-0.04542398816726534
Qwen3-8B,running_index,fisher_trace,13,18,217.44515135775103,24.514575717179298,-192.93057564057173
Qwen3-8B,running_index,isotropic_snr,19,18,-4.0400678063342585,-5.246451219199489,-1.2063834128652307
Qwen3-8B,running_index,mahalanobis_silhouette,15,18,0.18134812686450014,0.1002536166613078,-0.08109451020319233
Qwen3-8B,running_index,ordinal_rsa,0,16,0.7817987875474491,0.7398382119677174,-0.04196057557973176
