model_label,endpoint,mode,selector,discovery_metric,confirmation_metric,selected_layer,discovery_value,confirmation_value,pca_components,discovery_rows,confirmation_rows
Gemma4-E4B,final_count,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,40,1294.5726317764904,1239.0225783508859,16,200,100
Gemma4-E4B,final_count,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,41,369.13686976223187,337.1998809506127,16,200,100
Gemma4-E4B,final_count,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,37,-0.19343613612625066,-0.9536744824544331,16,200,100
Gemma4-E4B,final_count,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,41,-3.2944441680467875,-0.7515407497159453,16,200,100
Gemma4-E4B,final_count,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,41,0.2604400825633441,0.248670268930409,16,200,100
Gemma4-E4B,final_count,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,41,-0.007616472562863874,0.12280579453864415,16,200,100
Gemma4-E4B,final_count,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,5,0.8883520078846795,0.9501739225721512,16,200,100
Gemma4-E4B,final_count,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,16,0.9169251617318304,0.9600979317171989,16,200,100
Gemma4-E4B,running_index,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,13,70.78190685876928,61.13941275140247,16,1045,519
Gemma4-E4B,running_index,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,10,140.0188704521489,131.6520425710017,16,1100,550
Gemma4-E4B,running_index,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,22,-2.0549298600084582,-3.1899020621756424,16,1045,519
Gemma4-E4B,running_index,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,39,-4.429378369991541,-6.84619138032166,16,1100,550
Gemma4-E4B,running_index,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,16,0.2350921496533084,0.1954036516892401,16,1045,519
