"pca_dim","model_label","endpoint","selector","non_thinking_layer","native_thinking_layer","non_thinking_confirmation","native_thinking_confirmation","native_minus_non"
"2","Gemma4-E4B","final_count","fisher_trace","29","32","80.78233417692509","123.34446570388823","42.56213152696314"
"4","Gemma4-E4B","final_count","fisher_trace","37","34","135.4826767079827","251.2223495112968","115.73967280331411"
"8","Gemma4-E4B","final_count","fisher_trace","41","38","282.42451748293087","538.25564809518","255.83113061224918"
"16","Gemma4-E4B","final_count","fisher_trace","41","40","337.1998809506127","1239.0225783508859","901.8226974002732"
"32","Gemma4-E4B","final_count","fisher_trace","41","40","671.0537912234743","3039.7819765263525","2368.728185302878"
"2","Gemma4-E4B","final_count","isotropic_snr","33","33","14.999112646733339","14.80259412306319","-0.19651852367014833"
"4","Gemma4-E4B","final_count","isotropic_snr","41","36","9.468409628652193","9.914002342521226","0.44559271386903276"
"8","Gemma4-E4B","final_count","isotropic_snr","41","36","1.9266852402274353","2.918553660780285","0.9918684205528496"
"16","Gemma4-E4B","final_count","isotropic_snr","41","37","-0.7515407497159453","-0.9536744824544331","-0.20213373273848778"
"32","Gemma4-E4B","final_count","isotropic_snr","40","39","-3.360488594884022","-3.6847706322515723","-0.3242820373675501"
"2","Gemma4-E4B","final_count","mahalanobis_silhouette","41","39","0.17633595452471978","0.25599297322148007","0.07965701869676028"
"4","Gemma4-E4B","final_count","mahalanobis_silhouette","41","39","0.1518546487137125","0.2665768704876027","0.11472222177389022"
"8","Gemma4-E4B","final_count","mahalanobis_silhouette","41","41","0.14071846300889912","0.26731481822688397","0.12659635521798485"
"16","Gemma4-E4B","final_count","mahalanobis_silhouette","41","41","0.12280579453864415","0.248670268930409","0.12586447439176485"
"32","Gemma4-E4B","final_count","mahalanobis_silhouette","38","41","0.1013355789011809","0.2239376537347892","0.12260207483360828"
"2","Gemma4-E4B","final_count","ordinal_rsa","18","9","0.851000435209896","0.9516392125130307","0.10063877730313475"
"4","Gemma4-E4B","final_count","ordinal_rsa","16","7","0.929593259311616","0.9572339559236617","0.027640696612045712"
"8","Gemma4-E4B","final_count","ordinal_rsa","6","3","0.9761495169786519","0.9789468886839674","0.0027973717053154656"
