"pca_dim","model_label","endpoint","mode","selector","discovery_metric","confirmation_metric","selected_layer","discovery_value","confirmation_value","pca_components","discovery_rows","confirmation_rows"
"2","Gemma4-E4B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","32","123.59302354318174","123.34446570388823","2","200","100"
"4","Gemma4-E4B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","34","250.58830702735744","251.2223495112968","4","200","100"
"8","Gemma4-E4B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","38","555.7525850453743","538.25564809518","8","200","100"
"16","Gemma4-E4B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","40","1294.5726317764904","1239.0225783508859","16","200","100"
"32","Gemma4-E4B","final_count","native_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","40","3319.6896057548156","3039.7819765263525","32","200","100"
"2","Gemma4-E4B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","29","81.27980009885614","80.78233417692509","2","200","100"
"4","Gemma4-E4B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","37","133.58652616690566","135.4826767079827","4","200","100"
"8","Gemma4-E4B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","41","288.4991382826869","282.42451748293087","8","200","100"
"16","Gemma4-E4B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","41","369.13686976223187","337.1998809506127","16","200","100"
"32","Gemma4-E4B","final_count","non_thinking","fisher_trace","discovery_oof_fisher_trace","confirmation_fisher_trace_frozen","41","821.511846237602","671.0537912234743","32","200","100"
"2","Gemma4-E4B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","33","17.184725250767947","14.80259412306319","2","200","100"
"4","Gemma4-E4B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","36","12.275471779089953","9.914002342521226","4","200","100"
"8","Gemma4-E4B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","36","4.959646292315523","2.918553660780285","8","200","100"
"16","Gemma4-E4B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","37","-0.19343613612625066","-0.9536744824544331","16","200","100"
"32","Gemma4-E4B","final_count","native_thinking","isotropic_snr","discovery_oof_isotropic_snr_db","confirmation_isotropic_snr_db","39","-3.0782770361634464","-3.6847706322515723","32","200","100"
