model_label,endpoint,mode,selector,discovery_metric,confirmation_metric,selected_layer,discovery_value,confirmation_value,pca_components,discovery_rows,confirmation_rows
Gemma4-E4B,final_count,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,32,123.59302354318174,123.34446570388823,2,200,100
Gemma4-E4B,final_count,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,29,81.27980009885614,80.78233417692509,2,200,100
Gemma4-E4B,final_count,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,33,17.184725250767947,14.80259412306319,2,200,100
Gemma4-E4B,final_count,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,33,12.010297298106831,14.999112646733339,2,200,100
Gemma4-E4B,final_count,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,39,0.3247176003655293,0.25599297322148007,2,200,100
Gemma4-E4B,final_count,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,41,0.032502082842093605,0.17633595452471978,2,200,100
Gemma4-E4B,final_count,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,9,0.8133957669998697,0.9516392125130307,2,200,100
Gemma4-E4B,final_count,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,18,0.8147278487643055,0.851000435209896,2,200,100
Gemma4-E4B,running_index,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,16,9.90090013972163,8.399535698010018,2,1045,519
Gemma4-E4B,running_index,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,24,32.61232682258925,31.571836973316174,2,1100,550
Gemma4-E4B,running_index,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,16,7.062662358615128,5.363811777523915,2,1045,519
Gemma4-E4B,running_index,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,23,2.581771669040944,0.23228305858489642,2,1100,550
Gemma4-E4B,running_index,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,16,0.0890769199906964,0.09163001605933965,2,1045,519
Gemma4-E4B,running_index,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,22,0.022429086761063574,0.015542389369675119,2,1100,550
Gemma4-E4B,running_index,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,30,0.7752982285370019,0.7816655793710057,2,1045,519
Gemma4-E4B,running_index,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,18,0.6041923258952062,0.6072294723181202,2,1100,550
Qwen3-8B,final_count,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,29,217.18560696442728,209.43820925806315,2,200,100
Qwen3-8B,final_count,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,26,58.7563903122949,54.80659257675812,2,200,100
Qwen3-8B,final_count,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,29,21.34841383987257,21.552912690007638,2,200,100
Qwen3-8B,final_count,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,26,12.135953958601407,12.042469468921217,2,200,100
Qwen3-8B,final_count,native_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,35,0.6821643178196246,0.7908506172515184,2,200,100
Qwen3-8B,final_count,non_thinking,mahalanobis_silhouette,discovery_oof_mahalanobis_silhouette,confirmation_mahalanobis_silhouette,33,0.07611588398536942,0.11972699004225991,2,200,100
Qwen3-8B,final_count,native_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,35,0.9246112735126257,0.9317245901347135,2,200,100
Qwen3-8B,final_count,non_thinking,ordinal_rsa,discovery_oof_ordinal_rsa,confirmation_ordinal_rsa,19,0.9523318950305374,0.9739515820673327,2,200,100
Qwen3-8B,running_index,native_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,22,1.222600664229701,1.219869198332506,2,1107,544
Qwen3-8B,running_index,non_thinking,fisher_trace,discovery_oof_fisher_trace,confirmation_fisher_trace_frozen,15,82.96315853042151,74.34729351677487,2,1100,550
Qwen3-8B,running_index,native_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,23,-3.6416301058797105,-3.615271799042166,2,1107,544
Qwen3-8B,running_index,non_thinking,isotropic_snr,discovery_oof_isotropic_snr_db,confirmation_isotropic_snr_db,15,9.0863710982735,6.496324302477432,2,1100,550
