sweep,site_kind,layer,status,reason,confirmation_states,raw_silhouette,raw_marker_kind_nmi,raw_occurrence_nmi,raw_seed_nmi,raw_mean_trajectory_purity,centered_silhouette,centered_marker_kind_nmi,raw_vs_centered_band_nmi
site_at_selected_layer,pre_city,22,ok,,519,0.5109990239143372,0.01232457336064926,0.0025289643171554853,0.07287874645863311,0.9896666666666667,0.6109517216682434,0.00580490225482255,9.404368145880594e-05
site_at_selected_layer,city_end,22,ok,,519,0.5067291259765625,0.014233007877470637,0.01289562431015154,0.08638460529969597,0.9690000000000001,0.6044490933418274,0.00599690838655927,0.006133194034854975
site_at_selected_layer,city_unit_end,22,ok,,519,0.4353012442588806,0.041243637014503544,0.08664555681632918,0.07176626381359559,0.8760079365079366,0.5585845708847046,0.018682234644423847,0.16008018920722122
site_at_selected_layer,item_end,22,ok,,519,0.4923272132873535,0.10853756893457897,0.21833122170673006,0.014544993341260574,0.8224087301587302,0.5446337461471558,0.02082196373472118,0.44628094297115695
site_at_selected_layer,post_boundary,22,ok,,519,0.5180211663246155,0.025008922657651977,0.05038774200407705,0.1254960125586486,0.9463809523809523,0.49949973821640015,0.021142861018532445,0.09372115130468091
selected_site_across_layers,item_end,0,ok,,519,0.5592107772827148,0.035885172665373014,0.005602532355526833,0.12009004275873042,0.9906666666666666,0.9425116777420044,0.10205836954546885,0.0005825560543581235
selected_site_across_layers,item_end,1,ok,,519,0.49875378608703613,0.04252089279908205,0.004800105851772715,0.1296160919973416,0.9838333333333332,0.747463583946228,0.009702267467073741,0.07530156555614524
selected_site_across_layers,item_end,2,ok,,519,0.4915584921836853,0.035885172665373014,0.005602532355526833,0.12009004275873042,0.9906666666666666,0.7068967223167419,0.01904677991659665,0.002757647681109406
selected_site_across_layers,item_end,3,ok,,519,0.4571222960948944,0.04824466727934402,0.004772993336402308,0.10319220057738361,0.9956666666666666,0.7173001170158386,0.018682234644423847,4.2186917073341514e-05
selected_site_across_layers,item_end,4,ok,,519,0.4045954644680023,0.03906934343907051,0.006392803755804962,0.11894376605353597,0.9849722222222222,0.6677001118659973,0.018682234644423847,0.00018686843245828004
