model,design_variant,pooling,head_rank,layer,head,metric,confirmation_examples,correct_examples,wrong_examples,counts_with_both_outcomes,wrong_minus_correct_count_adjusted,bootstrap_valid_replicates,bootstrap_ci_low,bootstrap_ci_high,descriptive_only_small_wrong_group
Qwen3-8B,v4.1,span_end,1,29,3,pool_primary,100,35,65,4,-0.0111776653392722,999,-0.036413843848477,0.0159088274244884,False
Qwen3-8B,v4.1,span_end,1,29,3,pool_coverage,100,35,65,4,-0.0014992963222265,1000,-0.0088014470628042,0.0024264407975931,False
Qwen3-8B,v4.1,span_end,1,29,3,pool_enrichment,100,35,65,4,-112.07724493325114,1000,-402.7499714429834,183.7530373145856,False
Qwen3-8B,v4.1,span_end,1,29,3,pool_min_to_mean,100,35,65,4,-0.0009902724645951,1000,-0.0059010937518327,0.0017951252200953,False
Qwen3-8B,v4.1,span_end,2,8,16,pool_primary,100,35,65,4,-0.0006932645673825,997,-0.0012278722193011,-0.0001386428551336,False
Qwen3-8B,v4.1,span_end,2,8,16,pool_coverage,100,35,65,4,0.0232379847383229,999,-0.0158234016966519,0.0960976694048881,False
Qwen3-8B,v4.1,span_end,2,8,16,pool_enrichment,100,35,65,4,-2.392129927138708,999,-5.608112175429684,-0.7720991098554719,False
Qwen3-8B,v4.1,span_end,2,8,16,pool_min_to_mean,100,35,65,4,0.0217178686943408,999,-0.0841615871138756,0.1890218755134061,False
Qwen3-8B,v4.1,span_end,3,8,18,pool_primary,100,35,65,4,-0.0001952554395113,999,-0.0004778984300401,-6.057498981814043e-06,False
Qwen3-8B,v4.1,span_end,3,8,18,pool_coverage,100,35,65,4,0.0056850673540229,1000,-0.0226217356435433,0.0593989294453514,False
Qwen3-8B,v4.1,span_end,3,8,18,pool_enrichment,100,35,65,4,-0.438880670009436,1000,-2.1226898777739303,0.8072963117160076,False
Qwen3-8B,v4.1,span_end,3,8,18,pool_min_to_mean,100,35,65,4,0.0402431330069072,999,-0.0382750294582322,0.2035085023576884,False
Qwen3-8B,v4.1,span_end,4,24,29,pool_primary,100,35,65,4,-0.002522470782399,999,-0.0048259642191876,0.0007790628771164,False
Qwen3-8B,v4.1,span_end,4,24,29,pool_coverage,100,35,65,4,-0.0462969345334144,999,-0.1364507028139731,0.005938171711219,False
Qwen3-8B,v4.1,span_end,4,24,29,pool_enrichment,100,35,65,4,-19.315396837431937,1000,-45.372784885959554,17.419361056806824,False
Qwen3-8B,v4.1,span_end,4,24,29,pool_min_to_mean,100,35,65,4,-0.0123292090154555,999,-0.1012403472754953,0.0291473410210855,False
Qwen3-8B,v4.1,span_end,5,24,30,pool_primary,100,35,65,4,-0.0029227740413186,999,-0.0070539342823874,-0.0004684524859986,False
Qwen3-8B,v4.1,span_end,5,24,30,pool_coverage,100,35,65,4,-0.0121955606622939,999,-0.0423605752687719,0.0082939097068664,False
Qwen3-8B,v4.1,span_end,5,24,30,pool_enrichment,100,35,65,4,-24.41527822007529,999,-58.97755185920465,-2.7563718404237987,False
Qwen3-8B,v4.1,span_end,5,24,30,pool_min_to_mean,100,35,65,4,-0.0074993865729361,1000,-0.0354692796522134,0.0023386481853413,False
Qwen3-8B,v4.1,span_end,6,29,0,pool_primary,100,35,65,4,-0.0087947882543385,999,-0.0262239051988156,0.0047716559224576,False
