model,variant,pooling,layer,head,layer_type,examples,seeds,pool_sum,pool_coverage,pool_primary,pool_enrichment,pool_effective_number,positive_contrast,density_enrichment_gt_one,is_broad_candidate,candidate_rank
Qwen3-8B,v4.1,span_end,0,0,full_attention,180,20,1.4708770645989311e-05,0.7916439770221129,1.0810247237520068e-05,0.0221525692944059,4.566943272840851,False,False,False,
Qwen3-8B,v4.1,span_end,0,1,full_attention,180,20,1.8543667263454865e-08,0.0347222222222222,2.06960572136773e-09,2.092311576852867e-05,0.3111111111111111,False,False,False,
Qwen3-8B,v4.1,span_end,0,2,full_attention,180,20,5.473693211873373e-07,0.555392281162547,2.950596881801528e-07,0.0009848815840706,3.222126176986062,False,False,False,
Qwen3-8B,v4.1,span_end,0,3,full_attention,180,20,1.8477439880371092e-06,0.6007971878171843,1.1339792477076942e-06,0.0033327363013831,3.6951379892425695,False,False,False,
Qwen3-8B,v4.1,span_end,0,4,full_attention,180,20,1.846816804673937e-05,0.5183462168736221,3.1079397730576792e-06,0.0204820414460803,2.60277767825626,False,False,False,
Qwen3-8B,v4.1,span_end,0,5,full_attention,180,20,0.0001976529757181,0.5093828411553859,5.061217973093926e-05,0.2212799251553723,2.4299144468011824,True,False,False,
Qwen3-8B,v4.1,span_end,0,6,full_attention,180,20,1.6725725597805446e-05,0.2761427900987245,1.9446602996152054e-06,0.0179555556639687,1.44566108041478,True,False,False,
Qwen3-8B,v4.1,span_end,0,7,full_attention,180,20,5.596213870578342e-06,0.4626268808769672,1.822716547312125e-06,0.0063911399617571,2.4909762269574083,False,False,False,
Qwen3-8B,v4.1,span_end,0,8,full_attention,180,20,6.400876575046115e-06,0.2271543333903652,1.2234668366250036e-06,0.0115410361319874,1.086618265641248,True,False,False,
Qwen3-8B,v4.1,span_end,0,9,full_attention,180,20,5.079640282524957e-06,0.3311042437727791,1.3402401497562822e-06,0.0078413979630958,1.7741714073270018,False,False,False,
Qwen3-8B,v4.1,span_end,0,10,full_attention,180,20,5.960464477539065e-08,0.2143298059964726,1.277505195119814e-08,0.0001292662097468,1.0,False,False,False,
Qwen3-8B,v4.1,span_end,0,11,full_attention,180,20,8.437368604871961e-07,0.4178821885177408,3.39312641501909e-07,0.0014886176582515,2.3300839817928223,False,False,False,
