scheme,fold,candidate,link,n_rows,n_trials,log_loss,brier,converged,iterations,mode,target,kind
seed,seed=1234,intercept_only,logistic,480,480.0,0.5638910910824076,0.195334200729326,True,17,direct,exact_correct,binary
seed,seed=1235,intercept_only,logistic,480,480.0,0.5338944277611658,0.18330295540070107,True,17,direct,exact_correct,binary
seed,seed=1236,intercept_only,logistic,480,480.0,0.5380570778740459,0.18473958812287272,True,17,direct,exact_correct,binary
seed,seed=1237,intercept_only,logistic,480,480.0,0.5669530403789241,0.1982595330557216,True,17,direct,exact_correct,binary
seed,seed=1238,intercept_only,logistic,480,480.0,0.5600940831424503,0.19455294706071466,True,17,direct,exact_correct,binary
cell,cell_fold=0,intercept_only,logistic,480,480.0,0.6133305073263747,0.21267795217007696,True,17,direct,exact_correct,binary
cell,cell_fold=1,intercept_only,logistic,480,480.0,0.529743427405244,0.18205294206479608,True,17,direct,exact_correct,binary
cell,cell_fold=2,intercept_only,logistic,480,480.0,0.5521110129546042,0.19163193543137413,True,17,direct,exact_correct,binary
cell,cell_fold=3,intercept_only,logistic,480,480.0,0.5599459350452637,0.1940842010581192,True,17,direct,exact_correct,binary
cell,cell_fold=4,intercept_only,logistic,480,480.0,0.5222242971351443,0.17957031902811416,True,17,direct,exact_correct,binary
seed,seed=1234,intercept_only,survival_loglog,480,480.0,0.5638910509291394,0.19533419016136525,True,35,direct,exact_correct,binary
seed,seed=1235,intercept_only,survival_loglog,480,480.0,0.5338944010566437,0.18330301648778588,True,35,direct,exact_correct,binary
seed,seed=1236,intercept_only,survival_loglog,480,480.0,0.5380565723715873,0.18473935010319784,True,34,direct,exact_correct,binary
seed,seed=1237,intercept_only,survival_loglog,480,480.0,0.5669529239643787,0.19825949549342725,True,33,direct,exact_correct,binary
seed,seed=1238,intercept_only,survival_loglog,480,480.0,0.5600944318061046,0.19455307838658192,True,35,direct,exact_correct,binary
cell,cell_fold=0,intercept_only,survival_loglog,480,480.0,0.6133298214634646,0.21267783793914186,True,33,direct,exact_correct,binary
cell,cell_fold=1,intercept_only,survival_loglog,480,480.0,0.5297435587806998,0.1820529630451212,True,35,direct,exact_correct,binary
