candidate,link,complexity,description,selection_score,selection_se,seed_rmse,seed_nrmse,seed_mae,seed_r2,cell_rmse,cell_nrmse,cell_mae,cell_r2,mode,target,kind
intercept_only,identity,0,Model and query-order baselines only,0.9200696283185286,0.022072023981745213,0.8183794428740514,0.9163062129830807,0.6719374031087336,0.160382924048605,0.8251018719089932,0.9238330436539766,0.6758654849055762,0.14653250745302993,direct,log1p_absolute_error,continuous
log_density,identity,1,log(N/L) density coordinate,0.7688312286922303,0.022583056022659233,0.6861732527018211,0.7682803131337353,0.5403253081629875,0.4097453604511295,0.6871573297744058,0.7693821442507254,0.5423498657995725,0.4080511161081559,direct,log1p_absolute_error,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.6624662493280831,0.00806157616769757,0.5896438199304155,0.660200229067176,0.4654842478072507,0.5641356575396486,0.593691515716795,0.6647322695889902,0.46912446479563047,0.5581310097670701,direct,log1p_absolute_error,continuous
power_separable,identity,2,separate log L and log N orders,0.5983962193832086,0.009624965274848955,0.532161824094607,0.5958399737141771,0.4097598142096354,0.6449747257242888,0.5367279372057704,0.6009524650522402,0.41286862891948994,0.638856134747636,direct,log1p_absolute_error,continuous
power_interaction,identity,3,power surface plus log L × log N,0.5980468724873748,0.011084960670566345,0.527752871866316,0.5909034490315179,0.4071049629449279,0.6508331139226562,0.5405128659058315,0.6051902959432316,0.42100105103864877,0.6337447056961438,direct,log1p_absolute_error,continuous
power_quadratic,identity,5,quadratic response surface in log coordinates,0.5696723215746056,0.01229531260136264,0.5085910664774562,0.5694487540453841,0.37881051295932117,0.6757281165161597,0.5089904156631686,0.569895889103827,0.3804633497178672,0.6752186755825584,direct,log1p_absolute_error,continuous
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.581750568597313,0.011854232357306807,0.5197497864146331,0.5819427194014358,0.39402357083725803,0.6613426713356617,0.5194065555911426,0.5815584177931903,0.39354086710214187,0.6617898066938812,direct,log1p_absolute_error,continuous
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.6056607707959862,0.012854300763403662,0.5397728822782503,0.6043617663395587,0.4150563180233227,0.6347468553869284,0.542093238788507,0.6069597752524136,0.4157868797730146,0.6315998312255395,direct,log1p_absolute_error,continuous
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.6099808640755864,0.01465386868779226,0.535435733158114,0.5995056366798764,0.41359253116497907,0.6405929915890559,0.5541471871210227,0.6204560914712963,0.42437470206908723,0.6150342385561625,direct,log1p_absolute_error,continuous
root_separable,identity,2,separate square-root L and N coordinates,0.5772664297530385,0.011527214666321554,0.5157244362482017,0.5774356983624175,0.38542338831021994,0.6665680142567072,0.5154220789177005,0.5770971611436595,0.3842610738320119,0.6669588665999291,direct,log1p_absolute_error,continuous
inverse_separable,identity,2,separate inverse L and N coordinates,0.749559259141122,0.015522504330918953,0.6599492292948534,0.7389183395572361,0.535236057771604,0.4539996874659773,0.6789566521789084,0.760200178725008,0.5506162005763591,0.42209568826646593,direct,log1p_absolute_error,continuous
logL_rawN,identity,2,log length plus raw/scaled needle count,0.6043272345840334,0.012920712307188035,0.5384971209831119,0.6029333482491516,0.4144794399699187,0.6364713775690674,0.5409869609645664,0.6057211209189151,0.41524149868958454,0.6331019236727332,direct,log1p_absolute_error,continuous
rawL_logN,identity,2,raw/scaled length plus log needle count,0.5996385570973326,0.009701337040742063,0.5334551616823526,0.5972880712653252,0.41058477392805887,0.6432469599241477,0.5376537347323359,0.6019890429293399,0.4141061774197246,0.6376091921930175,direct,log1p_absolute_error,continuous
intercept_only,identity,0,Model and query-order baselines only,0.8236739410277765,0.035693490912882105,0.23108127207224138,0.8322866022619336,0.1589328379382094,0.30729901169528595,0.22629872551073862,0.8150612797936193,0.15686744460702098,0.33567511018118745,direct,log1p_relative_error,continuous
log_density,identity,1,log(N/L) density coordinate,0.8153504402257987,0.038600695564356004,0.22962029723415348,0.8270246016978973,0.1527148987589601,0.3160303081864344,0.22313772241913732,0.8036762787537002,0.14982842695228257,0.3541044389686049,direct,log1p_relative_error,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.7872087597992861,0.04046885699995864,0.22081526804909588,0.7953114829430474,0.14077575832477182,0.3674796450989306,0.21631588630674672,0.7791060366555247,0.13858380606555637,0.3929937836469204,direct,log1p_relative_error,continuous
power_separable,identity,2,separate log L and log N orders,0.7819917934299196,0.04346819014616117,0.22029654661536605,0.7934432012959546,0.1396183390427526,0.37044788631722736,0.2139376652167955,0.7705403855638846,0.13698617844196628,0.40626751421506024,direct,log1p_relative_error,continuous
power_interaction,identity,3,power surface plus log L × log N,0.785655304392467,0.04413838602324111,0.22030227069353983,0.7934638177376576,0.13888816422274833,0.3704151699411813,0.21596626145850992,0.7778467910472765,0.13731235282198448,0.39495436965745445,direct,log1p_relative_error,continuous
power_quadratic,identity,5,quadratic response surface in log coordinates,0.7751719008006529,0.04388384268468071,0.219522448087233,0.7906551266587577,0.1400738363387362,0.3748644706882239,0.21092472822162675,0.7596886749425481,0.13754686831171997,0.42287311716403553,direct,log1p_relative_error,continuous
piecewise_power,identity,4,"piecewise log surface (L=5000, N=8 knots)",0.7740042910743263,0.04334991055245504,0.22005373594741903,0.7925686688684397,0.14063618155280616,0.37183490512810957,0.20974507538689904,0.755439913280213,0.13702428114624582,0.4293105374231845,direct,log1p_relative_error,continuous
exponential_separable,identity,2,separate raw/scaled L and N exponential orders,0.7850060315655025,0.041151690199991264,0.22113578704481324,0.796465897853065,0.14580470939497198,0.3656420735571111,0.2147722087478402,0.77354616527794,0.1431418082451277,0.4016263301837939,direct,log1p_relative_error,continuous
exponential_interaction,identity,3,"raw/scaled L,N surface plus interaction",0.7873179798801109,0.04130085895279457,0.2209718703328397,0.79587551819123,0.14509065699291837,0.3665821595438412,0.2162199331194662,0.7787604415689918,0.1443680261352712,0.39353217464726886,direct,log1p_relative_error,continuous
root_separable,identity,2,separate square-root L and N coordinates,0.7822710592012516,0.04222345947683639,0.22043486682043925,0.793941389887666,0.14216390147245214,0.36965706942324106,0.21395441921214856,0.7706007285148371,0.13914810948381903,0.4061745172124024,direct,log1p_relative_error,continuous
inverse_separable,identity,2,separate inverse L and N coordinates,0.7890604329234274,0.04429615693326599,0.2220671572123022,0.799820418559984,0.14237953701540892,0.3602872980545321,0.2160922174220495,0.778300447286871,0.14108132808911208,0.3942484137530565,direct,log1p_relative_error,continuous
logL_rawN,identity,2,log length plus raw/scaled needle count,0.7855561112647873,0.041856548611118836,0.2214083548312193,0.7974476066466838,0.14563233102687068,0.3640773146534758,0.21480509611668092,0.7736646158828909,0.14293248795825064,0.40144306213077907,direct,log1p_relative_error,continuous
rawL_logN,identity,2,raw/scaled length plus log needle count,0.7814185418030715,0.04272524915695116,0.22000456837449273,0.7923915817689732,0.13994333424036312,0.37211558114166465,0.21391132110383174,0.7704455018371698,0.13724980583782737,0.4064137286988717,direct,log1p_relative_error,continuous
intercept_only,identity,0,Model and query-order baselines only,0.9386939471961242,0.16996919438221847,0.9598965317429545,0.9480662106991496,0.29734122780800365,0.10117046013055564,0.9409181035918218,0.9293216836930986,0.29017353302853754,0.13636120821782427,direct,signed_relative_error,continuous
log_density,identity,1,log(N/L) density coordinate,0.9465424108982133,0.16982520117065641,0.9740346947704978,0.9620301268135576,0.30079467619648603,0.07449803510309039,0.9426727400378304,0.9310546949828691,0.2894970974912337,0.13313715495035672,direct,signed_relative_error,continuous
log_burden,identity,1,log(N×L) burden coordinate,0.933838167106315,0.16927970431597497,0.9561341481696691,0.9443501969210348,0.29188080092890994,0.10820270557520273,0.9348477425434483,0.9233261372915951,0.28611747589184366,0.1474688441941826,direct,signed_relative_error,continuous
power_separable,identity,2,separate log L and log N orders,0.9404171443048361,0.170866722641074,0.9680093751682459,0.9560790667412956,0.2928004256967572,0.08591281813909324,0.9362946597664642,0.9247552218683768,0.28421717840596283,0.14482777962716942,direct,signed_relative_error,continuous
power_interaction,identity,3,power surface plus log L × log N,0.9411313801822411,0.17054324490794529,0.9679054452183719,0.9559764176843433,0.2934822269419826,0.08610908883141022,0.937844886470363,0.9262863426801389,0.2890760999586565,0.14199361136425226,direct,signed_relative_error,continuous
