scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,kind
seed,seed=1234,intercept_only,identity,405,0.8204175426490191,0.9185881904969877,0.6625012817976409,0.1483194509302096,direct,log1p_absolute_error,continuous
seed,seed=1235,intercept_only,identity,407,0.8173957641986273,0.9152048279352053,0.6789910562930749,0.21157283711967367,direct,log1p_absolute_error,continuous
seed,seed=1236,intercept_only,identity,403,0.7851243371876943,0.8790718222378727,0.6517146329250548,0.20157454197019287,direct,log1p_absolute_error,continuous
seed,seed=1237,intercept_only,identity,399,0.8312033467430918,0.9306646171343784,0.6807177835848092,0.11552451761048965,direct,log1p_absolute_error,continuous
seed,seed=1238,intercept_only,identity,399,0.8370789532591975,0.9372432950357246,0.6859654654120771,0.10933404490878695,direct,log1p_absolute_error,continuous
cell,cell_fold=0,intercept_only,identity,405,0.7134546158909086,0.7988261471065666,0.5917091067964493,-0.01685757315834291,direct,log1p_absolute_error,continuous
cell,cell_fold=1,intercept_only,identity,399,0.9593140881664582,1.074105009409928,0.7698284612868406,0.05807828833022344,direct,log1p_absolute_error,continuous
cell,cell_fold=2,intercept_only,identity,402,0.8053420495433887,0.9017087733552761,0.666865469555055,0.185230367725711,direct,log1p_absolute_error,continuous
cell,cell_fold=3,intercept_only,identity,404,0.7806726389662452,0.874087436603363,0.6492571251564395,0.1524491713418994,direct,log1p_absolute_error,continuous
cell,cell_fold=4,intercept_only,identity,403,0.8485078361304778,0.9500397508528848,0.7030612394158312,0.1530021345208692,direct,log1p_absolute_error,continuous
seed,seed=1234,log_density,identity,405,0.6893550456224841,0.7718428373967963,0.5298019190690274,0.39869783170408857,direct,log1p_absolute_error,continuous
seed,seed=1235,log_density,identity,407,0.6990658269336232,0.7827156047002709,0.5516220164913301,0.42332256542307867,direct,log1p_absolute_error,continuous
seed,seed=1236,log_density,identity,403,0.6627026960791077,0.7420012844474377,0.5341524911105576,0.43115365569607045,direct,log1p_absolute_error,continuous
seed,seed=1237,log_density,identity,399,0.7104738602271106,0.7954887160922552,0.5578323792749947,0.3537992758206203,direct,log1p_absolute_error,continuous
seed,seed=1238,log_density,identity,399,0.6679900984392211,0.7479213740529375,0.5282113637816759,0.4328184997782162,direct,log1p_absolute_error,continuous
cell,cell_fold=0,log_density,identity,405,0.5738131522423708,0.6424752736268445,0.46744139217282976,0.3422385451264144,direct,log1p_absolute_error,continuous
cell,cell_fold=1,log_density,identity,399,0.8215408511734368,0.9198459134138856,0.6701192338323178,0.30920133422105966,direct,log1p_absolute_error,continuous
