mode,target,model_label,candidate,link,intercept,query_last,length_order_log,needle_order_log,log_interaction,density_order,burden_order,raw_length_order,raw_needle_order
direct,asinh_signed_error,Gemma4-12B,exponential_separable,identity,0.0,0.0,,,,,,0.0,0.0
direct,asinh_signed_error,Gemma4-E4B,exponential_separable,identity,-0.4218683997002317,0.314064664402248,,,,,,-0.2972021272897649,-0.4323182769466125
direct,asinh_signed_error,Llama3.1-8B,exponential_separable,identity,-1.395721404361603,1.7762437365930421,,,,,,-0.23012245176585308,-0.22888244125403867
direct,asinh_signed_error,Llama3.2-3B,exponential_separable,identity,1.4194546184915289,-1.510514262504166,,,,,,-1.001012901868312,-0.09941069053652038
direct,asinh_signed_error,OLMo-Hybrid-7B,exponential_separable,identity,-0.06383441370276025,0.09904550808149055,,,,,,0.03199191365554128,-0.28884876760727557
direct,asinh_signed_error,Qwen3-1.7B,exponential_separable,identity,-1.6702322658002073,2.1101285589098175,,,,,,0.6931211730509683,-0.32472675980293964
direct,asinh_signed_error,Qwen3-32B,exponential_separable,identity,0.21133541510961615,0.31190878196567573,,,,,,0.33342779239329545,0.3644199407073126
direct,asinh_signed_error,Qwen3-8B,exponential_separable,identity,-0.8760197019428887,1.8788030011930859,,,,,,0.08415305335282505,-0.08152137590863313
direct,exact_correct,Gemma4-12B,power_separable,logistic,-7.376006724879964,-12.146141473725026,-2.739206091161666,-3.8581715257459965,,,,,
direct,exact_correct,Gemma4-E4B,power_separable,logistic,-1.067179986662009,0.8992847126592055,0.06945828241449169,-2.8149172276366357,,,,,
direct,exact_correct,Llama3.1-8B,power_separable,logistic,-2.5176758031196003,2.0388136477853602,-1.137927914065222,-1.786709457562286,,,,,
direct,exact_correct,Llama3.2-3B,power_separable,logistic,-3.298390257768035,2.7219405486438375,-0.2935222384729602,-1.9021361492958564,,,,,
direct,exact_correct,OLMo-Hybrid-7B,power_separable,logistic,0.31767583894711493,-0.5255978164428056,-0.4917977576439205,-0.9983938279695596,,,,,
direct,exact_correct,Qwen3-1.7B,power_separable,logistic,-2.4236186891984217,1.6008020120174,-0.5985685158779042,-1.8321259405247547,,,,,
direct,exact_correct,Qwen3-32B,power_separable,logistic,1.3982333944451173,-1.3527510170194046,-1.2996506964799643,-2.6608181721509476,,,,,
direct,exact_correct,Qwen3-8B,power_separable,logistic,-0.3466643027946415,-2.0664509765723027e-07,-0.600534612088462,-3.193360578039493,,,,,
direct,exact_given_parsed,Gemma4-12B,power_separable,logistic,4.493105605691827,0.0,-2.0846362459523466,-5.114491705267279,,,,,
direct,exact_given_parsed,Gemma4-E4B,power_separable,logistic,-0.43286117002351204,0.5488126706402798,-0.49292528275530084,-3.007195037068887,,,,,
direct,exact_given_parsed,Llama3.1-8B,power_separable,logistic,-2.4215811140405097,1.9490681790094697,-1.0649899285985132,-1.821574106174195,,,,,
direct,exact_given_parsed,Llama3.2-3B,power_separable,logistic,-2.9322087517519195,2.3675461478915483,-0.07459866444913925,-1.9585184806929707,,,,,
direct,exact_given_parsed,OLMo-Hybrid-7B,power_separable,logistic,0.3176758389471157,-0.5255978164428061,-0.4917977576439206,-0.9983938279695592,,,,,
direct,exact_given_parsed,Qwen3-1.7B,power_separable,logistic,-2.4236186891984266,1.6008020120174045,-0.5985685158779057,-1.8321259405247574,,,,,
direct,exact_given_parsed,Qwen3-32B,power_separable,logistic,1.4005025070361314,-1.3555022812669915,-1.2950723295854727,-2.6465897936230225,,,,,
direct,exact_given_parsed,Qwen3-8B,power_separable,logistic,-0.34586558303675896,-0.0006061641626865472,-0.5996481929023956,-3.1906910963524275,,,,,
direct,log1p_absolute_error,Gemma4-12B,root_separable,identity,0.0,0.0,,,,,,,
direct,log1p_absolute_error,Gemma4-E4B,root_separable,identity,0.4689712219684365,-0.07462134124993693,,,,,,,
direct,log1p_absolute_error,Llama3.1-8B,root_separable,identity,1.0612817572594218,-0.6087190735363481,,,,,,,
direct,log1p_absolute_error,Llama3.2-3B,root_separable,identity,1.6522412486324125,-1.0602460239676201,,,,,,,
direct,log1p_absolute_error,OLMo-Hybrid-7B,root_separable,identity,0.41194350095991256,0.07512073036692382,,,,,,,
direct,log1p_absolute_error,Qwen3-1.7B,root_separable,identity,1.187288945785172,-0.4015648182513788,,,,,,,
direct,log1p_absolute_error,Qwen3-32B,root_separable,identity,0.26146590265574754,0.22597668585371755,,,,,,,
direct,log1p_absolute_error,Qwen3-8B,root_separable,identity,0.521881109746001,0.0736507111620402,,,,,,,
direct,log1p_output_tokens,Gemma4-12B,piecewise_power,identity,4.1549579197420865,0.11118955953644159,0.1560172382987843,0.17841692667385278,,,,,
direct,log1p_output_tokens,Gemma4-E4B,piecewise_power,identity,2.4448917456211277,-0.48624349045295506,-0.38836217474886425,0.3455483977800849,,,,,
direct,log1p_output_tokens,Llama3.1-8B,piecewise_power,identity,1.7959172294233763,-0.041657056330143855,-1.6033038739012385e-07,-0.03436674918693826,,,,,
direct,log1p_output_tokens,Llama3.2-3B,piecewise_power,identity,2.1925927668889993,-0.6118998167127087,0.05200609121653357,0.08298225950663313,,,,,
direct,log1p_output_tokens,OLMo-Hybrid-7B,piecewise_power,identity,1.7917591974946456,1.1945059694092644e-07,-1.9554460018464974e-07,-5.079045360427352e-08,,,,,
direct,log1p_output_tokens,Qwen3-1.7B,piecewise_power,identity,1.7811883537147928,0.059055192746337665,0.015140815765943293,0.020631345770562155,,,,,
direct,log1p_output_tokens,Qwen3-32B,piecewise_power,identity,1.8689869443477647,-0.022519202284236026,0.055370338563371896,0.038933393469122134,,,,,
direct,log1p_output_tokens,Qwen3-8B,piecewise_power,identity,1.7995354540693707,-0.041665009610343966,0.00504686188902876,0.022551356940035835,,,,,
direct,log1p_relative_error,Gemma4-12B,log_burden,identity,-0.0,0.0,,,,,0.0,,
