mode,outer_fold,selected_candidate,selected_link,inner_log_loss,outer_log_loss,outer_brier,n_test
direct,cell_fold=0,power_separable,logistic,0.3804190489478328,0.3670374354847772,0.1191028536307602,480
direct,cell_fold=1,power_separable,logistic,0.38146874024768784,0.35846830012215614,0.11732961172259697,480
direct,cell_fold=2,power_separable,logistic,0.37799531828019434,0.4093368064763717,0.11840923153241743,480
direct,cell_fold=3,power_separable,logistic,0.3693916954542864,0.42114725654257446,0.13093484808212996,480
direct,cell_fold=4,inverse_separable,survival_loglog,0.37614119939824675,0.4023564815043027,0.12270675595431481,480
enumeration,cell_fold=0,inverse_separable,logistic,0.38029295104791877,0.3497985956659535,0.10883056421098654,480
enumeration,cell_fold=1,inverse_separable,logistic,0.3844043742580767,0.34488806678318806,0.10989425530427853,480
enumeration,cell_fold=2,log_burden,logistic,0.3894144966006118,0.41663941327919835,0.1333821654376025,480
enumeration,cell_fold=3,inverse_separable,survival_loglog,0.3866821481674009,0.3314340256521653,0.10464093602136239,480
enumeration,cell_fold=4,log_burden,logistic,0.3764528073622614,0.4642005140160948,0.1527058626035398,480
native_thinking,cell_fold=0,log_burden,survival_loglog,0.3643537566019412,0.2611257856418959,0.0832469996837923,300
native_thinking,cell_fold=1,log_burden,logistic,0.346510291894594,0.3507364480118915,0.10633753971734267,300
native_thinking,cell_fold=2,log_burden,survival_loglog,0.3619196435375076,0.32032203974730394,0.10279116628952946,300
native_thinking,cell_fold=3,logL_rawN,logistic,0.33227824013040397,0.3204544959202472,0.09244619617365649,300
native_thinking,cell_fold=4,log_burden,survival_loglog,0.3290906556546111,0.3524169277311288,0.11170149354826099,300
