mode,target,candidate,link,term,estimate,kind
direct,exact_correct,power_separable,logistic,Gemma4-12B::intercept,-7.376006724879964,binary
direct,exact_correct,power_separable,logistic,Gemma4-12B::query_last,-12.146141473725026,binary
direct,exact_correct,power_separable,logistic,Gemma4-12B::log_L,-2.739206091161666,binary
direct,exact_correct,power_separable,logistic,Gemma4-12B::log_N,-3.8581715257459965,binary
direct,exact_correct,power_separable,logistic,Gemma4-E4B::intercept,-1.067179986662009,binary
direct,exact_correct,power_separable,logistic,Gemma4-E4B::query_last,0.8992847126592055,binary
direct,exact_correct,power_separable,logistic,Gemma4-E4B::log_L,0.06945828241449169,binary
direct,exact_correct,power_separable,logistic,Gemma4-E4B::log_N,-2.8149172276366357,binary
direct,exact_correct,power_separable,logistic,Llama3.1-8B::intercept,-2.5176758031196003,binary
direct,exact_correct,power_separable,logistic,Llama3.1-8B::query_last,2.0388136477853602,binary
direct,exact_correct,power_separable,logistic,Llama3.1-8B::log_L,-1.137927914065222,binary
direct,exact_correct,power_separable,logistic,Llama3.1-8B::log_N,-1.786709457562286,binary
direct,exact_correct,power_separable,logistic,Llama3.2-3B::intercept,-3.298390257768035,binary
direct,exact_correct,power_separable,logistic,Llama3.2-3B::query_last,2.7219405486438375,binary
direct,exact_correct,power_separable,logistic,Llama3.2-3B::log_L,-0.2935222384729602,binary
direct,exact_correct,power_separable,logistic,Llama3.2-3B::log_N,-1.9021361492958564,binary
direct,exact_correct,power_separable,logistic,OLMo-Hybrid-7B::intercept,0.31767583894711493,binary
direct,exact_correct,power_separable,logistic,OLMo-Hybrid-7B::query_last,-0.5255978164428056,binary
direct,exact_correct,power_separable,logistic,OLMo-Hybrid-7B::log_L,-0.4917977576439205,binary
direct,exact_correct,power_separable,logistic,OLMo-Hybrid-7B::log_N,-0.9983938279695596,binary
direct,exact_correct,power_separable,logistic,Qwen3-1.7B::intercept,-2.4236186891984217,binary
direct,exact_correct,power_separable,logistic,Qwen3-1.7B::query_last,1.6008020120174,binary
direct,exact_correct,power_separable,logistic,Qwen3-1.7B::log_L,-0.5985685158779042,binary
direct,exact_correct,power_separable,logistic,Qwen3-1.7B::log_N,-1.8321259405247547,binary
direct,exact_correct,power_separable,logistic,Qwen3-32B::intercept,1.3982333944451173,binary
direct,exact_correct,power_separable,logistic,Qwen3-32B::query_last,-1.3527510170194046,binary
direct,exact_correct,power_separable,logistic,Qwen3-32B::log_L,-1.2996506964799643,binary
direct,exact_correct,power_separable,logistic,Qwen3-32B::log_N,-2.6608181721509476,binary
direct,exact_correct,power_separable,logistic,Qwen3-8B::intercept,-0.3466643027946415,binary
direct,exact_correct,power_separable,logistic,Qwen3-8B::query_last,-2.0664509765723027e-07,binary
direct,exact_correct,power_separable,logistic,Qwen3-8B::log_L,-0.600534612088462,binary
direct,exact_correct,power_separable,logistic,Qwen3-8B::log_N,-3.193360578039493,binary
direct,parse_success,inverse_separable,logistic,Gemma4-12B::intercept,-7.26410740819069,binary
direct,parse_success,inverse_separable,logistic,Gemma4-12B::query_last,-12.484155113096753,binary
direct,parse_success,inverse_separable,logistic,Gemma4-12B::inv_L,2.256060609635946,binary
direct,parse_success,inverse_separable,logistic,Gemma4-12B::inv_N,1.417205870393513,binary
direct,parse_success,inverse_separable,logistic,Gemma4-E4B::intercept,1.2228123732408396,binary
direct,parse_success,inverse_separable,logistic,Gemma4-E4B::query_last,1.9370618065717198,binary
direct,parse_success,inverse_separable,logistic,Gemma4-E4B::inv_L,-0.6064777488667525,binary
