candidate,fold,n_test,log_loss,brier,converged
independence,cell_fold=0,480,0.6448842895234367,0.18650821651674482,True
model_scale,cell_fold=0,480,0.3946950513560361,0.12705634146761566,True
shared_scale_order,cell_fold=0,480,0.40593933697218326,0.13673778851677051,True
model_scale_shared_order,cell_fold=0,480,0.39185848801057915,0.12685465206691143,True
model_scale_order,cell_fold=0,480,0.37455157915660103,0.12271779793250782,True
model_scale_order_query,cell_fold=0,480,0.3685440676767186,0.1232444711977561,True
independence,cell_fold=1,480,0.8205651200314698,0.17899805129071727,True
model_scale,cell_fold=1,480,0.4404339519424327,0.13181816022330894,True
shared_scale_order,cell_fold=1,480,0.5062131753403855,0.15576180548052648,True
model_scale_shared_order,cell_fold=1,480,0.4502637054518529,0.13543462778546336,True
model_scale_order,cell_fold=1,480,0.43048142791787025,0.12820547476438904,True
model_scale_order_query,cell_fold=1,480,0.41460500569723713,0.12705010307583658,False
independence,cell_fold=2,480,0.8649758314573698,0.20272491387260902,True
model_scale,cell_fold=2,480,0.4394603053727646,0.14327317079711063,True
shared_scale_order,cell_fold=2,480,0.45357817421306934,0.14961311813928235,True
model_scale_shared_order,cell_fold=2,480,0.4123258704164037,0.13546813915892522,True
model_scale_order,cell_fold=2,480,0.4122741302002983,0.1405810709359395,True
model_scale_order_query,cell_fold=2,480,0.41368266634844186,0.14119995467409285,False
independence,cell_fold=3,480,0.6044170346659218,0.15836311335805492,True
model_scale,cell_fold=3,480,0.40227331392141374,0.1266223632074371,True
shared_scale_order,cell_fold=3,480,0.42532921622653774,0.1342676734287731,True
model_scale_shared_order,cell_fold=3,480,0.4017301429645628,0.12490597313443415,True
model_scale_order,cell_fold=3,480,0.3977104478495838,0.12051411108657464,True
model_scale_order_query,cell_fold=3,480,0.3933687642811842,0.12024340443216713,True
independence,cell_fold=4,480,0.6802895727705434,0.17496331580754013,True
model_scale,cell_fold=4,480,0.37186614099114323,0.12417952419527781,True
shared_scale_order,cell_fold=4,480,0.389896080796377,0.13290176046782345,True
model_scale_shared_order,cell_fold=4,480,0.36745851030268867,0.12423113259392353,True
model_scale_order,cell_fold=4,480,0.3625590955927933,0.12170245674565001,True
model_scale_order_query,cell_fold=4,480,0.3633410720492733,0.12113313484644864,True
