request_id,stimulus_id,model_label,seed,target_passage_tokens,num_needles,query_order,observed_all_pairs_found,predicted_probability,predicted_neff,selected_candidate
Qwen3-8B/enumeration/query_first/T10000_N10_seed1234,T10000_N10_seed1234,Qwen3-8B,1234,10000,10,query_first,1.0,0.9973878299978247,1.1449060027860856,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N10_seed1235,T10000_N10_seed1235,Qwen3-8B,1235,10000,10,query_first,1.0,0.9973878299978247,1.1449060027860856,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N10_seed1236,T10000_N10_seed1236,Qwen3-8B,1236,10000,10,query_first,1.0,0.9973878299978247,1.1449060027860856,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N10_seed1237,T10000_N10_seed1237,Qwen3-8B,1237,10000,10,query_first,1.0,0.9973878299978247,1.1449060027860856,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N10_seed1238,T10000_N10_seed1238,Qwen3-8B,1238,10000,10,query_first,1.0,0.9973878299978247,1.1449060027860856,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N1_seed1234,T10000_N1_seed1234,Qwen3-8B,1234,10000,1,query_first,1.0,0.996321456707299,0.23810578192592294,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N1_seed1235,T10000_N1_seed1235,Qwen3-8B,1235,10000,1,query_first,1.0,0.996321456707299,0.23810578192592294,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N1_seed1236,T10000_N1_seed1236,Qwen3-8B,1236,10000,1,query_first,1.0,0.996321456707299,0.23810578192592294,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N1_seed1237,T10000_N1_seed1237,Qwen3-8B,1237,10000,1,query_first,1.0,0.996321456707299,0.23810578192592294,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N1_seed1238,T10000_N1_seed1238,Qwen3-8B,1238,10000,1,query_first,1.0,0.996321456707299,0.23810578192592294,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N20_seed1234,T10000_N20_seed1234,Qwen3-8B,1234,10000,20,query_first,1.0,0.9917605237687662,2.106782375798529,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N20_seed1235,T10000_N20_seed1235,Qwen3-8B,1235,10000,20,query_first,1.0,0.9917605237687662,2.106782375798529,model_scale_shared_order
Qwen3-8B/enumeration/query_first/T10000_N20_seed1236,T10000_N20_seed1236,Qwen3-8B,1236,10000,20,query_first,1.0,0.9917605237687662,2.106782375798529,model_scale_shared_order
