scheme,fold,candidate,link,n_rows,rmse,nrmse,mae,r2,mode,target,direction
seed,seed=1234,intercept_only,identity,141,0.13255592691456686,0.7015527024144783,0.09966902438730138,0.20629653239389778,direct,under_log1p_relative_magnitude,under
seed,seed=1235,intercept_only,identity,137,0.1371008932867315,0.7256069526844799,0.10766558941886098,0.5402023771082779,direct,under_log1p_relative_magnitude,under
seed,seed=1236,intercept_only,identity,152,0.15729988643259216,0.8325101938851781,0.12128171395904729,0.47738801735073355,direct,under_log1p_relative_magnitude,under
seed,seed=1237,intercept_only,identity,126,0.1362597169584487,0.7211550240529203,0.10334547031602517,0.3318095713698501,direct,under_log1p_relative_magnitude,under
seed,seed=1238,intercept_only,identity,154,0.12784828351049435,0.6766374833895353,0.09574979799237135,0.4246489990559219,direct,under_log1p_relative_magnitude,under
cell,cell_fold=0,intercept_only,identity,110,0.15007666918974422,0.7942812916037069,0.12403038358945395,0.44017805616644423,direct,under_log1p_relative_magnitude,under
cell,cell_fold=1,intercept_only,identity,150,0.12052318641095877,0.637869381613598,0.09288227932782109,0.5771306031187048,direct,under_log1p_relative_magnitude,under
cell,cell_fold=2,intercept_only,identity,144,0.14055310259158518,0.7438777823900534,0.10727220138304802,0.5305826137139015,direct,under_log1p_relative_magnitude,under
cell,cell_fold=3,intercept_only,identity,135,0.13041229168097696,0.690207505514417,0.09818158539320736,0.43202542543979894,direct,under_log1p_relative_magnitude,under
cell,cell_fold=4,intercept_only,identity,171,0.13556561322502178,0.7174814776391452,0.10016919829297229,0.43351295904535025,direct,under_log1p_relative_magnitude,under
seed,seed=1234,log_density,identity,141,0.1154099344047998,0.6108074776569453,0.08813493067239703,0.3983466153112031,direct,under_log1p_relative_magnitude,under
seed,seed=1235,log_density,identity,137,0.12126892443779362,0.6418162027041134,0.09545068673094939,0.6402629207786064,direct,under_log1p_relative_magnitude,under
seed,seed=1236,log_density,identity,152,0.13886069226707612,0.7349206948845002,0.10932052598002326,0.5927311473788215,direct,under_log1p_relative_magnitude,under
seed,seed=1237,log_density,identity,126,0.12817314776221314,0.6783568285671981,0.09847191494101061,0.4087660208365078,direct,under_log1p_relative_magnitude,under
seed,seed=1238,log_density,identity,154,0.10846703160374564,0.5740621405297729,0.08499267839117892,0.5858682000436597,direct,under_log1p_relative_magnitude,under
cell,cell_fold=0,log_density,identity,110,0.12725655762118393,0.6735057720704188,0.10743477898676038,0.5974833076079128,direct,under_log1p_relative_magnitude,under
cell,cell_fold=1,log_density,identity,150,0.10602410950146823,0.5611329668403507,0.08107032705404281,0.6727540253532183,direct,under_log1p_relative_magnitude,under
cell,cell_fold=2,log_density,identity,144,0.12824776049887868,0.6787517167344845,0.09701302624951412,0.6091790126024791,direct,under_log1p_relative_magnitude,under
cell,cell_fold=3,log_density,identity,135,0.1192824324730036,0.6313026870985736,0.09464908384118258,0.524834593211852,direct,under_log1p_relative_magnitude,under
cell,cell_fold=4,log_density,identity,171,0.11665289049654104,0.6173858270785115,0.09160521806442841,0.580548354523631,direct,under_log1p_relative_magnitude,under
seed,seed=1234,log_burden,identity,141,0.13147416034131043,0.6958274490779087,0.09768456825935817,0.21919823279517836,direct,under_log1p_relative_magnitude,under
seed,seed=1235,log_burden,identity,137,0.13458167131818513,0.7122739616885004,0.10423723490308975,0.5569446476616813,direct,under_log1p_relative_magnitude,under
seed,seed=1236,log_burden,identity,152,0.15337686054386016,0.8117475657783586,0.11790705144144822,0.5031306208945316,direct,under_log1p_relative_magnitude,under
seed,seed=1237,log_burden,identity,126,0.1336069969479404,0.7071154942073744,0.09997028659327252,0.35757314004123675,direct,under_log1p_relative_magnitude,under
seed,seed=1238,log_burden,identity,154,0.12901268545581343,0.6828000847190238,0.09742717678331171,0.4141210419048019,direct,under_log1p_relative_magnitude,under
cell,cell_fold=0,log_burden,identity,110,0.14630174885299088,0.7743025126438228,0.11897600060255775,0.4679865789766464,direct,under_log1p_relative_magnitude,under
cell,cell_fold=1,log_burden,identity,150,0.12448758667785154,0.6588509837601684,0.09459853272056758,0.5488539682772213,direct,under_log1p_relative_magnitude,under
cell,cell_fold=2,log_burden,identity,144,0.13566821336196275,0.7180244892193473,0.10469074274546654,0.5626445840163719,direct,under_log1p_relative_magnitude,under
cell,cell_fold=3,log_burden,identity,135,0.1311267745138764,0.6939889083827505,0.095268595145933,0.42578491363989035,direct,under_log1p_relative_magnitude,under
cell,cell_fold=4,log_burden,identity,171,0.1306655183290563,0.6915477084266408,0.09817020865547096,0.4737248246358423,direct,under_log1p_relative_magnitude,under
seed,seed=1234,power_separable,identity,141,0.114882291840858,0.6080149275593488,0.08792363697112782,0.4038354364136142,direct,under_log1p_relative_magnitude,under
seed,seed=1235,power_separable,identity,137,0.11818094697385968,0.6254730712784314,0.092394234212928,0.658350268304866,direct,under_log1p_relative_magnitude,under
seed,seed=1236,power_separable,identity,152,0.13828083515240094,0.7318517990962582,0.10703338019525835,0.5961254076542095,direct,under_log1p_relative_magnitude,under
seed,seed=1237,power_separable,identity,126,0.12758579005819223,0.6752482358838592,0.09648571484294474,0.41417230382147807,direct,under_log1p_relative_magnitude,under
seed,seed=1238,power_separable,identity,154,0.11053687130446545,0.5850167743164661,0.08593421110952132,0.5699119204692963,direct,under_log1p_relative_magnitude,under
cell,cell_fold=0,power_separable,identity,110,0.12856373650228722,0.6804240208271733,0.10708482007082613,0.5891715365994843,direct,under_log1p_relative_magnitude,under
cell,cell_fold=1,power_separable,identity,150,0.10764618514789223,0.5697178078184754,0.08274919281989822,0.6626642778306249,direct,under_log1p_relative_magnitude,under
cell,cell_fold=2,power_separable,identity,144,0.12853838746009458,0.680289860933551,0.09751733253518445,0.6074056979973718,direct,under_log1p_relative_magnitude,under
cell,cell_fold=3,power_separable,identity,135,0.11698209430092177,0.6191281393536712,0.09162298383761577,0.5429848196896175,direct,under_log1p_relative_magnitude,under
cell,cell_fold=4,power_separable,identity,171,0.11512312395633463,0.6092895323648337,0.08960818500165164,0.5914774580959532,direct,under_log1p_relative_magnitude,under
seed,seed=1234,power_interaction,identity,141,0.11657103321629847,0.616952597139246,0.09002680063728982,0.38617967123248564,direct,under_log1p_relative_magnitude,under
seed,seed=1235,power_interaction,identity,137,0.11964799955470522,0.633237452144929,0.09175022292631205,0.6498154054945966,direct,under_log1p_relative_magnitude,under
seed,seed=1236,power_interaction,identity,152,0.13868170740759955,0.7339734168956557,0.10696041580540373,0.5937803712893581,direct,under_log1p_relative_magnitude,under
seed,seed=1237,power_interaction,identity,126,0.12515605083123235,0.6623888326077251,0.09322011050225802,0.4362728036087158,direct,under_log1p_relative_magnitude,under
