feature,estimate,standard_error,ci95_low_hessian,ci95_high_hessian,model_type,odds_ratio,bootstrap_mean,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_replicates
Intercept,-0.1568504062902294,0.0956815586413986,-0.3443862612273707,0.0306854486469118,logistic,0.854831926732479,-0.1611042851643185,-0.3243674087873406,-0.0107353238523552,200
log_length,-0.340999086179416,0.0332356463409901,-0.4061409530077566,-0.2758572193510754,logistic,0.7110595579869734,-0.3457167630568621,-0.4314619021498858,-0.2642056514240645,200
log_needles,-0.608727810604332,0.0247473039098121,-0.6572325262675638,-0.5602230949411002,logistic,0.5440425541721975,-0.6088344025371094,-0.6740605008025382,-0.5532601298631438,200
model_label[Qwen3-1.7B],-1.7412568324163704,0.1172714289166654,-1.9711088330930344,-1.5114048317397062,logistic,0.1752999394581531,-1.7409810208043146,-1.9359302516186008,-1.5515557859088187,200
model_label[Qwen3-32B],0.5345252119339194,0.1209294867890085,0.2975034178274626,0.7715470060403762,logistic,1.7066377586245418,0.5455485377764447,0.3647466295132905,0.7572434475724281,200
model_label[Gemma4-E4B],0.1161471527340713,0.1169280178571017,-0.113031762265848,0.3453260677339906,logistic,1.1231611362054217,0.1162507466686247,-0.0721877986109964,0.3282733116534358,200
model_label[Gemma4-12B],-1.0016663841335196,0.1138893790713961,-1.224889567113456,-0.7784432011535832,logistic,0.3672669231944838,-0.9955205670177952,-1.1542498149756215,-0.8348393810055945,200
model_label[OLMo-Hybrid-7B],-0.6588349541450736,0.1242643454708689,-0.9023930712679769,-0.4152768370221705,logistic,0.5174538409022099,-0.6682257758339855,-0.8968717637907537,-0.4392565680137432,200
model_label[Llama3.1-8B],-1.4415091911954132,0.1299283552534754,-1.696168767492225,-1.1868496148986014,logistic,0.2365704590792942,-1.4309591633249263,-1.6429823343716223,-1.2262887449358737,200
model_label[Llama3.2-3B],-2.629816108863088,0.1545134365536448,-2.932662444508231,-2.3269697732179435,logistic,0.0720917180479096,-2.6310101908678134,-2.8579413748150917,-2.41731200314681,200
prompt_mode[enumeration],1.0529111511688114,0.0705396041445924,0.9146535270454104,1.1911687752922124,logistic,2.8659822932269727,1.0548671426706842,0.8770179978784709,1.23621222198126,200
prompt_mode[native_thinking],2.3297210884415045,0.0956296305739448,2.1422870125165727,2.5171551643664363,logistic,10.27507529608423,2.339081159439763,2.1869142761796723,2.5064194455470923,200
query_order[query_last],0.2447694362811966,0.0624581151286301,0.1223515306290815,0.3671873419333117,logistic,1.277326774040019,0.2453705380244625,0.1476704845658991,0.3490084370790388,200
