model_label,prompt_mode,requests,exact_correct,accuracy,parse_success_rate,format_failure_rate,truncation_rate,query_first_requests,query_first_accuracy,query_first_parse_success_rate,query_first_format_failure_rate,query_first_truncation_rate,query_last_requests,query_last_accuracy,query_last_parse_success_rate,query_last_format_failure_rate,query_last_truncation_rate
Qwen3-8B,direct,300,128,0.4266666666666667,0.9866666666666667,0.013333333333333334,0.013333333333333334,150,0.4266666666666667,0.9733333333333334,0.02666666666666667,0.02666666666666667,150,0.4266666666666667,1.0,0.0,0.0
Qwen3-8B,enumeration,300,191,0.6366666666666667,0.9966666666666667,0.0033333333333333335,0.0,150,0.32,1.0,0.0,0.0,150,0.9533333333333334,0.9933333333333333,0.006666666666666667,0.0
Qwen3-8B,native_thinking,300,293,0.9766666666666667,0.9833333333333333,0.016666666666666666,0.016666666666666666,150,0.9733333333333334,0.9866666666666667,0.013333333333333334,0.013333333333333334,150,0.98,0.98,0.02,0.02
Qwen3-1.7B,direct,300,75,0.25,1.0,0.0,0.0,150,0.15333333333333332,1.0,0.0,0.0,150,0.3466666666666667,1.0,0.0,0.0
Qwen3-1.7B,enumeration,300,72,0.24,0.94,0.06,0.0,150,0.14666666666666667,0.96,0.04,0.0,150,0.3333333333333333,0.92,0.08,0.0
Qwen3-1.7B,native_thinking,300,185,0.6166666666666667,0.9933333333333333,0.006666666666666667,0.006666666666666667,150,0.68,1.0,0.0,0.0,150,0.5533333333333333,0.9866666666666667,0.013333333333333334,0.013333333333333334
Qwen3-32B,direct,300,168,0.56,0.9933333333333333,0.006666666666666667,0.006666666666666667,150,0.64,0.9866666666666667,0.013333333333333334,0.013333333333333334,150,0.48,1.0,0.0,0.0
Qwen3-32B,enumeration,300,224,0.7466666666666667,1.0,0.0,0.0,150,0.5066666666666667,1.0,0.0,0.0,150,0.9866666666666667,1.0,0.0,0.0
Qwen3-32B,native_thinking,300,294,0.98,1.0,0.0,0.0,150,0.9866666666666667,1.0,0.0,0.0,150,0.9733333333333334,1.0,0.0,0.0
Gemma4-E4B,direct,300,116,0.38666666666666666,0.8433333333333334,0.15666666666666668,0.15666666666666668,150,0.3333333333333333,0.74,0.26,0.26,150,0.44,0.9466666666666667,0.05333333333333334,0.05333333333333334
Gemma4-E4B,enumeration,300,256,0.8533333333333334,1.0,0.0,0.0,150,0.9533333333333334,1.0,0.0,0.0,150,0.7533333333333333,1.0,0.0,0.0
Gemma4-E4B,native_thinking,300,257,0.8566666666666667,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,150,0.96,0.9933333333333333,0.006666666666666667,0.006666666666666667,150,0.7533333333333333,1.0,0.0,0.0
Gemma4-12B,direct,300,7,0.023333333333333334,0.023333333333333334,0.9766666666666667,0.9766666666666667,150,0.04666666666666667,0.04666666666666667,0.9533333333333334,0.9533333333333334,150,0.0,0.0,1.0,1.0
Gemma4-12B,enumeration,300,270,0.9,0.9833333333333333,0.016666666666666666,0.0033333333333333335,150,1.0,1.0,0.0,0.0,150,0.8,0.9666666666666667,0.03333333333333333,0.006666666666666667
Gemma4-12B,native_thinking,300,175,0.5833333333333334,0.6133333333333333,0.38666666666666666,0.38666666666666666,150,0.7266666666666667,0.7466666666666667,0.25333333333333335,0.25333333333333335,150,0.44,0.48,0.52,0.52
OLMo-Hybrid-7B,direct,300,148,0.49333333333333335,1.0,0.0,0.0,150,0.5466666666666666,1.0,0.0,0.0,150,0.44,1.0,0.0,0.0
OLMo-Hybrid-7B,enumeration,300,123,0.41,0.9433333333333334,0.056666666666666664,0.05333333333333334,150,0.4266666666666667,0.9333333333333333,0.06666666666666667,0.06,150,0.3933333333333333,0.9533333333333334,0.04666666666666667,0.04666666666666667
Llama3.1-8B,direct,300,84,0.28,0.98,0.02,0.0033333333333333335,150,0.15333333333333332,0.96,0.04,0.006666666666666667,150,0.4066666666666667,1.0,0.0,0.0
Llama3.1-8B,enumeration,300,98,0.32666666666666666,0.4633333333333333,0.5366666666666666,0.006666666666666667,150,0.2733333333333333,0.37333333333333335,0.6266666666666667,0.013333333333333334,150,0.38,0.5533333333333333,0.44666666666666666,0.0
Llama3.2-3B,direct,300,70,0.23333333333333334,0.8833333333333333,0.11666666666666667,0.07333333333333333,150,0.08666666666666667,0.7666666666666667,0.23333333333333334,0.14666666666666667,150,0.38,1.0,0.0,0.0
Llama3.2-3B,enumeration,300,12,0.04,0.32666666666666666,0.6733333333333333,0.04,150,0.06,0.5066666666666667,0.49333333333333335,0.04666666666666667,150,0.02,0.14666666666666667,0.8533333333333334,0.03333333333333333
