model_label,query_order,enumeration_requests,enumeration_accuracy,overcount_count,overcount_rate,complete_retrieval_wrong_total_count,complete_retrieval_wrong_total_rate,share_of_overcounts_with_complete_retrieval
Qwen3-8B,query_first,150,0.32,100,0.6666666666666666,98,0.6533333333333333,0.98
Qwen3-8B,query_last,150,0.9533333333333334,0,0.0,0,0.0,
Qwen3-1.7B,query_first,150,0.14666666666666667,103,0.6866666666666666,46,0.30666666666666664,0.44660194174757284
Qwen3-1.7B,query_last,150,0.3333333333333333,50,0.3333333333333333,30,0.2,0.6
Qwen3-32B,query_first,150,0.5066666666666667,72,0.48,72,0.48,1.0
Qwen3-32B,query_last,150,0.9866666666666667,0,0.0,0,0.0,
Gemma4-E4B,query_first,150,0.9533333333333334,6,0.04,6,0.04,1.0
Gemma4-E4B,query_last,150,0.7533333333333333,3,0.02,1,0.006666666666666667,0.3333333333333333
Gemma4-12B,query_first,150,1.0,0,0.0,0,0.0,
Gemma4-12B,query_last,150,0.8,2,0.013333333333333334,0,0.0,0.0
OLMo-Hybrid-7B,query_first,150,0.4266666666666667,53,0.35333333333333333,28,0.18666666666666668,0.5283018867924528
OLMo-Hybrid-7B,query_last,150,0.3933333333333333,48,0.32,10,0.06666666666666667,0.20833333333333334
Llama3.1-8B,query_first,150,0.2733333333333333,8,0.05333333333333334,6,0.04,0.75
Llama3.1-8B,query_last,150,0.38,11,0.07333333333333333,6,0.04,0.5454545454545454
Llama3.2-3B,query_first,150,0.06,58,0.38666666666666666,28,0.18666666666666668,0.4827586206896552
Llama3.2-3B,query_last,150,0.02,15,0.1,6,0.04,0.4
