model_label,query_order,enumeration_requests,exact_count_accuracy,complete_retrieval_count,complete_retrieval_rate,complete_retrieval_wrong_total_count,complete_retrieval_wrong_total_rate,wrong_total_equals_score_sum_count,predicted_vs_score_sum_correlation,median_relative_distance_to_score_sum,wrong_totals_within_10pct_of_score_sum_count
Qwen3-8B,query_first,150,0.32,146,0.9733333333333334,98,0.6533333333333333,40,0.9162448475368188,0.0335300730747611,65
Qwen3-8B,query_last,150,0.9533333333333334,107,0.7133333333333334,0,0.0,0,,,0
Qwen3-1.7B,query_first,150,0.14666666666666667,67,0.44666666666666666,46,0.30666666666666664,14,0.1024296834108932,0.0659292995011928,27
Qwen3-1.7B,query_last,150,0.3333333333333333,80,0.5333333333333333,30,0.2,6,-0.1631612738322511,0.8747435261932699,7
Qwen3-32B,query_first,150,0.5066666666666667,148,0.9866666666666667,72,0.48,30,0.9990321379783833,0.0038071065989847717,69
Qwen3-32B,query_last,150,0.9866666666666667,148,0.9866666666666667,0,0.0,0,,,0
Gemma4-E4B,query_first,150,0.9533333333333334,149,0.9933333333333333,6,0.04,1,0.9930538101492409,0.2142803018001927,3
Gemma4-E4B,query_last,150,0.7533333333333333,113,0.7533333333333333,1,0.006666666666666667,0,,0.9862710363153233,0
Gemma4-12B,query_first,150,1.0,150,1.0,0,0.0,0,,,0
Gemma4-12B,query_last,150,0.8,121,0.8066666666666666,1,0.006666666666666667,0,,,0
OLMo-Hybrid-7B,query_first,150,0.4266666666666667,56,0.37333333333333335,34,0.22666666666666666,6,0.5653174157979701,0.07660705513579265,18
OLMo-Hybrid-7B,query_last,150,0.3933333333333333,43,0.2866666666666667,12,0.08,4,0.38418448835671415,0.05906862745098039,8
Llama3.1-8B,query_first,150,0.2733333333333333,132,0.88,94,0.6266666666666667,5,-0.5829953152252842,0.0,5
Llama3.1-8B,query_last,150,0.38,86,0.5733333333333334,49,0.32666666666666666,5,-0.04526146665138913,0.0,5
Llama3.2-3B,query_first,150,0.06,60,0.4,52,0.3466666666666667,4,0.9331172741635662,0.20619946091644203,8
Llama3.2-3B,query_last,150,0.02,49,0.32666666666666666,47,0.31333333333333335,3,0.8911596225065354,0.11029411764705882,3
