model_label,prompt_mode,query_order,requests,correct_count,correct_rate,undercount_count,undercount_rate,overcount_count,overcount_rate,parse_failure_count,parse_failure_rate,truncation_count,truncation_rate
Qwen3-8B,direct,query_first,150,64,0.4266666666666667,81,0.54,1,0.006666666666666667,0,0.0,4,0.02666666666666667
Qwen3-8B,direct,query_last,150,64,0.4266666666666667,6,0.04,80,0.5333333333333333,0,0.0,0,0.0
Qwen3-8B,enumeration,query_first,150,48,0.32,2,0.013333333333333334,100,0.6666666666666666,0,0.0,0,0.0
Qwen3-8B,enumeration,query_last,150,143,0.9533333333333334,6,0.04,0,0.0,1,0.006666666666666667,0,0.0
Qwen3-8B,native_thinking,query_first,150,146,0.9733333333333334,1,0.006666666666666667,1,0.006666666666666667,0,0.0,2,0.013333333333333334
Qwen3-8B,native_thinking,query_last,150,147,0.98,0,0.0,0,0.0,0,0.0,3,0.02
Qwen3-1.7B,direct,query_first,150,23,0.15333333333333332,126,0.84,1,0.006666666666666667,0,0.0,0,0.0
Qwen3-1.7B,direct,query_last,150,52,0.3466666666666667,44,0.29333333333333333,54,0.36,0,0.0,0,0.0
Qwen3-1.7B,enumeration,query_first,150,22,0.14666666666666667,19,0.12666666666666668,103,0.6866666666666666,6,0.04,0,0.0
Qwen3-1.7B,enumeration,query_last,150,50,0.3333333333333333,38,0.25333333333333335,50,0.3333333333333333,12,0.08,0,0.0
Qwen3-1.7B,native_thinking,query_first,150,102,0.68,48,0.32,0,0.0,0,0.0,0,0.0
Qwen3-1.7B,native_thinking,query_last,150,83,0.5533333333333333,56,0.37333333333333335,9,0.06,0,0.0,2,0.013333333333333334
Qwen3-32B,direct,query_first,150,96,0.64,3,0.02,49,0.32666666666666666,0,0.0,2,0.013333333333333334
Qwen3-32B,direct,query_last,150,72,0.48,1,0.006666666666666667,77,0.5133333333333333,0,0.0,0,0.0
Qwen3-32B,enumeration,query_first,150,76,0.5066666666666667,2,0.013333333333333334,72,0.48,0,0.0,0,0.0
Qwen3-32B,enumeration,query_last,150,148,0.9866666666666667,2,0.013333333333333334,0,0.0,0,0.0,0,0.0
Qwen3-32B,native_thinking,query_first,150,148,0.9866666666666667,0,0.0,2,0.013333333333333334,0,0.0,0,0.0
Qwen3-32B,native_thinking,query_last,150,146,0.9733333333333334,3,0.02,1,0.006666666666666667,0,0.0,0,0.0
Gemma4-E4B,direct,query_first,150,50,0.3333333333333333,59,0.3933333333333333,2,0.013333333333333334,0,0.0,39,0.26
Gemma4-E4B,direct,query_last,150,66,0.44,56,0.37333333333333335,20,0.13333333333333333,0,0.0,8,0.05333333333333334
Gemma4-E4B,enumeration,query_first,150,143,0.9533333333333334,1,0.006666666666666667,6,0.04,0,0.0,0,0.0
Gemma4-E4B,enumeration,query_last,150,113,0.7533333333333333,34,0.22666666666666666,3,0.02,0,0.0,0,0.0
Gemma4-E4B,native_thinking,query_first,150,144,0.96,4,0.02666666666666667,1,0.006666666666666667,0,0.0,1,0.006666666666666667
Gemma4-E4B,native_thinking,query_last,150,113,0.7533333333333333,30,0.2,7,0.04666666666666667,0,0.0,0,0.0
Gemma4-12B,direct,query_first,150,7,0.04666666666666667,0,0.0,0,0.0,0,0.0,143,0.9533333333333334
Gemma4-12B,direct,query_last,150,0,0.0,0,0.0,0,0.0,0,0.0,150,1.0
Gemma4-12B,enumeration,query_first,150,150,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Gemma4-12B,enumeration,query_last,150,120,0.8,23,0.15333333333333332,2,0.013333333333333334,4,0.02666666666666667,1,0.006666666666666667
Gemma4-12B,native_thinking,query_first,150,109,0.7266666666666667,2,0.013333333333333334,1,0.006666666666666667,0,0.0,38,0.25333333333333335
Gemma4-12B,native_thinking,query_last,150,66,0.44,1,0.006666666666666667,5,0.03333333333333333,0,0.0,78,0.52
OLMo-Hybrid-7B,direct,query_first,150,82,0.5466666666666666,48,0.32,20,0.13333333333333333,0,0.0,0,0.0
OLMo-Hybrid-7B,direct,query_last,150,66,0.44,47,0.31333333333333335,37,0.24666666666666667,0,0.0,0,0.0
OLMo-Hybrid-7B,enumeration,query_first,150,64,0.4266666666666667,23,0.15333333333333332,53,0.35333333333333333,1,0.006666666666666667,9,0.06
OLMo-Hybrid-7B,enumeration,query_last,150,59,0.3933333333333333,36,0.24,48,0.32,0,0.0,7,0.04666666666666667
Llama3.1-8B,direct,query_first,150,23,0.15333333333333332,121,0.8066666666666666,0,0.0,5,0.03333333333333333,1,0.006666666666666667
Llama3.1-8B,direct,query_last,150,61,0.4066666666666667,33,0.22,56,0.37333333333333335,0,0.0,0,0.0
Llama3.1-8B,enumeration,query_first,150,41,0.2733333333333333,7,0.04666666666666667,8,0.05333333333333334,92,0.6133333333333333,2,0.013333333333333334
Llama3.1-8B,enumeration,query_last,150,57,0.38,15,0.1,11,0.07333333333333333,67,0.44666666666666666,0,0.0
Llama3.2-3B,direct,query_first,150,13,0.08666666666666667,29,0.19333333333333333,70,0.4666666666666667,16,0.10666666666666667,22,0.14666666666666667
Llama3.2-3B,direct,query_last,150,57,0.38,53,0.35333333333333333,40,0.26666666666666666,0,0.0,0,0.0
Llama3.2-3B,enumeration,query_first,150,9,0.06,9,0.06,58,0.38666666666666666,67,0.44666666666666666,7,0.04666666666666667
Llama3.2-3B,enumeration,query_last,150,3,0.02,4,0.02666666666666667,15,0.1,123,0.82,5,0.03333333333333333
