model_label,comparison_mode,paired_requests,direct_accuracy,comparison_accuracy,delta_vs_direct,delta_ci95_low,delta_ci95_high,query_first_direct_accuracy,query_first_comparison_accuracy,query_first_delta_vs_direct,query_last_direct_accuracy,query_last_comparison_accuracy,query_last_delta_vs_direct
Qwen3-8B,enumeration,300,0.4266666666666667,0.6366666666666667,0.21,0.13,0.29,0.4266666666666667,0.32,-0.10666666666666667,0.4266666666666667,0.9533333333333334,0.5266666666666666
Qwen3-8B,native_thinking,300,0.4266666666666667,0.9766666666666667,0.55,0.48,0.62,0.4266666666666667,0.9733333333333334,0.5466666666666666,0.4266666666666667,0.98,0.5533333333333333
Qwen3-1.7B,enumeration,300,0.25,0.24,-0.01,-0.06333333333333334,0.04,0.15333333333333332,0.14666666666666667,-0.006666666666666667,0.3466666666666667,0.3333333333333333,-0.013333333333333334
Qwen3-1.7B,native_thinking,300,0.25,0.6166666666666667,0.36666666666666664,0.3,0.43333333333333335,0.15333333333333332,0.68,0.5266666666666666,0.3466666666666667,0.5533333333333333,0.20666666666666667
Qwen3-32B,enumeration,300,0.56,0.7466666666666667,0.18666666666666668,0.11666666666666667,0.25333333333333335,0.64,0.5066666666666667,-0.13333333333333333,0.48,0.9866666666666667,0.5066666666666667
Qwen3-32B,native_thinking,300,0.56,0.98,0.42,0.35,0.49,0.64,0.9866666666666667,0.3466666666666667,0.48,0.9733333333333334,0.49333333333333335
Gemma4-E4B,enumeration,300,0.38666666666666666,0.8533333333333334,0.4666666666666667,0.4,0.5333333333333333,0.3333333333333333,0.9533333333333334,0.62,0.44,0.7533333333333333,0.31333333333333335
Gemma4-E4B,native_thinking,300,0.38666666666666666,0.8566666666666667,0.47,0.4066666666666667,0.5333333333333333,0.3333333333333333,0.96,0.6266666666666667,0.44,0.7533333333333333,0.31333333333333335
Gemma4-12B,enumeration,300,0.023333333333333334,0.9,0.8766666666666667,0.84,0.91,0.04666666666666667,1.0,0.9533333333333334,0.0,0.8,0.8
Gemma4-12B,native_thinking,300,0.023333333333333334,0.5833333333333334,0.56,0.49666666666666665,0.6233333333333333,0.04666666666666667,0.7266666666666667,0.68,0.0,0.44,0.44
OLMo-Hybrid-7B,enumeration,300,0.49333333333333335,0.41,-0.08333333333333333,-0.15666666666666668,-0.006666666666666667,0.5466666666666666,0.4266666666666667,-0.12,0.44,0.3933333333333333,-0.04666666666666667
Llama3.1-8B,enumeration,300,0.28,0.32666666666666666,0.04666666666666667,-0.03333333333333333,0.12666666666666668,0.15333333333333332,0.2733333333333333,0.12,0.4066666666666667,0.38,-0.02666666666666667
Llama3.2-3B,enumeration,300,0.23333333333333334,0.04,-0.19333333333333333,-0.25,-0.13666666666666666,0.08666666666666667,0.06,-0.02666666666666667,0.38,0.02,-0.36
