model_label,prompt_mode,paired_stimuli,query_first_accuracy,query_last_accuracy,delta_query_last_minus_first,delta_ci95_low,delta_ci95_high,first_only_correct,last_only_correct
Qwen3-8B,direct,150,0.4266666666666667,0.4266666666666667,0.0,-0.07333333333333333,0.07333333333333333,16,16
Qwen3-8B,enumeration,150,0.32,0.9533333333333334,0.6333333333333333,0.5533333333333333,0.7133333333333334,1,96
Qwen3-8B,native_thinking,150,0.9733333333333334,0.98,0.006666666666666667,-0.013333333333333334,0.03333333333333333,1,2
Qwen3-1.7B,direct,150,0.15333333333333332,0.3466666666666667,0.19333333333333333,0.10666666666666667,0.28,9,38
Qwen3-1.7B,enumeration,150,0.14666666666666667,0.3333333333333333,0.18666666666666668,0.12,0.25333333333333335,1,29
Qwen3-1.7B,native_thinking,150,0.68,0.5533333333333333,-0.12666666666666668,-0.2,-0.05333333333333334,26,7
Qwen3-32B,direct,150,0.64,0.48,-0.16,-0.22,-0.1,26,2
Qwen3-32B,enumeration,150,0.5066666666666667,0.9866666666666667,0.48,0.4,0.56,1,73
Qwen3-32B,native_thinking,150,0.9866666666666667,0.9733333333333334,-0.013333333333333334,-0.04666666666666667,0.02,4,2
Gemma4-E4B,direct,150,0.3333333333333333,0.44,0.10666666666666667,0.02,0.18666666666666668,13,29
Gemma4-E4B,enumeration,150,0.9533333333333334,0.7533333333333333,-0.2,-0.28,-0.12,36,6
Gemma4-E4B,native_thinking,150,0.96,0.7533333333333333,-0.20666666666666667,-0.2733333333333333,-0.14,33,2
Gemma4-12B,direct,150,0.04666666666666667,0.0,-0.04666666666666667,-0.08,-0.013333333333333334,7,0
Gemma4-12B,enumeration,150,1.0,0.8,-0.2,-0.26666666666666666,-0.14,30,0
Gemma4-12B,native_thinking,150,0.7266666666666667,0.44,-0.2866666666666667,-0.36,-0.20666666666666667,46,3
OLMo-Hybrid-7B,direct,150,0.5466666666666666,0.44,-0.10666666666666667,-0.20666666666666667,0.0,38,22
OLMo-Hybrid-7B,enumeration,150,0.4266666666666667,0.3933333333333333,-0.03333333333333333,-0.11333333333333333,0.04666666666666667,21,16
Llama3.1-8B,direct,150,0.15333333333333332,0.4066666666666667,0.25333333333333335,0.17333333333333334,0.3333333333333333,6,44
Llama3.1-8B,enumeration,150,0.2733333333333333,0.38,0.10666666666666667,0.013333333333333334,0.20666666666666667,21,37
Llama3.2-3B,direct,150,0.08666666666666667,0.38,0.29333333333333333,0.21333333333333335,0.37333333333333335,2,46
Llama3.2-3B,enumeration,150,0.06,0.02,-0.04,-0.07333333333333333,-0.013333333333333334,6,0
