model_label,prompt_mode,requests,exact_correct,accuracy,parsed_outputs,parse_success_rate,format_failure_rate,truncation_rate,mean_absolute_error_parsed,median_absolute_error_parsed,mean_signed_bias_parsed,median_signed_bias_parsed
Qwen3-8B,direct,300,128,0.4266666666666667,296,0.9866666666666667,0.013333333333333334,0.013333333333333334,2.347972972972973,1.0,0.17229729729729729,0.0
Qwen3-8B,enumeration,300,191,0.6366666666666667,299,0.9966666666666667,0.0033333333333333335,0.0,160.98996655518394,0.0,160.93645484949832,0.0
Qwen3-8B,native_thinking,300,293,0.9766666666666667,295,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.006779661016949152,0.0,0.0,0.0
Qwen3-1.7B,direct,300,75,0.25,300,1.0,0.0,0.0,5.51,2.0,-1.6233333333333333,-1.0
Qwen3-1.7B,enumeration,300,72,0.24,282,0.94,0.06,0.0,96.61347517730496,31.0,95.47872340425532,31.0
Qwen3-1.7B,native_thinking,300,185,0.6166666666666667,298,0.9933333333333333,0.006666666666666667,0.006666666666666667,1.2852348993288591,0.0,-1.1778523489932886,0.0
Qwen3-32B,direct,300,168,0.56,298,0.9933333333333333,0.006666666666666667,0.006666666666666667,1.563758389261745,0.0,1.483221476510067,0.0
Qwen3-32B,enumeration,300,224,0.7466666666666667,300,1.0,0.0,0.0,174.26333333333332,0.0,174.22333333333333,0.0
Qwen3-32B,native_thinking,300,294,0.98,300,1.0,0.0,0.0,0.056666666666666664,0.0,0.03,0.0
Gemma4-E4B,direct,300,116,0.38666666666666666,253,0.8433333333333334,0.15666666666666668,0.15666666666666668,1.5810276679841897,1.0,-1.359683794466403,0.0
Gemma4-E4B,enumeration,300,256,0.8533333333333334,300,1.0,0.0,0.0,15.46,0.0,15.126666666666667,0.0
Gemma4-E4B,native_thinking,300,257,0.8566666666666667,299,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,0.35785953177257523,0.0,-0.07692307692307693,0.0
Gemma4-12B,direct,300,7,0.023333333333333334,7,0.023333333333333334,0.9766666666666667,0.9766666666666667,0.0,0.0,0.0,0.0
Gemma4-12B,enumeration,300,270,0.9,295,0.9833333333333333,0.016666666666666666,0.0033333333333333335,0.2983050847457627,0.0,-0.10847457627118644,0.0
Gemma4-12B,native_thinking,300,175,0.5833333333333334,184,0.6133333333333333,0.38666666666666666,0.38666666666666666,0.06521739130434782,0.0,0.03260869565217391,0.0
OLMo-Hybrid-7B,direct,300,148,0.49333333333333335,300,1.0,0.0,0.0,1.4066666666666667,1.0,-0.5266666666666666,0.0
OLMo-Hybrid-7B,enumeration,300,123,0.41,283,0.9433333333333334,0.056666666666666664,0.05333333333333334,125.64664310954063,1.0,124.76325088339223,0.0
Llama3.1-8B,direct,300,84,0.28,294,0.98,0.02,0.0033333333333333335,2.5272108843537415,1.0,-1.7380952380952381,-1.0
Llama3.1-8B,enumeration,300,98,0.32666666666666666,139,0.4633333333333333,0.5366666666666666,0.006666666666666667,26.302158273381295,0.0,25.611510791366907,0.0
Llama3.2-3B,direct,300,70,0.23333333333333334,265,0.8833333333333333,0.11666666666666667,0.07333333333333333,5.0452830188679245,2.0,2.5849056603773586,0.0
Llama3.2-3B,enumeration,300,12,0.04,98,0.32666666666666666,0.6733333333333333,0.04,193.72448979591837,153.0,192.68367346938774,153.0
