model_label,target,candidate,candidate_label,selection_metric,n_parameters,seed_mae,seed_rmse,seed_mean_residual,seed_raw_scale_mae,seed_raw_scale_rmse,needle_level_mae,needle_level_rmse,needle_level_mean_residual,needle_level_raw_scale_mae,needle_level_raw_scale_rmse,length_level_mae,length_level_rmse,length_level_mean_residual,length_level_raw_scale_mae,length_level_raw_scale_rmse,cell_block_mae,cell_block_rmse,cell_block_mean_residual,cell_block_raw_scale_mae,cell_block_raw_scale_rmse,selection_score
Qwen3-8B,asinh_bias,condition_only,Condition only,mae,6,0.8284593996225225,1.4774424144236955,-6.537957376471526e-05,52.736718049168275,196.1878346729146,0.8625955709192797,1.519913024001304,0.0009378106122940634,53.34593936976629,196.42412894532495,0.8854325782631581,1.6214738326912577,0.00032781734908291654,55.13042749127726,199.02128088215082,0.8461506873402216,1.5035570363505428,0.0009570258111902966,53.08610104943141,196.5106937876045,0.8556595590362954
Qwen3-8B,asinh_bias,log_density,Log density,mae,7,0.856601672927913,1.4778038495212373,-5.0672775733232253e-05,52.720150056169004,196.42417928279923,0.9055683964821567,1.5479932258722406,-0.04870997822836952,53.916858372805194,196.70803729075797,0.9787749022483067,1.6708231627913372,-0.13934183058907973,56.2063342172071,199.24104997921418,0.8914435881642938,1.5329032335767228,-0.05183276786998299,53.59941433113161,196.65831784073032,0.9080971399556675
Qwen3-8B,asinh_bias,log_separable,Separate log L + log N,mae,8,0.9389807042719013,1.4558540853467086,-0.0004795363328648206,52.088029325559155,193.88285391089926,0.9884364893888217,1.5264528750710138,-0.05752709650663689,53.08854338491376,193.4016300544771,1.0354109414429098,1.610839183311707,-0.1701680114922495,54.41232777258601,196.59662768098906,0.9698236580568325,1.5073387198113792,-0.06295732614543056,52.759200544084784,193.63950222386106,0.9831629482901163
Qwen3-8B,asinh_bias,log_interaction,Log L + log N + interaction,mae,9,0.9418971244278491,1.440856953972936,-0.0006527383606104976,51.74301244376563,191.8559571702744,0.9884839174608004,1.5074263768581277,-0.057103406504587194,52.62027162318649,190.83267982800706,1.0152754911221473,1.5767093525195168,-0.16800125020272336,53.638855345569205,194.53789743338484,0.9690370429819467,1.4888264444122257,-0.06247686732743087,52.344581545727536,191.37500065686825,0.9786733939981859
Qwen3-8B,asinh_bias,raw_separable,Raw normalized L + N,mae,8,0.9290497374735484,1.4633239369968496,-0.0005461964290787488,52.237975131525886,195.0999919265104,0.9670426846735044,1.5167932633456978,-0.03979135367330782,53.00059720811093,194.55857691007142,1.1206476697522492,1.6743051665803879,-0.31109749255978625,53.786780269267446,195.02820018136936,0.9501916448370333,1.5005701812927477,-0.04499876670123033,52.69710422312627,194.56169265174972,0.9917329341840838
Qwen3-8B,capped_bias,condition_only,Condition only,mae,6,3.149203858288733,6.246035204670367,-0.000346957916603733,,,3.275410085449816,6.439936958329146,0.0035224265609173242,,,3.342071730837381,6.774868330796327,-9.522419795323433e-05,,,3.2233176193812745,6.37314242642858,0.003480813817891563,,,3.2475008234893012
Qwen3-8B,capped_bias,log_density,Log density,mae,7,3.3062964562797466,6.243735711723358,-0.00031258855328498964,,,3.5200327991393348,6.5768540916564024,-0.20905588216468857,,,3.6794149680732238,6.903781509991751,-0.4893613876885101,,,3.4654979830386408,6.517183688498678,-0.2281440565914884,,,3.4928105516327363
Qwen3-8B,capped_bias,log_separable,Separate log L + log N,mae,8,3.5990299032499715,6.1610561070854635,-0.001976511024085577,,,3.800773124448192,6.50532908630934,-0.26381571375940094,,,3.9811659739869,6.665027286830836,-0.5045675892718408,,,3.74793021042197,6.4284187788282665,-0.29141851507417404,,,3.7822248030267582
Qwen3-8B,capped_bias,log_interaction,Log L + log N + interaction,mae,9,3.6119447062524914,6.117173302500498,-0.002644672037164601,,,3.8172063348795455,6.446539871643766,-0.2623967260960038,,,3.9394235418857764,6.562942264181053,-0.49537848315710326,,,3.7637114856383147,6.3711487832826,-0.28977705534508047,,,3.783071517164032
Qwen3-8B,capped_bias,raw_separable,Raw normalized L + N,mae,8,3.569390993972017,6.180244750805347,-0.002312804062756948,,,3.701159686351915,6.41704538531587,-0.15287021521232508,,,4.344890792248341,6.867486123707846,-1.089230317133975,,,3.6561823769941726,6.356552897604552,-0.1831509290234529,,,3.8179059623916114
