model_label,target_passage_tokens,num_needles,observed_mean_asinh_bias,oof_predicted_mean_asinh_bias,parsed_n
Gemma4-12B,2000,1,0.0,-0.02463785169671386,24
Gemma4-12B,2000,2,0.0,-0.02687765639641512,22
Gemma4-12B,2000,3,0.0,-0.02956542203605663,20
Gemma4-12B,2000,4,0.0,-0.03257112449028912,19
Gemma4-12B,2000,5,0.0,-0.03257112449028912,19
Gemma4-12B,2000,6,0.0,-0.03418581351944421,18
Gemma4-12B,2000,8,0.0,-0.03257112449028912,19
Gemma4-12B,2000,10,0.0,-0.03411330442665205,19
Gemma4-12B,2000,20,0.0,-0.035823816883884876,18
Gemma4-12B,2000,30,0.0,-0.03257112449028912,19
Gemma4-12B,5000,1,0.14999000256953388,-0.035823816883884876,18
Gemma4-12B,5000,2,0.1391642505820331,-0.030936932566086053,19
Gemma4-12B,5000,3,0.0,-0.039540528631485425,17
Gemma4-12B,5000,4,0.0351413680099542,-0.044964668960302864,16
Gemma4-12B,5000,5,0.18720868546462416,-0.04989560397075946,15
Gemma4-12B,5000,6,-0.1036910102375933,-0.0444343770037108,17
Gemma4-12B,5000,8,0.12633991291361163,-0.05329503952239659,15
Gemma4-12B,5000,10,-0.05508584918872144,-0.04519131079187976,16
Gemma4-12B,5000,20,-0.1762747174039086,-0.04897040009383506,10
Gemma4-12B,5000,30,-0.45166703743756326,-0.051458844549439206,15
Gemma4-12B,10000,1,0.0,-0.049952684441682035,16
Gemma4-12B,10000,2,0.0,-0.06505412092773181,14
Gemma4-12B,10000,3,0.0,-0.05684280882362275,14
Gemma4-12B,10000,4,0.0,-0.06602438346376842,12
Gemma4-12B,10000,5,-0.06295525621568164,-0.059362070901850826,14
Gemma4-12B,10000,6,0.0,-0.05685134791931795,14
Gemma4-12B,10000,8,-0.21136446019985033,-0.059817816008418595,11
Gemma4-12B,10000,10,-0.26918889552694025,-0.06504107508708637,14
Gemma4-12B,10000,20,-0.5968042906417261,-0.06976605724556076,13
Gemma4-12B,10000,30,-0.7395632020045811,-0.057037904079400174,9
Gemma4-E4B,2000,1,0.0,0.13920462768043548,30
Gemma4-E4B,2000,2,0.0293791195673181,0.026645441735398137,30
Gemma4-E4B,2000,3,0.0,0.04087936736531387,25
Gemma4-E4B,2000,4,-0.033898984116136274,-0.016656069930019588,26
Gemma4-E4B,2000,5,0.20098718688394956,-0.040547090044736334,26
Gemma4-E4B,2000,6,0.2967861378734438,-0.021124391986070593,24
Gemma4-E4B,2000,8,-0.1459912941513371,-0.15128981772693662,28
Gemma4-E4B,2000,10,-0.032643466185909,-0.16396695110965911,27
Gemma4-E4B,2000,20,-0.38340571246419375,-0.32885940967651334,29
Gemma4-E4B,2000,30,-0.7669758225501765,-0.41311098328261875,30
Gemma4-E4B,5000,1,0.0,0.2482388483870256,30
Gemma4-E4B,5000,2,0.0587582391346362,0.04700248210257075,30
Gemma4-E4B,5000,3,0.03147762810784082,-0.029091712698007317,28
Gemma4-E4B,5000,4,-0.051099350029181104,-0.11217838193967497,28
Gemma4-E4B,5000,5,-0.25377501947718706,-0.21901752420189396,30
Gemma4-E4B,5000,6,-0.3018962019831474,-0.27194961223967723,30
Gemma4-E4B,5000,8,-0.29397184848813784,-0.31143745791884114,28
Gemma4-E4B,5000,10,-0.37425178915537116,-0.3243542463194693,26
Gemma4-E4B,5000,20,-0.8538337051641477,-0.6214902567708036,30
Gemma4-E4B,5000,30,-0.306932600102413,-0.7392059848285969,30
Gemma4-E4B,10000,1,0.0,0.33072005226512347,30
Gemma4-E4B,10000,2,0.09920287114268815,0.06240198866113826,30
Gemma4-E4B,10000,3,0.16471865068440095,-0.07624518696725037,29
Gemma4-E4B,10000,4,-0.12156877062338525,-0.18360027310273652,29
Gemma4-E4B,10000,5,0.15899458901559615,-0.277052010971669,28
Gemma4-E4B,10000,6,-0.04067303973648308,-0.31878112097011085,28
Gemma4-E4B,10000,8,-0.5658736550708382,-0.43041349617707925,28
Gemma4-E4B,10000,10,-0.5326135052754206,-0.4913546986827532,27
Gemma4-E4B,10000,20,-1.082034685752023,-0.7886216561849722,28
Gemma4-E4B,10000,30,-1.2017680291941972,-0.9858873306651597,30
Llama3.1-8B,2000,1,0.20889609732112022,0.48689153674121777,16
Llama3.1-8B,2000,2,0.7515920872752185,0.2919269299819304,15
Llama3.1-8B,2000,3,0.8475365056535534,0.17015179686833862,14
Llama3.1-8B,2000,4,0.577595289274103,0.2659775946501215,16
Llama3.1-8B,2000,5,-0.29108467966513135,0.17360694983780853,14
Llama3.1-8B,2000,6,0.2282113678937314,-0.04370942360666829,13
Llama3.1-8B,2000,8,0.022793692775733978,-0.04905248557477389,14
Llama3.1-8B,2000,10,-0.22996885590112587,-0.12025350413060916,15
Llama3.1-8B,2000,20,-0.5713593908165393,-0.6124758830712057,17
Llama3.1-8B,2000,30,-1.15564812546659,-1.0920462204448274,19
Llama3.1-8B,5000,1,-0.33898984116136266,0.1190331598416133,13
Llama3.1-8B,5000,2,-0.41246727862251725,0.08890531890190698,14
Llama3.1-8B,5000,3,0.1407756207250081,-0.25885959243061496,11
Llama3.1-8B,5000,4,0.3933445133867859,-0.2185083959685583,12
Llama3.1-8B,5000,5,-0.6259846392075444,-0.089526727470672,13
Llama3.1-8B,5000,6,-0.6059036733466162,-0.1656372536319063,13
Llama3.1-8B,5000,8,-0.38810333686743476,-0.1740610148368211,14
Llama3.1-8B,5000,10,-0.7337157684368387,-0.10164802312161833,17
Llama3.1-8B,5000,20,-0.11684767580840563,-0.7097901888289767,18
Llama3.1-8B,5000,30,-1.4669044229143986,-1.3088246303829143,18
Llama3.1-8B,10000,1,0.18440391546265203,0.26919106529340014,14
Llama3.1-8B,10000,2,0.5887698765694754,0.04112628852142284,12
Llama3.1-8B,10000,3,-0.710268027767636,-0.48316335550857303,9
Llama3.1-8B,10000,4,0.2645691522648214,-0.45418743746968676,12
Llama3.1-8B,10000,5,-0.7889565965918885,-0.4118983688291867,12
Llama3.1-8B,10000,6,-0.6342801261308233,-0.35868822341082524,13
Llama3.1-8B,10000,8,-0.554360574659564,-0.5961350058488118,12
Llama3.1-8B,10000,10,-0.4980785028974024,-0.4696785635055976,16
Llama3.1-8B,10000,20,-0.57871238498204,-0.9189312843296187,19
Llama3.1-8B,10000,30,-1.5395110947584725,-1.3794750517132792,18
Llama3.2-3B,2000,1,0.631368362895184,2.130390406364579,11
Llama3.2-3B,2000,2,2.026907398146752,2.8724119822495187,15
Llama3.2-3B,2000,3,2.9027479963577174,2.8926003657043884,15
Llama3.2-3B,2000,4,3.077510091036727,2.9071338316271014,16
Llama3.2-3B,2000,5,2.7831174969550996,2.3367472837155114,13
Llama3.2-3B,2000,6,3.0424810937057223,2.45978866884245,14
Llama3.2-3B,2000,8,2.1340607501802533,1.2317724486953656,10
Llama3.2-3B,2000,10,2.7971598170593235,1.7033351156790653,12
Llama3.2-3B,2000,20,1.1065884956437329,1.7156152212416231,15
Llama3.2-3B,2000,30,0.24194392019516414,0.8461046482498046,16
Llama3.2-3B,5000,1,0.7164002651438325,1.8703543990776084,12
Llama3.2-3B,5000,2,1.393190615320417,2.3304238363029826,15
Llama3.2-3B,5000,3,2.2108187795703533,2.28536492234004,15
Llama3.2-3B,5000,4,1.3066201780569602,1.8493788683294132,13
Llama3.2-3B,5000,5,2.7514354065628552,2.1380373151016374,15
Llama3.2-3B,5000,6,3.100131835030804,2.0970238297204067,14
Llama3.2-3B,5000,8,2.2679404005242265,1.538174666148966,12
Llama3.2-3B,5000,10,1.6480764586943213,1.4078167295343897,12
Llama3.2-3B,5000,20,1.520631427741281,0.6027613786598387,13
Llama3.2-3B,5000,30,-0.3555390852638682,-0.23485386514838197,13
Llama3.2-3B,10000,1,0.5214965293162436,1.5178925559583014,10
Llama3.2-3B,10000,2,2.0372228758836823,1.388743864666908,11
Llama3.2-3B,10000,3,1.5243897071150985,0.973808461851741,11
Llama3.2-3B,10000,4,1.1718209488609255,0.8260027256568978,11
Llama3.2-3B,10000,5,0.8187939506342053,0.41798115465085484,9
Llama3.2-3B,10000,6,0.49790265623744023,0.4752829957370836,9
Llama3.2-3B,10000,8,-0.7535650779573696,-0.44663278176985594,6
Llama3.2-3B,10000,10,-1.4694872458287953,-0.8195219232625329,7
Llama3.2-3B,10000,20,-1.300156668511255,-0.6743212572402064,9
Llama3.2-3B,10000,30,-2.197575823920009,-1.763951902050795,9
OLMo-Hybrid-7B,2000,1,0.0,0.7554943304185254,20
OLMo-Hybrid-7B,2000,2,0.2994932035562701,0.710233420552348,19
OLMo-Hybrid-7B,2000,3,0.6742689144514571,0.6937218202313972,18
OLMo-Hybrid-7B,2000,4,0.839541953570056,0.6937218202313972,18
OLMo-Hybrid-7B,2000,5,0.16101573431885569,0.7422339148442658,19
OLMo-Hybrid-7B,2000,6,1.509259849728725,0.7422339148442658,19
OLMo-Hybrid-7B,2000,8,0.9745496560239317,0.7554943304185254,20
OLMo-Hybrid-7B,2000,10,1.697663806199772,0.7422339148442658,19
OLMo-Hybrid-7B,2000,20,-0.24965937740816418,0.7554943304185254,20
OLMo-Hybrid-7B,2000,30,-0.8577975661069009,0.7554943304185254,20
OLMo-Hybrid-7B,5000,1,0.27433218790054836,0.7554943304185254,20
OLMo-Hybrid-7B,5000,2,0.6096079223770781,0.7554943304185254,20
OLMo-Hybrid-7B,5000,3,1.158984247696781,0.7554943304185254,20
OLMo-Hybrid-7B,5000,4,2.030041214771753,0.7554943304185254,20
OLMo-Hybrid-7B,5000,5,0.7406977573641762,0.6685479375889387,19
OLMo-Hybrid-7B,5000,6,1.473152483373154,0.7554943304185254,20
OLMo-Hybrid-7B,5000,8,1.2871421629945066,0.7554943304185254,20
OLMo-Hybrid-7B,5000,10,0.6020951223176036,0.7554943304185254,20
OLMo-Hybrid-7B,5000,20,-0.6411015728689515,0.7554943304185254,20
OLMo-Hybrid-7B,5000,30,-0.3509995475139453,0.6892698344907356,19
OLMo-Hybrid-7B,10000,1,-0.0881373587019543,0.7554943304185254,20
OLMo-Hybrid-7B,10000,2,-0.053441224556277686,0.7554943304185254,20
OLMo-Hybrid-7B,10000,3,0.9162148295076031,0.7554943304185254,20
OLMo-Hybrid-7B,10000,4,1.5964241991880388,0.7554943304185254,20
OLMo-Hybrid-7B,10000,5,1.604694605322612,0.710233420552348,19
OLMo-Hybrid-7B,10000,6,1.165862066267391,0.710233420552348,19
OLMo-Hybrid-7B,10000,8,0.9656656266075467,0.7554943304185254,20
OLMo-Hybrid-7B,10000,10,1.7929980934317207,0.7554943304185254,20
OLMo-Hybrid-7B,10000,20,1.103400298224637,0.6203873909784955,18
OLMo-Hybrid-7B,10000,30,0.5445705889593253,0.5287080678238266,17
Qwen3-1.7B,2000,1,-0.030392192655846313,0.6849769758902172,29
Qwen3-1.7B,2000,2,0.671092197281659,0.58662801419217,30
Qwen3-1.7B,2000,3,0.6245987809437618,0.5225015864337762,30
Qwen3-1.7B,2000,4,0.9843888679462791,0.45837515867538237,30
Qwen3-1.7B,2000,5,0.3350337674014795,0.2798740826334488,29
Qwen3-1.7B,2000,6,0.7556880483708164,0.33012230315859475,30
Qwen3-1.7B,2000,8,0.26844342981980657,0.20186944764180711,30
Qwen3-1.7B,2000,10,0.01613133024173091,-0.14874233704928427,27
Qwen3-1.7B,2000,20,-0.7106172606068265,-0.5676476854589186,30
Qwen3-1.7B,2000,30,-1.364562525615461,-1.230022620257199,29
Qwen3-1.7B,5000,1,0.03123576240708413,0.8815968763241698,30
Qwen3-1.7B,5000,2,0.6554566255907324,0.7780646855513688,29
Qwen3-1.7B,5000,3,0.49481581226836857,0.7482858508928972,28
Qwen3-1.7B,5000,4,1.2413251017435187,0.6496690081440445,29
Qwen3-1.7B,5000,5,1.1935960625202147,0.6250911652905945,30
Qwen3-1.7B,5000,6,0.3487038033754711,0.5609647375322007,30
Qwen3-1.7B,5000,8,0.6927237234165721,0.43271188201541305,30
Qwen3-1.7B,5000,10,0.5113641518173243,0.3044590264986254,30
Qwen3-1.7B,5000,20,-0.6058062912318475,-0.49926772876707004,28
Qwen3-1.7B,5000,30,-1.7838087519846137,-1.0194747981511707,29
Qwen3-1.7B,10000,1,-0.0587582391346362,1.2663342669468463,30
Qwen3-1.7B,10000,2,0.5032994441275593,0.9655892927745623,28
Qwen3-1.7B,10000,3,0.36278878685132115,1.1380814114300586,30
Qwen3-1.7B,10000,4,1.692310977808303,0.9842529297582644,28
Qwen3-1.7B,10000,5,1.333116676653784,1.009828555913271,30
Qwen3-1.7B,10000,6,1.3567370100042722,0.9457021281548772,30
Qwen3-1.7B,10000,8,1.380644806845837,0.7434338144175067,28
Qwen3-1.7B,10000,10,1.0576495482271455,0.5667129613053604,29
Qwen3-1.7B,10000,20,0.42961348752384154,0.047932139537363944,30
Qwen3-1.7B,10000,30,-0.6201797507112633,-0.5933321380465743,30
Qwen3-32B,2000,1,0.5253706628898746,0.7885557908022082,30
Qwen3-32B,2000,2,0.0,0.7885557908022082,30
Qwen3-32B,2000,3,0.0,0.7885557908022082,30
Qwen3-32B,2000,4,0.4243089152458355,0.7885557908022082,30
Qwen3-32B,2000,5,0.4425182653148199,0.7885557908022082,30
Qwen3-32B,2000,6,0.9313250353514347,0.7885557908022082,30
Qwen3-32B,2000,8,1.4560684574354188,0.7885557908022082,30
Qwen3-32B,2000,10,1.5678012973328725,0.7885557908022082,30
Qwen3-32B,2000,20,1.4108275320630632,0.7885557908022082,30
Qwen3-32B,2000,30,0.8788856134295021,0.7885557908022082,30
Qwen3-32B,5000,1,0.17490172572801926,0.7885557908022082,30
Qwen3-32B,5000,2,0.1896790289189711,0.7885557908022082,30
Qwen3-32B,5000,3,0.3165217019438734,0.7885557908022082,30
Qwen3-32B,5000,4,0.48306715438047176,0.7885557908022082,30
Qwen3-32B,5000,5,0.3905572575892027,0.7885557908022082,30
Qwen3-32B,5000,6,0.6445392820077132,0.7885557908022082,30
Qwen3-32B,5000,8,1.323878678387659,0.7885557908022082,30
