candidate,candidate_label,scheme,fold,train_n,test_n,asinh_mae,asinh_rmse
condition_only,Condition only,seed,1234,2137,531,1.1154999045750065,1.7605705310025057
condition_only,Condition only,seed,1235,2132,536,1.0872405603386124,1.7180267681484087
condition_only,Condition only,seed,1236,2134,534,1.1106537290140341,1.7703529576817865
condition_only,Condition only,seed,1237,2132,536,1.0709410208271675,1.6718460453340942
condition_only,Condition only,seed,1238,2137,531,1.107981251524156,1.763054366741645
condition_only,Condition only,length,10000,1780,888,1.1828844137572936,1.8335955930109078
condition_only,Condition only,length,2000,1774,894,1.0965868748088852,1.775758383186061
condition_only,Condition only,length,5000,1782,886,1.068431593523778,1.6776771356036715
condition_only,Condition only,needle_level,1,2400,268,1.154641658939859,1.84616219088357
condition_only,Condition only,needle_level,10,2402,266,1.1019748093817003,1.7618600899486871
condition_only,Condition only,needle_level,2,2401,267,0.9291442509556166,1.4697295934890526
condition_only,Condition only,needle_level,20,2404,264,1.5488275120197565,2.1040602546835343
condition_only,Condition only,needle_level,3,2400,268,0.906107192310149,1.3996250464736755
condition_only,Condition only,needle_level,30,2406,262,1.851152832982134,2.486560144916115
condition_only,Condition only,needle_level,4,2401,267,0.9209812221178006,1.477732013566639
condition_only,Condition only,needle_level,5,2399,269,0.8957842733023937,1.4768819964996744
condition_only,Condition only,needle_level,6,2399,269,0.9377160978659519,1.5820175651755426
condition_only,Condition only,needle_level,8,2400,268,0.9822777560276605,1.6242112210058015
condition_only,Condition only,blocked_cell,0,2139,529,1.0443387904963157,1.659445788640616
condition_only,Condition only,blocked_cell,1,2133,535,1.0702348070184033,1.6958879215820766
condition_only,Condition only,blocked_cell,2,2135,533,1.04503815903575,1.6550587627034248
condition_only,Condition only,blocked_cell,3,2132,536,1.1557651173404986,1.772923021611088
condition_only,Condition only,blocked_cell,4,2133,535,1.084876185311946,1.6927548747891172
shared_log_length_only,Shared log L,seed,1234,2137,531,1.1541349278592818,1.749099494041331
shared_log_length_only,Shared log L,seed,1235,2132,536,1.1356538611527587,1.7184522097120085
shared_log_length_only,Shared log L,seed,1236,2134,534,1.148788006662783,1.758405408860577
shared_log_length_only,Shared log L,seed,1237,2132,536,1.1093205428641457,1.661633952519458
shared_log_length_only,Shared log L,seed,1238,2137,531,1.1416421983616583,1.7505590964263238
