T,N,requests,exact_correct,exact_accuracy,parsed_requests,parse_success_rate,mean_signed_error_parsed,median_signed_error_parsed,mean_absolute_error_parsed,model_label,prompt_mode
2000,1,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,direct
2000,2,5,4,0.8,5,1.0,0.2,0.0,0.2,Qwen3-1.7B,direct
2000,3,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,direct
2000,4,5,2,0.4,5,1.0,0.2,0.0,0.6,Qwen3-1.7B,direct
2000,5,5,3,0.6,5,1.0,-0.4,0.0,0.4,Qwen3-1.7B,direct
2000,6,5,0,0.0,5,1.0,0.0,-1.0,1.2,Qwen3-1.7B,direct
2000,8,5,3,0.6,5,1.0,-1.2,0.0,1.2,Qwen3-1.7B,direct
2000,10,5,1,0.2,5,1.0,-2.8,-2.0,2.8,Qwen3-1.7B,direct
2000,20,5,0,0.0,5,1.0,-4.6,-6.0,6.2,Qwen3-1.7B,direct
2000,30,5,0,0.0,5,1.0,-11.4,-15.0,11.4,Qwen3-1.7B,direct
5000,1,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,direct
5000,2,5,3,0.6,5,1.0,0.4,0.0,0.4,Qwen3-1.7B,direct
5000,3,5,3,0.6,5,1.0,0.0,0.0,0.4,Qwen3-1.7B,direct
5000,4,5,1,0.2,5,1.0,1.8,1.0,1.8,Qwen3-1.7B,direct
5000,5,5,3,0.6,5,1.0,0.8,0.0,1.2,Qwen3-1.7B,direct
5000,6,5,0,0.0,5,1.0,0.0,-1.0,1.6,Qwen3-1.7B,direct
5000,8,5,0,0.0,5,1.0,0.8,2.0,3.2,Qwen3-1.7B,direct
5000,10,5,1,0.2,5,1.0,1.0,0.0,2.6,Qwen3-1.7B,direct
5000,20,5,0,0.0,5,1.0,-2.6,-5.0,5.8,Qwen3-1.7B,direct
5000,30,5,0,0.0,5,1.0,0.6,-5.0,11.4,Qwen3-1.7B,direct
10000,1,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,direct
10000,2,5,3,0.6,5,1.0,0.4,0.0,0.4,Qwen3-1.7B,direct
10000,3,5,1,0.2,5,1.0,1.8,1.0,2.2,Qwen3-1.7B,direct
10000,4,5,1,0.2,5,1.0,2.4,1.0,2.8,Qwen3-1.7B,direct
10000,5,5,1,0.2,5,1.0,4.0,5.0,4.4,Qwen3-1.7B,direct
10000,6,5,0,0.0,5,1.0,6.2,4.0,6.6,Qwen3-1.7B,direct
10000,8,5,0,0.0,5,1.0,7.2,6.0,7.2,Qwen3-1.7B,direct
10000,10,5,2,0.4,5,1.0,6.4,4.0,6.4,Qwen3-1.7B,direct
10000,20,5,0,0.0,5,1.0,9.8,14.0,15.4,Qwen3-1.7B,direct
10000,30,5,0,0.0,5,1.0,55.0,70.0,57.0,Qwen3-1.7B,direct
2000,1,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,enumeration
2000,2,5,4,0.8,5,1.0,29.6,0.0,29.6,Qwen3-1.7B,enumeration
2000,3,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,enumeration
2000,4,5,1,0.2,5,1.0,59.2,0.0,60.0,Qwen3-1.7B,enumeration
2000,5,5,1,0.2,5,1.0,14.4,0.0,15.2,Qwen3-1.7B,enumeration
2000,6,5,0,0.0,5,1.0,80.8,35.0,82.0,Qwen3-1.7B,enumeration
2000,8,5,2,0.4,5,1.0,21.8,0.0,22.2,Qwen3-1.7B,enumeration
2000,10,5,1,0.2,3,0.6,51.666666666666664,75.0,51.666666666666664,Qwen3-1.7B,enumeration
2000,20,5,2,0.4,5,1.0,-2.2,-3.0,2.2,Qwen3-1.7B,enumeration
2000,30,5,0,0.0,4,0.8,-5.75,-4.5,5.75,Qwen3-1.7B,enumeration
5000,1,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,enumeration
5000,2,5,3,0.6,4,0.8,37.0,0.0,37.0,Qwen3-1.7B,enumeration
5000,3,5,3,0.6,4,0.8,7.5,0.0,7.5,Qwen3-1.7B,enumeration
5000,4,5,2,0.4,4,0.8,80.5,13.0,80.5,Qwen3-1.7B,enumeration
5000,5,5,1,0.2,5,1.0,21.8,28.0,22.2,Qwen3-1.7B,enumeration
5000,6,5,0,0.0,5,1.0,23.0,34.0,24.2,Qwen3-1.7B,enumeration
5000,8,5,2,0.4,5,1.0,18.2,0.0,18.6,Qwen3-1.7B,enumeration
5000,10,5,0,0.0,5,1.0,50.4,80.0,53.6,Qwen3-1.7B,enumeration
5000,20,5,0,0.0,4,0.8,36.75,-2.5,43.25,Qwen3-1.7B,enumeration
5000,30,5,0,0.0,4,0.8,-1.75,-1.5,1.75,Qwen3-1.7B,enumeration
10000,1,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,enumeration
10000,2,5,2,0.4,5,1.0,26.2,0.0,27.0,Qwen3-1.7B,enumeration
10000,3,5,4,0.8,5,1.0,-0.2,0.0,0.2,Qwen3-1.7B,enumeration
10000,4,5,0,0.0,3,0.6,107.0,27.0,107.0,Qwen3-1.7B,enumeration
10000,5,5,1,0.2,5,1.0,79.6,25.0,80.0,Qwen3-1.7B,enumeration
10000,6,5,0,0.0,5,1.0,43.6,44.0,44.0,Qwen3-1.7B,enumeration
10000,8,5,0,0.0,3,0.6,210.66666666666666,77.0,212.66666666666666,Qwen3-1.7B,enumeration
10000,10,5,1,0.2,5,1.0,62.0,70.0,62.0,Qwen3-1.7B,enumeration
10000,20,5,0,0.0,5,1.0,106.8,126.0,107.6,Qwen3-1.7B,enumeration
10000,30,5,0,0.0,5,1.0,39.2,-4.0,46.4,Qwen3-1.7B,enumeration
2000,1,5,3,0.6,4,0.8,0.25,0.0,0.25,Qwen3-1.7B,native_thinking
2000,2,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,native_thinking
2000,3,5,5,1.0,5,1.0,0.0,0.0,0.0,Qwen3-1.7B,native_thinking
2000,4,5,3,0.6,5,1.0,-0.4,0.0,0.4,Qwen3-1.7B,native_thinking
2000,5,5,4,0.8,5,1.0,-0.2,0.0,0.2,Qwen3-1.7B,native_thinking
2000,6,5,2,0.4,5,1.0,-0.6,-1.0,0.6,Qwen3-1.7B,native_thinking
2000,8,5,1,0.2,5,1.0,-1.8,-2.0,1.8,Qwen3-1.7B,native_thinking
2000,10,5,3,0.6,5,1.0,-1.0,0.0,1.0,Qwen3-1.7B,native_thinking
2000,20,5,0,0.0,5,1.0,-4.2,-4.0,4.2,Qwen3-1.7B,native_thinking
