target,model_label,prompt_mode,replicate,coefficient,value
exact,Qwen3-1.7B,direct,0,intercept,-0.8348560464707028
exact,Qwen3-1.7B,direct,0,log_length,-1.6550808685788525
exact,Qwen3-1.7B,direct,0,log_needles,-2.0062739679873793
exact,Qwen3-1.7B,direct,1,intercept,-1.342615362251114
exact,Qwen3-1.7B,direct,1,log_length,-0.6099289368090131
exact,Qwen3-1.7B,direct,1,log_needles,-2.5454644816081604
exact,Qwen3-1.7B,direct,2,intercept,-1.0180098092020569
exact,Qwen3-1.7B,direct,2,log_length,-0.8339439474247704
exact,Qwen3-1.7B,direct,2,log_needles,-2.2394005564183153
exact,Qwen3-1.7B,direct,3,intercept,-0.5450560599730383
exact,Qwen3-1.7B,direct,3,log_length,-0.6750686226119391
exact,Qwen3-1.7B,direct,3,log_needles,-1.6280333604312676
exact,Qwen3-1.7B,direct,4,intercept,-1.0620054793541809
exact,Qwen3-1.7B,direct,4,log_length,-1.1048906993707386
exact,Qwen3-1.7B,direct,4,log_needles,-2.4135188452233995
exact,Qwen3-1.7B,direct,5,intercept,-1.1220263608100842
exact,Qwen3-1.7B,direct,5,log_length,-0.6674216852652126
exact,Qwen3-1.7B,direct,5,log_needles,-2.427206619740726
exact,Qwen3-1.7B,direct,6,intercept,-0.796269078369907
exact,Qwen3-1.7B,direct,6,log_length,-0.7240894078376721
exact,Qwen3-1.7B,direct,6,log_needles,-2.293353462868857
exact,Qwen3-1.7B,direct,7,intercept,-0.9280568806082297
exact,Qwen3-1.7B,direct,7,log_length,-1.257997717470758
exact,Qwen3-1.7B,direct,7,log_needles,-1.7852897916216888
exact,Qwen3-1.7B,direct,8,intercept,-1.3834262143125746
exact,Qwen3-1.7B,direct,8,log_length,-1.0466046395891935
exact,Qwen3-1.7B,direct,8,log_needles,-3.4659461559685485
exact,Qwen3-1.7B,direct,9,intercept,-0.7342127632957816
exact,Qwen3-1.7B,direct,9,log_length,-1.5737283240418263
exact,Qwen3-1.7B,direct,9,log_needles,-1.7855269454126022
exact,Qwen3-1.7B,direct,10,intercept,-0.5435254667755447
exact,Qwen3-1.7B,direct,10,log_length,-0.5632919852114979
exact,Qwen3-1.7B,direct,10,log_needles,-1.5747204601624765
exact,Qwen3-1.7B,direct,11,intercept,-1.0377388467172999
exact,Qwen3-1.7B,direct,11,log_length,-0.6833205434487343
exact,Qwen3-1.7B,direct,11,log_needles,-2.0574078199871297
exact,Qwen3-1.7B,direct,12,intercept,-1.2480580345503438
exact,Qwen3-1.7B,direct,12,log_length,-0.9523606415602835
exact,Qwen3-1.7B,direct,12,log_needles,-2.431334964474084
exact,Qwen3-1.7B,direct,13,intercept,-0.9144596535380081
exact,Qwen3-1.7B,direct,13,log_length,-0.6483596574944261
exact,Qwen3-1.7B,direct,13,log_needles,-2.2630780908403403
exact,Qwen3-1.7B,direct,14,intercept,-1.1047687791036815
exact,Qwen3-1.7B,direct,14,log_length,-0.9046607691311543
exact,Qwen3-1.7B,direct,14,log_needles,-2.0201463082073094
exact,Qwen3-1.7B,direct,15,intercept,-0.9202975401363678
exact,Qwen3-1.7B,direct,15,log_length,-1.5218883985078249
exact,Qwen3-1.7B,direct,15,log_needles,-2.00288704303591
exact,Qwen3-1.7B,direct,16,intercept,-1.5409396839731884
exact,Qwen3-1.7B,direct,16,log_length,-1.4688022382739037
exact,Qwen3-1.7B,direct,16,log_needles,-2.5433065479928203
exact,Qwen3-1.7B,direct,17,intercept,-1.397262553007717
exact,Qwen3-1.7B,direct,17,log_length,-0.6453214030870196
exact,Qwen3-1.7B,direct,17,log_needles,-2.5619553704089117
exact,Qwen3-1.7B,direct,18,intercept,-0.6271270987570068
exact,Qwen3-1.7B,direct,18,log_length,-1.3873535661335255
exact,Qwen3-1.7B,direct,18,log_needles,-2.1315564445803368
exact,Qwen3-1.7B,direct,19,intercept,-0.9951927404207291
exact,Qwen3-1.7B,direct,19,log_length,-1.9540315121923488
exact,Qwen3-1.7B,direct,19,log_needles,-3.2479539299001874
exact,Qwen3-1.7B,direct,20,intercept,-0.14768549638332537
exact,Qwen3-1.7B,direct,20,log_length,-0.7965963080332384
exact,Qwen3-1.7B,direct,20,log_needles,-1.5900875899539373
exact,Qwen3-1.7B,direct,21,intercept,-1.4000158541000562
exact,Qwen3-1.7B,direct,21,log_length,-0.9394092307670021
exact,Qwen3-1.7B,direct,21,log_needles,-2.4916458616762496
exact,Qwen3-1.7B,direct,22,intercept,-1.6118043211915747
exact,Qwen3-1.7B,direct,22,log_length,-0.30615124023430557
exact,Qwen3-1.7B,direct,22,log_needles,-2.9019388226990634
exact,Qwen3-1.7B,direct,23,intercept,-0.965829309370414
exact,Qwen3-1.7B,direct,23,log_length,-0.8286261493942133
exact,Qwen3-1.7B,direct,23,log_needles,-1.7779828956444932
exact,Qwen3-1.7B,direct,24,intercept,-0.7729623772338859
exact,Qwen3-1.7B,direct,24,log_length,0.23429557760927164
exact,Qwen3-1.7B,direct,24,log_needles,-1.788832641388359
exact,Qwen3-1.7B,direct,25,intercept,-1.2510629794395407
exact,Qwen3-1.7B,direct,25,log_length,-1.0947057026601592
exact,Qwen3-1.7B,direct,25,log_needles,-3.0729259835912557
exact,Qwen3-1.7B,direct,26,intercept,-1.4304034753542947
exact,Qwen3-1.7B,direct,26,log_length,-1.8189732043833056
exact,Qwen3-1.7B,direct,26,log_needles,-2.1489092601742428
exact,Qwen3-1.7B,direct,27,intercept,-0.7216537974909986
exact,Qwen3-1.7B,direct,27,log_length,-0.5835592518822726
exact,Qwen3-1.7B,direct,27,log_needles,-1.9298571005051866
exact,Qwen3-1.7B,direct,28,intercept,-0.5313556834505525
exact,Qwen3-1.7B,direct,28,log_length,-1.8242562666623081
exact,Qwen3-1.7B,direct,28,log_needles,-2.5327713632050712
exact,Qwen3-1.7B,direct,29,intercept,-0.6282774435208571
exact,Qwen3-1.7B,direct,29,log_length,-1.2054376907988456
exact,Qwen3-1.7B,direct,29,log_needles,-2.3838099542002213
exact,Qwen3-1.7B,direct,30,intercept,-0.7328198942649836
exact,Qwen3-1.7B,direct,30,log_length,-0.8582033819513447
exact,Qwen3-1.7B,direct,30,log_needles,-1.5699469757225553
exact,Qwen3-1.7B,direct,31,intercept,-0.7790674684675122
exact,Qwen3-1.7B,direct,31,log_length,-1.8300682695842114
exact,Qwen3-1.7B,direct,31,log_needles,-2.596472540032029
exact,Qwen3-1.7B,direct,32,intercept,-0.9725335515215606
exact,Qwen3-1.7B,direct,32,log_length,-0.8651223816238562
exact,Qwen3-1.7B,direct,32,log_needles,-3.215900619718158
exact,Qwen3-1.7B,direct,33,intercept,-1.2649648314656132
exact,Qwen3-1.7B,direct,33,log_length,-1.8047984019134875
exact,Qwen3-1.7B,direct,33,log_needles,-2.027302803939023
exact,Qwen3-1.7B,direct,34,intercept,-1.0770335392253447
exact,Qwen3-1.7B,direct,34,log_length,-0.9491002264170281
exact,Qwen3-1.7B,direct,34,log_needles,-2.110652410421541
exact,Qwen3-1.7B,direct,35,intercept,-0.8220323203851635
exact,Qwen3-1.7B,direct,35,log_length,-1.4008544684806445
exact,Qwen3-1.7B,direct,35,log_needles,-2.0497136506878912
exact,Qwen3-1.7B,direct,36,intercept,-0.34028378369424206
