target,model_label,prompt_mode,spec,label,candidate,estimator,transform,complexity,n,seed_oof_loss,seed_fold_se,seed_fold_losses
exact,Qwen3-1.7B,direct,constant__identity__logistic__0.3,Constant; ridge=0.3,constant,logistic,identity,0,150,0.6479194841663837,0.015853943444060346,"[0.6371406955271607, 0.637140695527148, 0.7096704671740411, 0.6371406955271609, 0.6185048670764081]"
exact,Qwen3-1.7B,direct,constant__identity__logistic__0.03,Constant; ridge=0.03,constant,logistic,identity,0,150,0.6479228908476204,0.015873851954409764,"[0.6371304530560955, 0.6371304530560955, 0.7097514870960033, 0.6371304530560955, 0.6184716079738131]"
exact,Qwen3-1.7B,direct,constant__identity__logistic__0.001,Constant; ridge=0.001,constant,logistic,identity,0,150,0.647923262742877,0.015875993467125656,"[0.6371293566873438, 0.6371293566873438, 0.7097602077035325, 0.6371293566873681, 0.6184680359487971]"
exact,Qwen3-1.7B,direct,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,log_needles_only,logistic,identity,1,150,0.4355561525378058,0.02475542411477347,"[0.4458588884458493, 0.3880457255454538, 0.47904701990293996, 0.49558907953443226, 0.36924004926035375]"
exact,Qwen3-1.7B,direct,log_needles_only__identity__logistic__0.03,Log N only; ridge=0.03,log_needles_only,logistic,identity,1,150,0.4357302345080408,0.025746208610101542,"[0.44676739084812456, 0.3861357769491421, 0.47928068443091054, 0.49944094321379234, 0.3670263770982347]"
exact,Qwen3-1.7B,direct,log_needles_only__identity__logistic__0.001,Log N only; ridge=0.001,log_needles_only,logistic,identity,1,150,0.4357756728396542,0.025864825328400298,"[0.44689820957669524, 0.38593327795147886, 0.47933177031359814, 0.49992699211671443, 0.36678811423978425]"
exact,Qwen3-1.7B,direct,linear_needles_only__identity__logistic__0.3,Linear N only; ridge=0.3,linear_needles_only,logistic,identity,1,150,0.46438601485302283,0.02315642588066785,"[0.4855817524698866, 0.4246291547453687, 0.5021480155411789, 0.5143012393012054, 0.3952699122074742]"
exact,Qwen3-1.7B,direct,linear_needles_only__identity__logistic__0.03,Linear N only; ridge=0.03,linear_needles_only,logistic,identity,1,150,0.4647702523323997,0.024648672103509916,"[0.487634505897066, 0.42224235378323877, 0.5037365987758214, 0.518817689606692, 0.3914201135991801]"
exact,Qwen3-1.7B,direct,linear_needles_only__identity__logistic__0.001,Linear N only; ridge=0.001,linear_needles_only,logistic,identity,1,150,0.46485226557320897,0.024831287569755382,"[0.4879157581721057, 0.4219844087829457, 0.503970793730121, 0.5194038329329539, 0.3909865342479187]"
exact,Qwen3-1.7B,direct,log_length_only__identity__logistic__0.3,Log T only; ridge=0.3,log_length_only,logistic,identity,1,150,0.6420310620011292,0.02546842976816456,"[0.5966879451838752, 0.6617732632563211, 0.7330148061203741, 0.6018708220119657, 0.6168084734331105]"
exact,Qwen3-1.7B,direct,log_length_only__identity__logistic__0.03,Log T only; ridge=0.03,log_length_only,logistic,identity,1,150,0.6423087657078062,0.025868333213316438,"[0.5958628896030245, 0.6629293366635796, 0.7343928534594557, 0.6012297342267339, 0.6171290145862369]"
exact,Qwen3-1.7B,direct,log_length_only__identity__logistic__0.001,Log T only; ridge=0.001,log_length_only,logistic,identity,1,150,0.6423407050558213,0.025912877900874293,"[0.5957723635454073, 0.6630587523902679, 0.7345471644873045, 0.601159641385632, 0.6171656034704944]"
exact,Qwen3-1.7B,direct,log_density__identity__logistic__0.3,Log density; ridge=0.3,log_density,logistic,identity,1,150,0.5721475584127791,0.03047163935886075,"[0.6424541567075761, 0.5004323940018719, 0.5788953582439661, 0.6343799716589518, 0.5045759114515288]"
exact,Qwen3-1.7B,direct,log_density__identity__logistic__0.03,Log density; ridge=0.03,log_density,logistic,identity,1,150,0.5723253722216093,0.030896295307558604,"[0.6438288328030394, 0.49968612523341166, 0.5784335061891035, 0.6356143638755022, 0.5040640330069889]"
exact,Qwen3-1.7B,direct,log_density__identity__logistic__0.001,Log density; ridge=0.001,log_density,logistic,identity,1,150,0.5723461817218571,0.03094302691928393,"[0.6439812164397705, 0.4996054709098428, 0.5783839619928606, 0.635751259400816, 0.5040089998659953]"
exact,Qwen3-1.7B,direct,log_burden__identity__logistic__0.3,Log burden; ridge=0.3,log_burden,logistic,identity,1,150,0.44417034204950845,0.042746579334610936,"[0.33125375471710405, 0.49088175386734817, 0.5819833321287776, 0.4030265181275399, 0.41370635140677237]"
exact,Qwen3-1.7B,direct,log_burden__identity__logistic__0.03,Log burden; ridge=0.03,log_burden,logistic,identity,1,150,0.4446630776557087,0.04396820740187756,"[0.32852062810513066, 0.49293592145459403, 0.5862971873200795, 0.40212807559479835, 0.4134335758039404]"
exact,Qwen3-1.7B,direct,log_burden__identity__logistic__0.001,Log burden; ridge=0.001,log_burden,logistic,identity,1,150,0.44473109877248285,0.044108693778089146,"[0.32822085925401395, 0.49318112457246754, 0.5868071763311719, 0.4020349967140073, 0.41341133699075366]"
exact,Qwen3-1.7B,direct,log_separable__identity__logistic__0.3,Log T + log N; ridge=0.3,log_separable,logistic,identity,2,150,0.4246073218298681,0.026751142184100005,"[0.38146229943339244, 0.42281988558386646, 0.5161996688770931, 0.4398134233935152, 0.3627413318614733]"
exact,Qwen3-1.7B,direct,log_separable__identity__logistic__0.03,Log T + log N; ridge=0.03,log_separable,logistic,identity,2,150,0.42584707426166307,0.02828968547507201,"[0.3788434267862073, 0.4252485659927509, 0.5227423145242915, 0.4411557151532233, 0.36124534885184223]"
exact,Qwen3-1.7B,direct,log_separable__identity__logistic__0.001,Log T + log N; ridge=0.001,log_separable,logistic,identity,2,150,0.42604350840668287,0.028482345271265634,"[0.37856286510043285, 0.4255873172248755, 0.5236053704621411, 0.4413596728693511, 0.36110231637661383]"
exact,Qwen3-1.7B,direct,semi_log_needles__identity__logistic__0.3,Log T + linear N; ridge=0.3,semi_log_needles,logistic,identity,2,150,0.4543563080663288,0.023799523287891543,"[0.4273573893038263, 0.4569804143332786, 0.5338009590780892, 0.46400150779063526, 0.3896412698258146]"
exact,Qwen3-1.7B,direct,semi_log_needles__identity__logistic__0.03,Log T + linear N; ridge=0.03,semi_log_needles,logistic,identity,2,150,0.45548349969588997,0.025487786775146536,"[0.4265217673355411, 0.4579683490722411, 0.5403698769951181, 0.46650348070456377, 0.38605402437198577]"
exact,Qwen3-1.7B,direct,semi_log_needles__identity__logistic__0.001,Log T + linear N; ridge=0.001,semi_log_needles,logistic,identity,2,150,0.45567407301582025,0.02570206536201633,"[0.4264642933509382, 0.45813068176329924, 0.541258108591718, 0.46686353361321675, 0.3856537477599288]"
exact,Qwen3-1.7B,direct,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,quadratic_log_needles,logistic,identity,3,150,0.42328102657809286,0.027463707915188554,"[0.376565667255092, 0.4203089905196187, 0.5174772048498468, 0.43995292044130796, 0.3621003498245991]"
exact,Qwen3-1.7B,direct,quadratic_log_needles__identity__logistic__0.03,Log T + curved log N; ridge=0.03,quadratic_log_needles,logistic,identity,3,150,0.42458628863103187,0.028886618614213044,"[0.3739307637592966, 0.4229397569953247, 0.5236272934469404, 0.4413332459816456, 0.3611003829719524]"
exact,Qwen3-1.7B,direct,quadratic_log_needles__identity__logistic__0.001,Log T + curved log N; ridge=0.001,quadratic_log_needles,logistic,identity,3,150,0.4247883566614908,0.02906382783467345,"[0.37364952675455815, 0.42330130946542915, 0.5244349695556347, 0.44153844253888896, 0.36101753499294326]"
exact,Qwen3-1.7B,direct,piecewise_log_needles__identity__logistic__0.3,Log T + piecewise log N; ridge=0.3,piecewise_log_needles,logistic,identity,3,150,0.42485402676856815,0.026325630180419814,"[0.38116996147479576, 0.4214042247310518, 0.5163747365903136, 0.43857328555298597, 0.36674792549369317]"
exact,Qwen3-1.7B,direct,piecewise_log_needles__identity__logistic__0.03,Log T + piecewise log N; ridge=0.03,piecewise_log_needles,logistic,identity,3,150,0.4260398271128712,0.028108428831467278,"[0.374352393991639, 0.42108754545422866, 0.5250579100464849, 0.4395134170136418, 0.37018786905836176]"
exact,Qwen3-1.7B,direct,piecewise_log_needles__identity__logistic__0.001,Log T + piecewise log N; ridge=0.001,piecewise_log_needles,logistic,identity,3,150,0.4263874333611924,0.028392659132057376,"[0.37338936913702475, 0.42103972260849626, 0.5265749277784894, 0.43990906374766403, 0.37102408353428745]"
exact,Qwen3-1.7B,direct,log_interaction__identity__logistic__0.3,Log T x log N; ridge=0.3,log_interaction,logistic,identity,3,150,0.42611484588457915,0.0258493090074292,"[0.3907092284299391, 0.42211001271094056, 0.5154258276968863, 0.43906349919954596, 0.36326566138558375]"
exact,Qwen3-1.7B,direct,log_interaction__identity__logistic__0.03,Log T x log N; ridge=0.03,log_interaction,logistic,identity,3,150,0.42796574763892276,0.027394987466773508,"[0.38978728464989637, 0.4246103404980099, 0.5228325648702483, 0.440789388914262, 0.36180915926219726]"
