target,model_label,prompt_mode,n,event_count,failure_count,selected_spec,selected_label,best_spec,best_label,outer_choice_stability,best_outer_choice_stability,parsimonious_oof_loss,parsimonious_baseline_loss,parsimonious_gain_pct,parsimonious_rmse,parsimonious_brier,parsimonious_ece,parsimonious_request_r2,parsimonious_cell_r2,parsimonious_spearman,parsimonious_calibration_intercept,parsimonious_calibration_slope,parsimonious_cell_cluster_gain,parsimonious_cell_cluster_gain_ci95_low,parsimonious_cell_cluster_gain_ci95_high,parsimonious_cell_cluster_gain_p,best_oof_loss,best_baseline_loss,best_gain_pct,best_rmse,best_brier,best_ece,best_request_r2,best_cell_r2,best_spearman,best_calibration_intercept,best_calibration_slope,best_cell_cluster_gain,best_cell_cluster_gain_ci95_low,best_cell_cluster_gain_ci95_high,best_cell_cluster_gain_p,parsimonious_leave_n_loss,parsimonious_leave_n_baseline_loss,parsimonious_leave_n_gain_pct,parsimonious_leave_t_loss,parsimonious_leave_t_baseline_loss,parsimonious_leave_t_gain_pct,best_leave_n_loss,best_leave_n_baseline_loss,best_leave_n_gain_pct,best_leave_t_loss,best_leave_t_baseline_loss,best_leave_t_gain_pct,parsimonious_cell_cluster_gain_q,parsimonious_evidence,best_cell_cluster_gain_q,best_evidence,nested_oof_loss,nested_baseline_loss,nested_gain_pct,nested_rmse,nested_brier,nested_ece,nested_request_r2,nested_cell_r2,nested_spearman,calibration_intercept,calibration_slope,leave_n_loss,leave_n_baseline_loss,leave_n_gain_pct,leave_t_loss,leave_t_baseline_loss,leave_t_gain_pct,cell_cluster_gain,cell_cluster_gain_ci95_low,cell_cluster_gain_ci95_high,cell_cluster_gain_p,cell_cluster_gain_q,evidence
exact,Qwen3-1.7B,direct,150,52.0,98.0,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.6,0.4,0.47671062064735226,0.6478979792594222,26.42196211319336,0.39319965541767504,0.15460596902057838,0.0333470844788728,0.317379453892658,0.7579320467311811,0.5401787389284762,-0.07692799367902341,0.8227859471029771,0.17118735861206985,0.03605273074771229,0.3067695413928102,0.006496751624187906,0.438166485765506,0.6478979792594222,32.37106770014149,0.37519268907499204,0.14076955393532364,0.04088564215696546,0.37847037607049006,0.7735206670987643,0.5774946547355457,-0.04239893429216147,0.9127217744845044,0.20973149349391607,0.08687194517093329,0.33807399183306985,0.0014992503748125937,0.4567875284668036,0.6979271485373175,34.55082963542582,0.4620487467371937,0.6648358156387321,30.50182678662,0.4596221626196681,0.6979271485373175,34.14467919998207,0.4130060866404432,0.6648358156387321,37.87848414218582,0.01169415292353823,strong_generalizing,0.0033733133433283356,strong_generalizing,0.47671062064735226,0.6478979792594222,26.42196211319336,0.39319965541767504,0.15460596902057838,0.0333470844788728,0.317379453892658,0.7579320467311811,0.5401787389284762,-0.07692799367902341,0.8227859471029771,0.4567875284668036,0.6979271485373175,34.55082963542582,0.4620487467371937,0.6648358156387321,30.50182678662,0.17118735861206985,0.03605273074771229,0.3067695413928102,0.006496751624187906,0.01169415292353823,strong_generalizing
bias,Qwen3-1.7B,direct,150,,,constant__asinh__ridge__0.001,Constant; asinh + ridge,length_specific_log_n__asinh__huber__0.01,T-specific log-N slopes; asinh + Huber,0.8,0.4,5.771360018783079,5.16,-11.848062379517025,13.579179278270935,,,-0.14914343898377247,0.23472825377584672,-0.25931683094737346,2.706509195747648,-0.23354618214186793,-0.6113600187830787,-1.2649065574226137,-0.15254861007090345,0.9995002498750625,5.290652762301847,5.16,-2.5320302771675767,12.407736259396751,,,0.040572186084132045,0.5079797287458556,0.3835789344828058,1.8427119909400533,0.6673238106867188,-0.13065276230184758,-0.7241542408865389,0.3967219322846295,0.6591704147926037,5.2452600211933085,5.16,-1.6523259921183786,5.478145973561459,5.16,-6.165619642663923,4.641768892546335,5.16,10.04323851654389,5.256489765009918,5.16,-1.8699566862387147,1.0,not_supported,1.0,not_supported,5.771360018783079,5.16,-11.848062379517025,13.579179278270935,,,-0.14914343898377247,0.23472825377584672,-0.25931683094737346,2.706509195747648,-0.23354618214186793,5.2452600211933085,5.16,-1.6523259921183786,5.478145973561459,5.16,-6.165619642663923,-0.6113600187830787,-1.2649065574226137,-0.15254861007090345,0.9995002498750625,1.0,not_supported
absolute_error,Qwen3-1.7B,direct,150,,,linear_needles_only__sqrt__huber__0.01,Linear N only; sqrt + Huber,quadratic_surface__log1p__huber__0.01,Quadratic log surface; log1p + Huber,0.0,0.2,4.163498578140155,4.8533333333333335,14.213628197661645,10.756344095347107,,,0.17507801325656414,0.5052296329297772,0.7011946764208086,1.6375948166013183,1.0438542073033703,0.6898347551931788,0.2311933706617032,1.2048617666496304,0.0014992503748125937,4.114184956485761,4.8533333333333335,15.229705566914276,10.160018233371533,,,0.264009039984186,0.7075748458428825,0.6826157514699153,1.8192176551910708,0.9142887546325073,0.7391483768475721,0.12126643656179129,1.499419025405138,0.009495252373813094,3.7366001564879503,5.053333333333334,26.05672513546273,4.097233003893856,4.96,17.394495889236776,3.369921257987587,5.053333333333334,33.312903865681,4.3257129056047035,4.96,12.788046257969688,0.004497751124437781,strong_generalizing,0.021364317841079464,strong_generalizing,4.163498578140155,4.8533333333333335,14.213628197661645,10.756344095347107,,,0.17507801325656414,0.5052296329297772,0.7011946764208086,1.6375948166013183,1.0438542073033703,3.7366001564879503,5.053333333333334,26.05672513546273,4.097233003893856,4.96,17.394495889236776,0.6898347551931788,0.2311933706617032,1.2048617666496304,0.0014992503748125937,0.004497751124437781,strong_generalizing
exact,Qwen3-1.7B,enumeration,150,50.0,100.0,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,piecewise_log_needles__identity__logistic__0.03,Log T + piecewise log N; ridge=0.03,1.0,0.2,0.4614847245040524,0.649760579562539,28.976189227306783,0.3797393178474462,0.14420194951924378,0.10317485273502085,0.35109122716340324,0.6897650052178171,0.5399755452201278,-0.039090579016405565,0.9210911155863719,0.18827585505848635,0.06019259240356454,0.32257187505013585,0.0014992503748125937,0.4432759547961375,0.649760579562539,31.778570639884048,0.375237842556427,0.1408034384864019,0.048464479634060156,0.3663845268111916,0.7501697926535528,0.558822678406662,-0.08462455325943473,0.8841993568183538,0.20648462476640125,0.08578720954121792,0.3461534192525196,0.0009995002498750624,0.4770055848775478,0.6945981186065069,31.326392614694985,0.4647124521999416,0.6487302126839173,28.365837891634495,0.48893370429237526,0.6945981186065069,29.60912343481908,0.41698003749996676,0.6487302126839173,35.72365995182451,0.004497751124437781,strong_generalizing,0.0033733133433283356,strong_generalizing,0.4614847245040524,0.649760579562539,28.976189227306783,0.3797393178474462,0.14420194951924378,0.10317485273502085,0.35109122716340324,0.6897650052178171,0.5399755452201278,-0.039090579016405565,0.9210911155863719,0.4770055848775478,0.6945981186065069,31.326392614694985,0.4647124521999416,0.6487302126839173,28.365837891634495,0.18827585505848635,0.06019259240356454,0.32257187505013585,0.0014992503748125937,0.004497751124437781,strong_generalizing
bias,Qwen3-1.7B,enumeration,138,,,constant__asinh__ridge__0.001,Constant; asinh + ridge,length_specific_piecewise_n__asinh__ridge__0.001,T-specific piecewise N; asinh + ridge,1.0,0.4,39.1658612235068,38.42028985507246,-1.9405667454533957,88.0039602044085,,,-0.19379789368088152,-0.7107601175842613,-0.3685673455017314,118.72793471820597,-42.55879491116947,-0.7077307648556114,-1.0895515454563367,-0.32679790525505265,0.999000499750125,38.83012316597524,38.42028985507246,-1.0667106168348384,87.33635595802436,,,-0.17575412494965992,-0.577823054792941,0.12950988597299454,35.05927452639219,0.6043707596629205,-0.2957850622150913,-0.9957906221506247,0.41658302079571136,0.8075962018990505,39.097343321234,38.42028985507246,-1.7622289387078902,39.067230197491696,38.42028985507246,-1.6838507592201895,38.76992261589017,38.42028985507246,-0.9100211428299388,38.362229076696124,38.42028985507246,0.1511200946045737,1.0,not_supported,1.0,not_supported,39.1658612235068,38.42028985507246,-1.9405667454533957,88.0039602044085,,,-0.19379789368088152,-0.7107601175842613,-0.3685673455017314,118.72793471820597,-42.55879491116947,39.097343321234,38.42028985507246,-1.7622289387078902,39.067230197491696,38.42028985507246,-1.6838507592201895,-0.7077307648556114,-1.0895515454563367,-0.32679790525505265,0.999000499750125,1.0,not_supported
absolute_error,Qwen3-1.7B,enumeration,138,,,constant__log1p__ridge__0.001,Constant; log1p + ridge,length_factor_curved_n__log1p__huber__0.01,T-level intercepts + curved log N; log1p + Huber,1.0,0.0,39.01053013771737,38.46376811594203,-1.4214988508853885,86.651695283835,,,-0.17781233742578184,-0.6419877834730088,-0.3082343495398306,148.67672265603423,-19.621458526411356,-0.4601149354651314,-1.1238034651413187,0.2424098521505865,0.9015492253873063,39.010799318204064,38.46376811594203,-1.422198679581021,85.15993650041102,,,-0.1376079788483644,-0.34021770397105633,0.3742216659857616,35.65146762838818,0.2822084011243651,-0.3538999417528485,-2.2604916798250234,1.3614417291659409,0.6441779110444777,38.991428577170986,38.6231884057971,-0.953417329260713,38.87033703336116,38.2536231884058,-1.6121710665626092,37.82707616019903,38.6231884057971,2.0612287034246575,37.66732943061747,38.2536231884058,1.5326489595527366,1.0,not_supported,1.0,not_supported,39.01053013771737,38.46376811594203,-1.4214988508853885,86.651695283835,,,-0.17781233742578184,-0.6419877834730088,-0.3082343495398306,148.67672265603423,-19.621458526411356,38.991428577170986,38.6231884057971,-0.953417329260713,38.87033703336116,38.2536231884058,-1.6121710665626092,-0.4601149354651314,-1.1238034651413187,0.2424098521505865,0.9015492253873063,1.0,not_supported
exact,Qwen3-1.7B,native_thinking,150,83.0,67.0,linear_needles_only__identity__logistic__0.3,Linear N only; ridge=0.3,piecewise_log_needles__identity__logistic__0.3,Log T + piecewise log N; ridge=0.3,1.0,0.4,0.5583318228782972,0.7073427567150551,21.066298116739638,0.4275831065340016,0.18282731299326738,0.05948545955143887,0.260274313549988,0.6770883204996614,0.4548662805406292,0.09294859341234794,0.7935554802980024,0.14901093383675804,0.0579279661670841,0.25059189128933423,0.0009995002498750624,0.5780815908340552,0.7073427567150551,18.274190928496534,0.43377288361344163,0.18815891455832037,0.06603375060456998,0.23870246762053415,0.7376374575082163,0.4368386949052872,0.12605662809873425,0.6997376230189005,0.12926116588099995,0.015404745482550554,0.2511066085308915,0.014492753623188406,0.5496999280932983,0.7337365916017753,25.08211606384764,0.541501502548106,0.6890046113603107,21.408145370897785,0.5949287859017252,0.7337365916017753,18.91793421356121,0.5219514111023434,0.6890046113603107,24.245585225932228,0.004497751124437781,strong_generalizing,0.02608695652173913,strong_generalizing,0.5583318228782972,0.7073427567150551,21.066298116739638,0.4275831065340016,0.18282731299326738,0.05948545955143887,0.260274313549988,0.6770883204996614,0.4548662805406292,0.09294859341234794,0.7935554802980024,0.5496999280932983,0.7337365916017753,25.08211606384764,0.541501502548106,0.6890046113603107,21.408145370897785,0.14901093383675804,0.0579279661670841,0.25059189128933423,0.0009995002498750624,0.004497751124437781,strong_generalizing
bias,Qwen3-1.7B,native_thinking,148,,,linear_needles_only__asinh__ridge__0.001,Linear N only; asinh + ridge,piecewise_log_needles__identity__huber__0.01,Log T + piecewise log N; raw bias + Huber,0.4,0.4,1.1970696024446346,1.472972972972973,18.73105451293307,2.033112850100961,,,0.4038790632803666,0.8619371788742172,0.6566671863253766,-0.29524019067406043,0.9610696876796075,0.26996865348951576,-0.017807830273287327,0.6040621771490158,0.034482758620689655,1.1123453185446486,1.472972972972973,24.482978374033035,1.9312144722723357,,,0.4621360718859736,0.9142348829486018,0.682141305473942,-0.09962177679263023,0.961890432369228,0.354299693659173,0.041904480114126785,0.7642027082133511,0.013493253373313344,1.082429597638081,1.472972972972973,26.51395392181835,1.0667294485705645,1.472972972972973,27.579835601631405,0.9913747996785194,1.472972972972973,32.695655801641806,0.9896310565902215,1.472972972972973,32.81403835992992,0.10344827586206896,weak,0.040479760119940034,strong_generalizing,1.1970696024446346,1.472972972972973,18.73105451293307,2.033112850100961,,,0.4038790632803666,0.8619371788742172,0.6566671863253766,-0.29524019067406043,0.9610696876796075,1.082429597638081,1.472972972972973,26.51395392181835,1.0667294485705645,1.472972972972973,27.579835601631405,0.26996865348951576,-0.017807830273287327,0.6040621771490158,0.034482758620689655,0.10344827586206896,weak
absolute_error,Qwen3-1.7B,native_thinking,148,,,log_needles_only__sqrt__huber__0.01,Log N only; sqrt + Huber,piecewise_log_needles__sqrt__huber__0.01,Log T + piecewise log N; sqrt + Huber,0.0,0.4,1.1265094068474937,1.472972972972973,23.521379718610522,1.893202349875293,,,0.43501073452455274,0.8553151513528922,0.6110338426389478,0.32330131466545686,0.9979031345000143,0.34130322125585677,0.028192618062603213,0.6917228105790867,0.014492753623188406,1.0850976614432306,1.472972972972973,26.332819314863244,1.871363608038683,,,0.4479702466357762,0.9281625985896127,0.5984247379928546,0.42730218196416486,0.8659526754914348,0.3817253024238003,0.0739603180533693,0.7503789850227697,0.0069965017491254375,1.1237264121321704,1.472972972972973,23.710316974513205,0.997490903035278,1.472972972972973,32.280434105861865,0.9012028832757802,1.472972972972973,38.817418933570885,0.869948803116793,1.472972972972973,40.939255568217725,0.03260869565217391,strong_generalizing,0.020989505247376316,strong_generalizing,1.1265094068474937,1.472972972972973,23.521379718610522,1.893202349875293,,,0.43501073452455274,0.8553151513528922,0.6110338426389478,0.32330131466545686,0.9979031345000143,1.1237264121321704,1.472972972972973,23.710316974513205,0.997490903035278,1.472972972972973,32.280434105861865,0.34130322125585677,0.028192618062603213,0.6917228105790867,0.014492753623188406,0.03260869565217391,strong_generalizing
exact,Qwen3-8B,direct,150,64.0,86.0,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.6,0.6,0.4172817130502229,0.6860944684801806,39.18013739790455,0.33787461867909985,0.11415925794754714,0.08308019976423796,0.533324254393203,0.8404696125424991,0.6762012281543843,-0.04648495520265914,0.876440549124822,0.2688127554299579,0.08658055605295877,0.4286079968245361,0.0034982508745627187,0.41640146893322544,0.6860944684801806,39.30843519907286,0.3408595611218981,0.11618524040821299,0.06992157801236394,0.5250421676626467,0.8868213839082699,0.6499804540153185,-0.16357189252132404,0.742360155581919,0.2696929995469554,0.11567739362168572,0.42621302290939284,0.0014992503748125937,0.4386932960734729,0.7546907426054598,41.87111735875436,0.41704665676260116,0.6852634775681401,39.140685237944616,0.3723821722479154,0.7546907426054598,50.65764673854084,0.4582602150996587,0.6852634775681401,33.12642069792914,0.007871064467766118,strong_generalizing,0.0033733133433283356,strong_generalizing,0.4172817130502229,0.6860944684801806,39.18013739790455,0.33787461867909985,0.11415925794754714,0.08308019976423796,0.533324254393203,0.8404696125424991,0.6762012281543843,-0.04648495520265914,0.876440549124822,0.4386932960734729,0.7546907426054598,41.87111735875436,0.41704665676260116,0.6852634775681401,39.140685237944616,0.2688127554299579,0.08658055605295877,0.4286079968245361,0.0034982508745627187,0.007871064467766118,strong_generalizing
