target,model_label,prompt_mode,outer_seed,selection_rule,selected_spec,selected_label,inner_loss,inner_fold_se,best_inner_loss
exact,Qwen3-1.7B,direct,1234,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.4355854706457604,0.03216498030012707,0.4342729384621498
exact,Qwen3-1.7B,direct,1235,one_se,log_burden__identity__logistic__0.3,Log burden; ridge=0.3,0.43717304515254496,0.058300589598255556,0.429716459662276
exact,Qwen3-1.7B,direct,1236,one_se,log_burden__identity__logistic__0.3,Log burden; ridge=0.3,0.407747665890596,0.03766689689521712,0.4003001604864508
exact,Qwen3-1.7B,direct,1237,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.421457248260409,0.026562368337918835,0.421457248260409
exact,Qwen3-1.7B,direct,1238,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.4531587920382879,0.0212941918378034,0.44438692248899603
exact,Qwen3-1.7B,direct,1234,best,log_interaction__identity__logistic__0.3,Log T x log N; ridge=0.3,0.4342729384621498,0.03067898931616209,0.4342729384621498
exact,Qwen3-1.7B,direct,1235,best,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.429716459662276,0.04373758966821662,0.429716459662276
exact,Qwen3-1.7B,direct,1236,best,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.4003001604864508,0.02316408011050221,0.4003001604864508
exact,Qwen3-1.7B,direct,1237,best,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.421457248260409,0.026562368337918835,0.421457248260409
exact,Qwen3-1.7B,direct,1238,best,piecewise_log_needles__identity__logistic__0.3,Log T + piecewise log N; ridge=0.3,0.44438692248899603,0.02900025767443914,0.44438692248899603
bias,Qwen3-1.7B,direct,1234,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,4.815944038366717,0.6633403604449801,4.5758937212995505
bias,Qwen3-1.7B,direct,1235,one_se,log_interaction__asinh__huber__0.01,Log T x log N; asinh + Huber,3.8718542447687487,0.4283280571707587,3.8624298554994927
bias,Qwen3-1.7B,direct,1236,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,5.5931812976835555,0.6994442388406068,5.284857847155343
bias,Qwen3-1.7B,direct,1237,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,5.181957114758493,0.8232672069170107,5.139937402659595
bias,Qwen3-1.7B,direct,1238,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,5.265248500556458,0.7966834812353446,5.221902597496154
bias,Qwen3-1.7B,direct,1234,best,quadratic_surface__asinh__ridge__0.001,Quadratic log surface; asinh + ridge,4.5758937212995505,0.41551692995148987,4.5758937212995505
bias,Qwen3-1.7B,direct,1235,best,length_specific_log_n__asinh__huber__0.01,T-specific log-N slopes; asinh + Huber,3.8624298554994927,0.4211174842364491,3.8624298554994927
bias,Qwen3-1.7B,direct,1236,best,length_specific_log_n__asinh__huber__0.01,T-specific log-N slopes; asinh + Huber,5.284857847155343,0.6567819137591175,5.284857847155343
bias,Qwen3-1.7B,direct,1237,best,length_specific_piecewise_n__asinh__ridge__0.001,T-specific piecewise N; asinh + ridge,5.139937402659595,0.7218423544362135,5.139937402659595
bias,Qwen3-1.7B,direct,1238,best,length_specific_piecewise_n__asinh__ridge__0.001,T-specific piecewise N; asinh + ridge,5.221902597496154,0.5964273784451533,5.221902597496154
absolute_error,Qwen3-1.7B,direct,1234,one_se,log_needles_only__log1p__ridge__0.001,Log N only; log1p + ridge,3.251669022752281,0.6530140412812363,3.103091617116375
absolute_error,Qwen3-1.7B,direct,1235,one_se,quadratic_surface__log1p__ridge__0.001,Quadratic log surface; log1p + ridge,3.112574703128098,0.3618552957451644,2.8734577922450604
absolute_error,Qwen3-1.7B,direct,1236,one_se,log_needles_only__log1p__ridge__0.001,Log N only; log1p + ridge,3.758398966978521,0.8725676346388589,3.562580520507065
absolute_error,Qwen3-1.7B,direct,1237,one_se,log_needles_only__log1p__ridge__0.001,Log N only; log1p + ridge,3.6344903536076227,0.8808634748615402,3.5840053637392013
absolute_error,Qwen3-1.7B,direct,1238,one_se,linear_needles_only__log1p__ridge__0.001,Linear N only; log1p + ridge,3.695038210705025,0.8783861115167957,3.569853852008576
absolute_error,Qwen3-1.7B,direct,1234,best,linear_needles_only__sqrt__huber__0.01,Linear N only; sqrt + Huber,3.103091617116375,0.6583067188578664,3.103091617116375
absolute_error,Qwen3-1.7B,direct,1235,best,length_specific_piecewise_n__log1p__huber__0.01,T-specific piecewise N; log1p + Huber,2.8734577922450604,0.4426561740293908,2.8734577922450604
absolute_error,Qwen3-1.7B,direct,1236,best,quadratic_surface__log1p__huber__0.01,Quadratic log surface; log1p + Huber,3.562580520507065,0.451890639840342,3.562580520507065
absolute_error,Qwen3-1.7B,direct,1237,best,linear_needles_only__sqrt__huber__0.01,Linear N only; sqrt + Huber,3.5840053637392013,0.9585473436344967,3.5840053637392013
absolute_error,Qwen3-1.7B,direct,1238,best,linear_needles_only__sqrt__huber__0.01,Linear N only; sqrt + Huber,3.569853852008576,0.9653051593531468,3.569853852008576
exact,Qwen3-1.7B,enumeration,1234,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.45696382188646817,0.07305590218960237,0.43967126219514074
exact,Qwen3-1.7B,enumeration,1235,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.43364882225393586,0.0552196678051709,0.4111369864673514
exact,Qwen3-1.7B,enumeration,1236,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.47069481827359905,0.036606161969057784,0.4299148791585183
exact,Qwen3-1.7B,enumeration,1237,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.4774268148272957,0.0625943905379957,0.45544822871598273
exact,Qwen3-1.7B,enumeration,1238,one_se,log_needles_only__identity__logistic__0.3,Log N only; ridge=0.3,0.494000916121851,0.031801353996914764,0.4695394070041632
exact,Qwen3-1.7B,enumeration,1234,best,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.43967126219514074,0.07318379415616032,0.43967126219514074
exact,Qwen3-1.7B,enumeration,1235,best,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.4111369864673514,0.04973326248016683,0.4111369864673514
exact,Qwen3-1.7B,enumeration,1236,best,piecewise_log_needles__identity__logistic__0.03,Log T + piecewise log N; ridge=0.03,0.4299148791585183,0.04137189090109938,0.4299148791585183
exact,Qwen3-1.7B,enumeration,1237,best,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,0.45544822871598273,0.05899119625006009,0.45544822871598273
exact,Qwen3-1.7B,enumeration,1238,best,piecewise_log_needles__identity__logistic__0.3,Log T + piecewise log N; ridge=0.3,0.4695394070041632,0.029743632078642196,0.4695394070041632
bias,Qwen3-1.7B,enumeration,1234,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,28.354846762008453,11.406062505508041,27.97714406893838
bias,Qwen3-1.7B,enumeration,1235,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,47.004573224320595,13.807358654684242,44.885694157338314
bias,Qwen3-1.7B,enumeration,1236,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,33.53467694730945,15.541564868726192,33.00752984248855
bias,Qwen3-1.7B,enumeration,1237,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,42.83496141026115,16.46889424949218,42.55546638855392
bias,Qwen3-1.7B,enumeration,1238,one_se,constant__asinh__ridge__0.001,Constant; asinh + ridge,43.87885865239604,15.539744956828558,43.101690328561205
bias,Qwen3-1.7B,enumeration,1234,best,length_specific_piecewise_n__asinh__ridge__0.001,T-specific piecewise N; asinh + ridge,27.97714406893838,11.159343357982777,27.97714406893838
bias,Qwen3-1.7B,enumeration,1235,best,quadratic_surface__asinh__huber__0.01,Quadratic log surface; asinh + Huber,44.885694157338314,13.992742699594533,44.885694157338314
bias,Qwen3-1.7B,enumeration,1236,best,linear_needles_only__asinh__huber__0.01,Linear N only; asinh + Huber,33.00752984248855,15.854640895130911,33.00752984248855
bias,Qwen3-1.7B,enumeration,1237,best,quadratic_surface__asinh__ridge__0.001,Quadratic log surface; asinh + ridge,42.55546638855392,16.251851018052815,42.55546638855392
bias,Qwen3-1.7B,enumeration,1238,best,length_specific_piecewise_n__asinh__ridge__0.001,T-specific piecewise N; asinh + ridge,43.101690328561205,15.156207405482888,43.101690328561205
absolute_error,Qwen3-1.7B,enumeration,1234,one_se,constant__log1p__ridge__0.001,Constant; log1p + ridge,28.31702123551463,10.804235802457624,27.524784718077075
absolute_error,Qwen3-1.7B,enumeration,1235,one_se,constant__log1p__ridge__0.001,Constant; log1p + ridge,46.362436460133225,13.7488258339618,42.672889676487955
absolute_error,Qwen3-1.7B,enumeration,1236,one_se,constant__log1p__ridge__0.001,Constant; log1p + ridge,33.51583132977772,15.374410236390416,32.62235791392125
absolute_error,Qwen3-1.7B,enumeration,1237,one_se,constant__log1p__ridge__0.001,Constant; log1p + ridge,42.886755674184556,15.948191276872434,41.88236403327714
absolute_error,Qwen3-1.7B,enumeration,1238,one_se,constant__log1p__ridge__0.001,Constant; log1p + ridge,43.93919534153213,14.957510780076316,42.48833188640854
absolute_error,Qwen3-1.7B,enumeration,1234,best,length_factor_curved_n__log1p__ridge__0.001,T-level intercepts + curved log N; log1p + ridge,27.524784718077075,10.565871774785592,27.524784718077075
absolute_error,Qwen3-1.7B,enumeration,1235,best,length_specific_piecewise_n__sqrt__huber__0.01,T-specific piecewise N; sqrt + Huber,42.672889676487955,12.484136436044963,42.672889676487955
absolute_error,Qwen3-1.7B,enumeration,1236,best,length_factor_curved_n__log1p__ridge__0.001,T-level intercepts + curved log N; log1p + ridge,32.62235791392125,14.937314338466228,32.62235791392125
