target,model_label,prompt_mode,selection_rule,selected_spec,replicate,coefficient,value
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,0,intercept,-1.437076851872697
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,0,log_needles,-2.1979017500630684
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,1,intercept,-0.8218184342642031
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,1,log_needles,-2.8869082415850085
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,2,intercept,-0.5610754730054162
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,2,log_needles,-1.5754546495456978
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,3,intercept,-1.686038115130304
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,3,log_needles,-3.185607592792172
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,4,intercept,-0.6385762581323748
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,4,log_needles,-2.101041888497767
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,5,intercept,-0.9287425961537684
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,5,log_needles,-1.7052593265202158
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,6,intercept,-0.24664785003469533
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,6,log_needles,-1.8160691176495034
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,7,intercept,-1.184724168991588
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,7,log_needles,-2.176719602477901
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,8,intercept,-0.7243885844652441
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,8,log_needles,-2.5938028515105045
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,9,intercept,-0.9701164403252551
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,9,log_needles,-1.4160070786041392
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,10,intercept,-1.1392465463981498
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,10,log_needles,-1.9765254767419271
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,11,intercept,-0.4406932161547983
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,11,log_needles,-2.14877187274654
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,12,intercept,-0.15019193921889404
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,12,log_needles,-2.040912548076317
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,13,intercept,-0.5301800888212941
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,13,log_needles,-1.9846618948108428
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,14,intercept,-1.104700551483035
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,14,log_needles,-1.9823534819320732
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,15,intercept,-0.6807004567381877
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,15,log_needles,-1.7802476573577248
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,16,intercept,-0.8262023511399825
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,16,log_needles,-1.993278618670609
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,17,intercept,-0.8474741224295704
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,17,log_needles,-1.8627648199127054
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,18,intercept,-0.37449956582023963
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,18,log_needles,-1.595632318375312
