model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_se,request_oof_r2,cell_crossfit_r2,cell_fit_r2,leave_N_out_r2,leave_L_out_r2
Qwen3-1.7B,direct,signed_error,constant,constant,b=\alpha,1,500,143.72014222222225,40.2852606876207,-0.012570047220030522,0.0,0.0,-0.09528825003192498,-0.17020503180795443
Qwen3-1.7B,direct,signed_error,N,N,b=\alpha+\beta_NN,2,500,137.76945751057124,44.68913970071968,0.029355078975233262,0.3125563125853452,0.3125563125853452,0.1261539911259858,0.10522014787125633
Qwen3-1.7B,direct,signed_error,L,L,b=\alpha+\beta_LL_k,2,500,139.78647834182806,36.78350503766833,0.015144302066930848,0.23903887510167154,0.23903887510167154,0.11075737203058411,-0.21357435221498888
Qwen3-1.7B,direct,signed_error,logN,log₂ N,b=\alpha+\beta_N\log_2N,2,500,141.57085303148818,43.0681761854875,0.0025726170140892846,0.14873229485760053,0.14873229485760053,-0.21193984093882356,-0.07452264851908841
Qwen3-1.7B,direct,signed_error,logL,log₂ L,b=\alpha+\beta_L\log_2L_k,2,500,139.05404264456632,36.24209071967316,0.02030462571464353,0.27080937220634616,0.27080937220634616,0.14819516985140024,0.2197961395412057
Qwen3-1.7B,direct,signed_error,density,N/L,b=\alpha+\beta_DN/L_k,2,500,133.57311730709608,37.83300607937898,0.05892009562692968,0.4382743861694709,0.4382743861694709,0.3995511470741331,0.23727327718372182
Qwen3-1.7B,direct,signed_error,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,500,141.1263002115084,40.40412859909804,0.005704682310982201,0.139947051088265,0.139947051088265,-0.7027988084225276,0.019313423340267755
Qwen3-1.7B,direct,signed_error,product,NL,b=\alpha+\beta_PNL_k,2,500,149.40400683264286,45.41173123646101,-0.05261531135612474,0.01253192778123191,0.01253192778123191,-0.640486712120846,-0.2080714799991883
Qwen3-1.7B,direct,signed_error,log_product,log₂(NL),b=\alpha+\beta_P\log_2(NL_k),2,500,146.4064988107542,41.15607373182446,-0.03149658163365321,0.0018838811601231686,0.0018838811601229466,-0.3272651059864764,-0.21234803690956228
Qwen3-1.7B,direct,signed_error,N_L,N + L,b=\alpha+\beta_NN+\beta_LL_k,3,500,133.83579363017708,41.25323053687511,0.057069428262194744,0.5515951876870167,0.5515951876870169,0.33219961318849534,0.061850827464225544
Qwen3-1.7B,direct,signed_error,N_logL,N + log₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k,3,500,133.10335793291534,40.722354448051206,0.06222975190990743,0.5833656847916913,0.5833656847916913,0.3696374110093116,0.49522131922041657
Qwen3-1.7B,direct,signed_error,logN_L,log₂N + L,b=\alpha+\beta_N\log_2N+\beta_LL_k,3,500,137.63718915109402,39.60696407848419,0.030286966301050766,0.38777116995927197,0.3877711699592721,-0.00589421887631425,-0.11789196892611886
Qwen3-1.7B,direct,signed_error,logN_logL,log₂N + log₂L,b=\alpha+\beta_N\log_2N+\beta_L\log_2L_k,3,500,136.9047534538323,39.072560203017154,0.03544728994876312,0.4195416670639468,0.4195416670639467,0.03154357894450088,0.3154785228300728
Qwen3-1.7B,direct,signed_error,N_density,N + N/L,b=\alpha+\beta_NN+\beta_DN/L_k,3,500,137.80130587800775,41.79681013476945,0.029130693566059462,0.45385642547712524,0.4538564254771251,0.021811819027081625,0.20045309314128834
Qwen3-1.7B,direct,signed_error,L_density,L + N/L,b=\alpha+\beta_LL_k+\beta_DN/L_k,3,500,133.81298284665417,36.69096594246198,0.05723014001624516,0.4937490429266347,0.4937490429266347,0.3993800098916862,0.22469048470115305
Qwen3-1.7B,direct,signed_error,N_L_density,N + L + N/L,b=\alpha+\beta_NN+\beta_LL_k+\beta_DN/L_k,4,500,135.5701729035956,41.200669529559285,0.04484998236109483,0.5632341213701371,0.5632341213701371,0.21395776742862227,0.14147531621212583
Qwen3-1.7B,direct,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,500,137.8676492691293,43.98002008241058,0.02866327591922191,0.5525226728331234,0.5525226728331234,0.17538961396768626,-0.3182751000399995
