model,mode,mean_bias_r2,median_bias_r2,median_flat_zero,mean_bias,mae,beta_intercept,beta_N,beta_L,beta_NL
DeepSeek-R1-0528-Qwen3-8B,native_thinking,0.32427352457345326,0.8304367188219327,False,0.2196652719665272,1.1736401673640167,-0.44844078863116416,0.01545079455939261,0.17086149990466362,-0.012491793021588753
GLM-4-9B-0414,direct,0.9826563205671163,0.9826731304103515,False,-4.712,4.772,2.3186434669254363,-0.8016288402173739,0.007949747523030334,0.0005653824554062714
GLM-4-9B-0414,enumeration_bullet,0.9385831026980304,0.9362723463555328,False,-1.1877637130801688,1.2426160337552743,0.32636718668502246,-0.08433979921831104,0.1084727340965904,-0.026921496639051884
GLM-4-9B-0414,enumeration_index,0.2941022380183149,0.5115825107300342,False,1.2331288343558282,2.312883435582822,-0.3585508186430024,-0.2539524648641778,0.1449349428746005,0.03925252751361122
GLM-Z1-9B-0414,native_thinking,0.8820720095579947,0.8828151642044099,False,-0.4466230936819172,0.7037037037037037,0.02076794020761532,0.01840577807547751,0.03810768074874969,-0.013707479734566128
Gemma4-12B,direct,0.9704837467592252,0.9574222631481242,False,-1.902,1.918,0.8378066311431106,-0.22117196453417132,0.03571000804510968,-0.014846295100419543
Gemma4-12B,enumeration_bullet,0.9239685328110849,0.8695348185439712,False,-0.364,0.364,0.19385113058452655,-0.04000182788755125,0.004411943321055091,-0.003330483271822504
Gemma4-12B,enumeration_index,0.7493797922378544,0.42107564509042905,False,-0.078,0.078,-0.018038363992538886,0.011528895655279623,0.002942959085382803,-0.002613939326158875
Gemma4-12B,native_thinking,0.8241402367409287,0.7742517468787347,False,-0.16056910569105692,0.16056910569105692,-0.10740680479243138,0.03320998700035228,0.022568759237145564,-0.0076395277476136204
Gemma4-E4B,direct,0.9442851235161049,0.955435342795989,False,-2.409090909090909,2.5787878787878786,0.04005875295578474,-0.11679072451289411,0.09896993711940791,-0.02416209437087935
Gemma4-E4B,enumeration_bullet,0.9317483333047425,0.8579807006503162,False,-0.366,0.454,-0.20353934347570254,0.05654240638991,0.028319269422207225,-0.012531491977136967
Gemma4-E4B,enumeration_index,0.701919927988732,0.6782962178226102,False,-0.152,0.304,-0.23432452940914605,0.038525279564577866,0.04781429143502401,-0.009031808851064436
Gemma4-E4B,native_thinking,0.8750624413131941,0.8236752243512081,False,-0.3867735470941884,0.4188376753507014,-0.16795972875110565,0.05405931735615293,0.02572406995197388,-0.012716365165433834
Qwen3-1.7B,direct,0.5525226728331234,0.8145376665417687,False,2.4,6.04,2.100324498142642,-0.29718108473100574,0.39143538477634104,-0.0026249427281941906
Qwen3-1.7B,enumeration_bullet,0.783661843025567,0.7665311273378874,False,3.0948275862068964,3.4741379310344827,-2.9693037857677416,0.6947135477256835,0.028022034405632404,-0.008614310916457146
Qwen3-1.7B,enumeration_index,0.7900121819229067,0.7736800944339713,False,18.73913043478261,20.718670076726344,-1.6950299002585285,0.07834835919509647,3.659032900219802,-0.14568443976172263
Qwen3-1.7B,native_thinking,0.9433045025550707,0.9308038478090069,False,-1.1244979919678715,1.465863453815261,0.18148881441048675,-0.09505211684209984,0.11730570577504196,-0.019781110465738494
Qwen3-32B,direct,0.9293418819371206,0.9101313937201874,False,1.536,1.556,-0.8391095541998678,0.23190077456734975,-0.010038229306087637,0.005498574367965803
Qwen3-32B,enumeration_bullet,0.8189401239950866,0.7943523228136382,False,0.208,0.256,-0.04725738701069409,0.01317704894770198,-0.021301504038789637,0.004331371961888536
Qwen3-32B,enumeration_index,0.13375834675606224,,True,0.036,0.076,-0.12318100536220401,0.007041263358911713,0.02818632667958211,-0.0018114726400107698
Qwen3-32B,native_thinking,0.7078423242403797,,True,0.004,0.028,-0.03906431398297881,0.003849098262184,0.009168659905887834,-0.000906487918505075
Qwen3-4B,direct,0.7795580876459429,0.9146969450192423,False,-1.0044642857142858,1.4955357142857142,0.393459679444864,-0.17134581161946333,0.029848399263103863,-0.005297131740492067
Qwen3-4B,enumeration_bullet,0.11910657038229733,0.015859143992544067,False,0.0,0.3655030800821355,0.23045207413794289,-0.012047782557276142,-0.009212352832003131,-0.0008524529970340925
Qwen3-4B,enumeration_index,0.15935399967095143,0.5798484625264277,False,0.24242424242424243,0.49696969696969695,0.184405942558633,-0.018986442365623166,-0.0088924324252821,0.0042024277232818735
Qwen3-4B,native_thinking,0.8440600879020207,0.788177712125784,False,-0.11088709677419355,0.17540322580645162,-0.09769142345273171,0.02205285668225844,0.0251645599861786,-0.005844349763076108
Qwen3-8B,direct,0.2238691920767134,0.16225181957189938,False,-0.25925925925925924,1.0781893004115226,0.17993589776259986,0.0033954475330513524,-0.029401199041550127,-0.004291195085135642
Qwen3-8B,enumeration_bullet,0.7425385900139612,0.6229929463984001,False,-0.242,0.346,0.017719373563695854,0.009205842986864414,0.04263794237584488,-0.009589254426313875
Qwen3-8B,enumeration_index,0.8621445888451141,,True,-0.038,0.078,-0.0413510975141926,0.01480802971760337,0.013190253030144511,-0.0032859886406409137
Qwen3-8B,native_thinking,0.8409497278583095,,True,-0.06212424849699399,0.08216432865731463,-0.05739256651045402,0.013460251262384815,0.015117772478507291,-0.0034458686734947872
