model,mode,mean_bias_r2,median_bias_r2,median_flat_zero,mean_bias,mae,beta_intercept,beta_N,beta_L,beta_NL
Qwen3-1.7B,direct,0.5525226728331234,0.8145376665417687,False,2.4,6.04,2.100324498142642,-0.29718108473100574,0.39143538477634104,-0.0026249427281941906
Qwen3-1.7B,enumeration_bullet,0.783661843025567,0.7665311273378874,False,3.0948275862068964,3.4741379310344827,-2.9693037857677416,0.6947135477256835,0.028022034405632404,-0.008614310916457146
Qwen3-1.7B,enumeration_index,0.7900121819229067,0.7736800944339713,False,18.73913043478261,20.718670076726344,-1.6950299002585285,0.07834835919509647,3.659032900219802,-0.14568443976172263
Qwen3-1.7B,native_thinking,0.9433045025550707,0.9308038478090069,False,-1.1244979919678715,1.465863453815261,0.18148881441048675,-0.09505211684209984,0.11730570577504196,-0.019781110465738494
Qwen3-32B,direct,0.9293418819371206,0.9101313937201874,False,1.536,1.556,-0.8391095541998678,0.23190077456734975,-0.010038229306087637,0.005498574367965803
Qwen3-32B,enumeration_bullet,0.8189401239950866,0.7943523228136382,False,0.208,0.256,-0.04725738701069409,0.01317704894770198,-0.021301504038789637,0.004331371961888536
Qwen3-32B,enumeration_index,0.13375834675606224,,True,0.036,0.076,-0.12318100536220401,0.007041263358911713,0.02818632667958211,-0.0018114726400107698
Qwen3-32B,native_thinking,0.7078423242403797,,True,0.004,0.028,-0.03906431398297881,0.003849098262184,0.009168659905887834,-0.000906487918505075
Qwen3-4B,direct,0.7795580876459429,0.9146969450192423,False,-1.0044642857142858,1.4955357142857142,0.393459679444864,-0.17134581161946333,0.029848399263103863,-0.005297131740492067
Qwen3-4B,enumeration_bullet,0.11910657038229733,0.015859143992544067,False,0.0,0.3655030800821355,0.23045207413794289,-0.012047782557276142,-0.009212352832003131,-0.0008524529970340925
Qwen3-4B,enumeration_index,0.15935399967095143,0.5798484625264277,False,0.24242424242424243,0.49696969696969695,0.184405942558633,-0.018986442365623166,-0.0088924324252821,0.0042024277232818735
Qwen3-4B,native_thinking,0.8440600879020207,0.788177712125784,False,-0.11088709677419355,0.17540322580645162,-0.09769142345273171,0.02205285668225844,0.0251645599861786,-0.005844349763076108
Qwen3-8B,direct,0.2238691920767134,0.16225181957189938,False,-0.25925925925925924,1.0781893004115226,0.17993589776259986,0.0033954475330513524,-0.029401199041550127,-0.004291195085135642
Qwen3-8B,enumeration_bullet,0.7425385900139612,0.6229929463984001,False,-0.242,0.346,0.017719373563695854,0.009205842986864414,0.04263794237584488,-0.009589254426313875
Qwen3-8B,enumeration_index,0.8621445888451141,,True,-0.038,0.078,-0.0413510975141926,0.01480802971760337,0.013190253030144511,-0.0032859886406409137
Qwen3-8B,native_thinking,0.8409497278583095,,True,-0.06212424849699399,0.08216432865731463,-0.05739256651045402,0.013460251262384815,0.015117772478507291,-0.0034458686734947872
