model,mode,target,raw_signed_bias_cv_cell_r2,candidate,label,formula,k,seed_cv_mse,seed_cv_se,request_oof_r2,cell_crossfit_r2,cell_fit_r2,leave_N_out_r2,leave_L_out_r2,selection_score,numeric_formula,improvement_over_raw_r2
DeepSeek-R1-0528-Qwen3-8B,native_thinking,relative_signed_error,0.32089339429780295,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,0.6460859050353498,0.4726656402162872,0.009018670344429713,0.27301580327649144,0.2739553586837692,0.07057535187344155,0.03624915446407484,0.24301580327649144,\overline{b/N}=-0.0894 + 0.00312N + 0.0275L_k - 0.00119NL_k,-0.047877591021311505
DeepSeek-R1-0528-Qwen3-8B,native_thinking,relative_absolute_error,0.32089339429780295,L,L,b=\alpha+\beta_LL_k,2,0.6252526448397491,0.4672030267721634,0.019053189436086915,0.31240573895946067,0.31267870510201834,0.16218723057109907,0.1482035713673674,0.31240573895946067,\overline{|b|/N}=-0.0395 + 0.0229L_k,
GLM-4-9B-0414,enumeration_index,relative_signed_error,0.3293846282977201,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,58.62091478328657,44.11447174446616,0.04755124129045185,0.5893882339003068,0.5889293976114156,-0.10075672750435372,-0.15522114877795068,0.5893882339003068,\overline{b/N}=-1.41 + 0.954L_k/N,0.26000360560258673
GLM-4-9B-0414,enumeration_index,relative_absolute_error,0.3293846282977201,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,58.65118410692064,44.140797965740404,0.04552821220810166,0.584271324596006,0.5838188046221253,-0.11257775588496144,-0.17262621947826973,0.584271324596006,\overline{|b|/N}=-1.32 + 0.948L_k/N,
Qwen3-32B,enumeration_index,relative_signed_error,0.13375834675606235,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,0.09931131815964198,0.09792007589431108,-0.014122636304416902,0.0981116340275171,0.09811163402751699,-0.16215122935022808,-0.05136897041972288,0.0681116340275171,\overline{b/N}=-0.0276 + 0.00119N + 0.00621L_k - 0.000278NL_k,-0.03564671272854525
Qwen3-32B,enumeration_index,relative_absolute_error,0.13375834675606235,L,L,b=\alpha+\beta_LL_k,2,0.09898217271192786,0.09789550289945298,-0.011397751741907491,0.07171556990453676,0.07171556990453676,-0.11248735239548813,-0.03426762489171309,0.07171556990453676,\overline{|b|/N}=-0.0167 + 0.00397L_k,
Qwen3-4B,enumeration_bullet,relative_signed_error,0.22028537102133583,logN_L_piece5,log₂N + segmented L at 5k,b=\alpha+\beta_N\log_2N+\beta_LL_k+\beta_H(L_k-5)_+,4,0.23712717189959448,0.23004738872389655,-0.018365429877222672,0.16392126423596254,0.17187121195742872,-0.03594850603849342,-0.2229215374307425,0.13392126423596254,\overline{b/N}=0.00922 - 0.0334\log_2N + 0.0344L_k - 0.0432(L_k-5)_+,-0.05636410678537329
Qwen3-4B,enumeration_bullet,relative_absolute_error,0.22028537102133583,logN_L_piece5,log₂N + segmented L at 5k,b=\alpha+\beta_N\log_2N+\beta_LL_k+\beta_H(L_k-5)_+,4,0.2382102336471859,0.23149125353867644,-0.029348719264674195,0.06852681511067593,0.07842583481944299,-0.1973071587243902,-0.5193207876488153,0.03852681511067593,\overline{|b|/N}=-0.012 - 0.0178\log_2N + 0.0316L_k - 0.0373(L_k-5)_+,
Qwen3-4B,enumeration_index,relative_signed_error,0.33380628756712794,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,1.1309385779805432,1.0476521070041398,-0.0676708143923721,0.49424623169949,0.4952910432280756,0.43242389970360695,-0.08065165651604733,0.49424623169949,\overline{b/N}=-0.0311 + 0.0663L_k/N,0.16043994413236207
Qwen3-4B,enumeration_index,relative_absolute_error,0.33380628756712794,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,1.1294932345424336,1.046383226083586,-0.06978524591169255,0.48321826460575557,0.48424192314937464,0.4201800996512528,-0.08233620810218634,0.48321826460575557,\overline{|b|/N}=-0.0137 + 0.0649L_k/N,
Qwen3-8B,direct,relative_signed_error,0.24022742445414635,logN_logL_interaction,log₂N + log₂L + interaction,b=\alpha+\beta_N\log_2N+\beta_L\log_2L_k+\beta_{NL}\log_2N\log_2L_k,4,0.028393181530047117,0.00798270779178406,0.024368446571535696,0.28559951316315213,0.2845008076333677,-0.14218157119045594,-0.37325639296043533,0.2555995131631521,\overline{b/N}=0.0235 + 0.0127\log_2N - 0.00594\log_2L_k - 0.0113\log_2N\log_2L_k,0.045372088709005776
Qwen3-8B,direct,relative_absolute_error,0.24022742445414635,logN_L,log₂N + L,b=\alpha+\beta_N\log_2N+\beta_LL_k,3,0.019267624183645936,0.006245537262259894,0.0748969040875418,0.460742038427728,0.4617061813813128,0.26547404543241837,0.4215350095061816,0.44574203842772797,\overline{|b|/N}=-0.00327 + 0.024\log_2N + 0.00508L_k,
