model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_se,request_oof_r2,cell_crossfit_r2,cell_fit_r2,leave_N_out_r2,leave_L_out_r2,selection_score,overall_f_p,quality,mean_abs_cell_target,max_abs_cell_target,numeric_formula,fdr_q
Qwen3-1.7B,direct,signed_error,N2_L2,quadratic N + quadratic L,b=\alpha+\beta_1N+\beta_2N^2+\beta_3L_k+\beta_4L_k^2,5,500,132.12166448250608,40.36365161124298,0.06914620334160393,0.6662006051543196,0.6662006051543196,0.5815134368584706,-2.1384966641046055,0.6212006051543195,3.035708143484239e-10,moderate,4.248,16.6,\bar b=-2.46 + 0.25N - 0.0188N^2 + 1.19L_k - 0.0369L_k^2,3.827632007001867e-10
Qwen3-1.7B,direct,absolute_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,500,92.00412174394994,32.11229384492976,0.17273193269981246,0.7632784862075084,0.7632784862075084,0.7124249496561607,0.7362190732992242,0.7332784862075084,1.958340592541481e-14,moderate,6.039999999999999,23.4,\overline{|b|}=-0.952 + 0.114N + 1.3\log_2L_k + 0.121N\log_2L_k,2.704375103985855e-14
Qwen3-1.7B,enumeration_index,signed_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,391,789.8870519489525,114.87281276614455,0.34259636760432344,0.830514798115291,0.829716332150916,0.7643313082002718,0.7873256699217228,0.800514798115291,1.0179518045613399e-17,strong,18.72951587301587,75.57142857142857,\bar b=-24.6 + 0.926N + 20.8\log_2L_k - 0.802N\log_2L_k,1.8450376457674286e-17
Qwen3-1.7B,enumeration_index,absolute_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,391,770.0112252750839,107.90445809633196,0.3163143269831541,0.8087431003646622,0.8078254760458613,0.7251448398579972,0.7643035813042001,0.7787431003646622,1.6168913238214128e-16,strong,19.60118253968254,75.57142857142857,\overline{|b|}=-24 + 0.924N + 20.1\log_2L_k - 0.673N\log_2L_k,2.758226375930645e-16
Qwen3-1.7B,enumeration_bullet,signed_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,348,26.028212736436274,2.8209265308425957,0.5997737350513299,0.9339877939163611,0.9354802925100738,0.8852382748398802,0.8820539992569927,0.9039877939163611,1.954654645503901e-27,strong,2.9982301587301583,23.77777777777778,\bar b=1.89 - 0.5N + 0.0372N^2 - 0.0486L_k,9.447497453268854e-27
Qwen3-1.7B,enumeration_bullet,absolute_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,348,22.184777712951263,2.1348099845659005,0.6511149977539433,0.9433264273464717,0.9448413479502414,0.8383723010544266,0.8983320439316744,0.9133264273464716,5.730980683397095e-29,strong,3.22965873015873,23.77777777777778,\overline{|b|}=1.48 - 0.398N + 0.0347N^2 - 0.0124L_k,2.7699739969752628e-28
Qwen3-1.7B,native_thinking,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,498,3.636560968384688,1.0682009416318141,0.6256992362014694,0.9431689970331918,0.9432983092749928,0.9173192482177482,0.9053489313181831,0.9131689970331918,1.1475847543531377e-28,strong,1.3962222222222223,11.8,\bar b=0.181 - 0.0951N + 0.117L_k - 0.0198NL_k,6.655991575248198e-28
Qwen3-1.7B,native_thinking,absolute_error,N_logL_interaction,N + log₂L + Nlog₂L,b=\alpha+\beta_NN+\beta_L\log_2L_k+\beta_{NL}N\log_2L_k,4,498,3.5242206070514164,1.159857481664491,0.6006411146154864,0.8902030170218622,0.8903235110250335,0.8218229050373814,0.8759213443194497,0.8602030170218622,4.347673399866747e-22,strong,1.4762222222222223,11.8,\overline{|b|}=-0.314 + 0.0405N - 0.136\log_2L_k + 0.0793N\log_2L_k,1.0506877383011306e-21
Qwen3-4B,direct,signed_error,N,N,b=\alpha+\beta_NN,2,448,5.54679785132623,1.1566998233494945,0.29340870767114247,0.7520993163829414,0.7569847411687026,0.6843941863811596,0.5852731020732167,0.7520993163829414,4.478143384632e-16,moderate,1.211734693877551,9.7,\bar b=0.658 - 0.219N,7.214786564129334e-16
Qwen3-4B,direct,absolute_error,N_density,N + N/L,b=\alpha+\beta_NN+\beta_DN/L_k,3,448,2.5018174735084546,0.5071044942609981,0.6053912207162182,0.910499982702858,0.9103552581660296,0.9021321603552114,0.8327749345164882,0.895499982702858,7.927970516569991e-25,strong,1.6715014577259475,9.7,\overline{|b|}=-0.442 + 0.287N - 0.171N/L_k,2.2991114498052974e-24
