model,mode,target,raw_signed_bias_cv_cell_r2,candidate,label,formula,k,seed_cv_mse,seed_cv_rmse,seed_cv_mae,seed_cv_se,request_oof_r2,request_oof_rmse,request_oof_mae,request_oof_median_ae,request_oof_nrmse_sd,cell_crossfit_r2,cell_crossfit_rmse,cell_crossfit_mae,cell_crossfit_median_ae,cell_crossfit_nrmse_sd,cell_fit_r2,cell_adjusted_r2,cell_fit_rmse,cell_fit_mae,cell_fit_median_ae,cell_fit_nrmse_sd,cell_sse_deviance,cell_log_likelihood,cell_aic,cell_aicc,cell_bic,leave_N_out_r2,leave_N_out_rmse,leave_N_out_mae,leave_L_out_r2,leave_L_out_rmse,leave_L_out_mae,residual_spearman_N,residual_spearman_L,abs_residual_spearman_fitted,max_abs_cell_residual,selection_score,numeric_formula,improvement_over_raw_r2
DeepSeek-R1-0528-Qwen3-8B,native_thinking,relative_signed_error,0.32089339429780295,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,0.6460859050353498,0.803794690847949,0.2073266423851729,0.4726656402162872,0.009018670344429713,0.8169972558865973,0.2084280671902079,0.04789006560315928,0.9944386089435315,0.27301580327649144,0.23225848308047012,0.12348807712326954,0.04382340141544499,0.8440642823796292,0.2739553586837692,0.22660462120662372,0.2321083489598706,0.12333208461578277,0.0435592032864353,0.8435186710973896,2.6937142828438527,2.0806230876472043,5.8387538247055915,7.202390188341955,15.39886885184632,0.07057535187344155,0.26261298309845266,0.13937851832656312,0.03624915446407484,0.26741852324959053,0.12958524441733565,0.09191904347474594,-0.49783589287082564,0.598079231692677,1.2609665180365721,0.24301580327649144,\overline{b/N}=-0.0894 + 0.00312N + 0.0275L_k - 0.00119NL_k,-0.047877591021311505
DeepSeek-R1-0528-Qwen3-8B,native_thinking,relative_absolute_error,0.32089339429780295,L,L,b=\alpha+\beta_LL_k,2,0.6252526448397491,0.7907291855241901,0.20208763118860795,0.4672030267721634,0.019053189436086915,0.8040255226479401,0.20334027329078852,0.07686930747886003,0.9893910352250287,0.31240573895946067,0.2245799035349501,0.1175981391065199,0.053359634067440154,0.8208790263002999,0.31267870510201834,0.2983595114583104,0.22453532143272506,0.11769084716160357,0.054099425649367525,0.8207160708795838,2.520805528544858,3.7391858597378924,-1.4783717194757848,-0.9566325890410022,4.257697296808653,0.16218723057109907,0.2479009876407116,0.1274454981712833,0.1482035713673674,0.24996124364608235,0.12669382274419383,0.15931401278606824,-0.4618201951102209,0.7226358467011312,1.2095678201163849,0.31240573895946067,\overline{|b|/N}=-0.0395 + 0.0229L_k,
GLM-4-9B-0414,enumeration_index,relative_signed_error,0.3293846282977201,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,58.62091478328657,7.656429636801123,2.026222544420003,44.11447174446616,0.04755124129045185,7.7232095217157095,2.0317780488973862,0.9820285837499018,0.9749364136889784,0.5893882339003068,2.7005535292590137,1.5641329187690567,0.9361616283366125,0.6343496912411161,0.5889293976114156,0.58036542672832,2.702061968732536,1.5664348711745402,0.9365762168544334,0.6347040179018978,365.0569441435374,-120.64768534368358,247.29537068736715,247.81710981780193,253.03143970365159,-0.10075672750435372,4.421633778757713,1.7552988866345476,-0.15522114877795068,4.529702302867368,1.7426452760245337,0.6292897822587749,-0.48761622765737267,0.10515945682870928,12.641116702255484,0.5893882339003068,\overline{b/N}=-1.41 + 0.954L_k/N,0.26000360560258673
GLM-4-9B-0414,enumeration_index,relative_absolute_error,0.3293846282977201,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,58.65118410692064,7.6584061074691405,2.024641350994499,44.140797965740404,0.04552821220810166,7.725221483866341,2.030324576397314,0.9677050418495233,0.9759712612291865,0.584271324596006,2.710621815688015,1.562953472498065,0.9503136110977927,0.6382899826065848,0.5838188046221253,0.5751483630517529,2.712096668129585,1.5652387942865722,0.9505884729512121,0.6386372769188449,367.7734168639797,-120.83302736190618,247.66605472381235,248.18779385424713,253.40212374009678,-0.11257775588496144,4.4343413845061965,1.760395956173915,-0.17262621947826973,4.552434845056429,1.740032078904293,0.6905779742425666,-0.4023446461373899,0.1054479601396248,12.683474992205863,0.584271324596006,\overline{|b|/N}=-1.32 + 0.948L_k/N,
Qwen3-32B,enumeration_index,relative_signed_error,0.13375834675606235,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,0.09931131815964198,0.31513698316706973,0.03606885024046923,0.09792007589431108,-0.014122636304416902,0.3151369831670698,0.036068850240469234,0.009541165261389088,1.006029020968982,0.0981116340275171,0.09327310285020961,0.032154534852724785,0.009451827346400356,0.9401332877060748,0.09811163402751699,0.03929282755105068,0.09327310285020961,0.03215453485272481,0.009451827346400377,0.9401332877060748,0.434993585765289,47.664248309703,-85.328496619406,-83.96486025576964,-75.76838159226527,-0.16215122935022808,0.1058793715780987,0.03720990291662958,-0.05136897041972288,0.10070652483693072,0.02590199609469734,0.06682828095145571,-0.6948142678059358,0.4695798319327731,0.6208797502528376,0.0681116340275171,\overline{b/N}=-0.0276 + 0.00119N + 0.00621L_k - 0.000278NL_k,-0.03564671272854525
Qwen3-32B,enumeration_index,relative_absolute_error,0.13375834675606235,L,L,b=\alpha+\beta_LL_k,2,0.09898217271192786,0.31461432375517784,0.034668191641182455,0.09789550289945298,-0.011397751741907491,0.3146143237551778,0.034668191641182455,0.00962028542303767,1.004676543091568,0.07171556990453676,0.0943255709611978,0.03138061773700304,0.00872339449541282,0.9537917705104998,0.07171556990453676,0.05237631094421458,0.0943255709611978,0.031380617737003076,0.008723394495412871,0.9537917705104998,0.4448656668577981,47.10322134092395,-88.2064426818479,-87.68470355141312,-82.47037366556347,-0.11248735239548813,0.10326102953750858,0.033819415562351324,-0.03426762489171309,0.09956469663335546,0.025499168610422625,0.009055723328422529,-0.8848168817656424,0.6024708206179542,0.6372532110091742,0.07171556990453676,\overline{|b|/N}=-0.0167 + 0.00397L_k,
Qwen3-4B,enumeration_bullet,relative_signed_error,0.22028537102133583,lnN_L_piece5,ln N + segmented L at 5k,b=\alpha+\beta_N\ln N+\beta_LL_k+\beta_H(L_k-5)_+,4,0.23712717189959448,0.48695705344475143,0.09421440999224986,0.23004738872389655,-0.018365429877222894,0.4635968582962861,0.09160826592216366,0.05399874056872751,1.0081043251726924,0.16392126423596287,0.14449493557917012,0.06197593241611801,0.03230027885933185,0.9051834957889789,0.17187121195742883,0.11786281273726118,0.14380632163951204,0.06109751590769454,0.03224470495468597,0.9008696977264358,1.0340129071743394,26.017467006249728,-42.034934012499455,-40.67129764886309,-32.47481898535872,-0.035948506038493866,0.1608415023194168,0.06435917359768333,-0.2229215374307445,0.174754486194223,0.0916667887914959,0.507364169100763,-0.07349939363250378,0.4562304921968788,0.9386927351543719,0.13392126423596287,\overline{b/N}=0.00922 - 0.0482\ln N + 0.0344L_k - 0.0432(L_k-5)_+,-0.05636410678537296
Qwen3-4B,enumeration_bullet,relative_absolute_error,0.22028537102133583,lnN_L_piece5,ln N + segmented L at 5k,b=\alpha+\beta_N\ln N+\beta_LL_k+\beta_H(L_k-5)_+,4,0.2382102336471859,0.48806785762554156,0.09243209889288934,0.23149125353867644,-0.029348719264674195,0.46461296073632546,0.08980382802551093,0.0576215703634876,1.0135260563319128,0.06852681511067593,0.14907480221037045,0.06460065120815393,0.03920769696015854,0.9554285536823451,0.07842583481944254,0.018323171872884347,0.14828055710848617,0.06366935828949695,0.03913995850082328,0.9503381934221872,1.0993561808201515,24.485530518178123,-38.97106103635625,-37.60742467271988,-29.410946009215518,-0.19730715872439042,0.16901367804184866,0.06938848655918431,-0.5193207876488202,0.19038985508042985,0.09930666581844606,0.5421052249022418,-0.09309923193450478,0.39409363745498194,0.9723006189093719,0.03852681511067593,\overline{|b|/N}=-0.012 - 0.0257\ln N + 0.0316L_k - 0.0373(L_k-5)_+,
Qwen3-4B,enumeration_index,relative_signed_error,0.33380628756712794,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,1.1309385779805432,1.063455959586735,0.24289484484754792,1.0476521070041398,-0.0676708143923721,1.068470552470444,0.2439624296473773,0.03804656700319137,1.032237329133289,0.49424623169949,0.2271102918410672,0.12308258290986068,0.04975792141123549,0.7040161169564939,0.4952910432280756,0.48477627329532724,0.22687558263780688,0.12304035769263112,0.04975874828676325,0.7032885450769734,2.573626499862217,3.2207486330560253,-0.44149726611205065,0.08024186432273195,5.294571750172387,0.43242389970360695,0.24059095806606143,0.13080830601117316,-0.08065165651604733,0.3319786186109374,0.16930886863615172,0.18457958652766043,-0.4577001832630104,0.8092129190895411,1.1022006413056158,0.49424623169949,\overline{b/N}=-0.0311 + 0.0663L_k/N,0.16043994413236207
Qwen3-4B,enumeration_index,relative_absolute_error,0.33380628756712794,inv_density,L/N,b=\alpha+\beta_D L_k/N,2,1.1294932345424336,1.0627761921225154,0.2442453001813223,1.046383226083586,-0.06978524591169255,1.0677876102012547,0.245307867470064,0.053975766420147245,1.0332589528267924,0.48321826460575557,0.22733115526314213,0.12259041383231033,0.04173602001765407,0.7116502657108753,0.48424192314937464,0.4734969632149867,0.22710589107777499,0.12254609530439488,0.041752972007603105,0.7109450860042658,2.5788542881115095,3.170017827272109,-0.34003565454421825,0.18170347589056435,5.396033361740219,0.4201800996512528,0.24079748101008033,0.13168092824007754,-0.08233620810218634,0.32899286147190504,0.1670014963707446,0.31199067809071923,-0.2876690709898269,0.8835894735639516,1.091577990996059,0.48321826460575557,\overline{|b|/N}=-0.0137 + 0.0649L_k/N,
