model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_rmse,seed_cv_mae,seed_cv_se,request_oof_r2,request_oof_rmse,request_oof_mae,request_oof_median_ae,request_oof_nrmse_sd,cell_crossfit_r2,cell_crossfit_rmse,cell_crossfit_mae,cell_crossfit_median_ae,cell_crossfit_nrmse_sd,cell_fit_r2,cell_adjusted_r2,cell_fit_rmse,cell_fit_mae,cell_fit_median_ae,cell_fit_nrmse_sd,cell_sse_deviance,cell_log_likelihood,cell_aic,cell_aicc,cell_bic,leave_N_out_r2,leave_N_out_rmse,leave_N_out_mae,leave_L_out_r2,leave_L_out_rmse,leave_L_out_mae,residual_spearman_N,residual_spearman_L,abs_residual_spearman_fitted,max_abs_cell_residual,selection_score,overall_f_p,quality,mean_abs_cell_target,max_abs_cell_target,bootstrap_valid_reps,minimum_slope_sign_stability,slopes_ci_excluding_zero,slope_terms,numeric_formula,fdr_q
Qwen3-1.7B,direct,signed_error,N2_L2,quadratic N + quadratic L,b=\alpha+\beta_1N+\beta_2N^2+\beta_3L_k+\beta_4L_k^2,5,500,132.12166448250608,11.494418840572415,5.349180430759629,40.36365161124298,0.06914620334160393,11.494418840572415,5.3491804307596285,2.9399286970531198,0.9638423569573396,0.6662006051543196,2.8720115052263697,2.0110253092629278,1.3481026886337864,0.5719470315936317,0.6662006051543196,0.6365295478347035,2.8720115052263697,2.01102530926293,1.3481026886337963,0.5719470315936317,412.422504307632,-123.69755951903332,259.39511903806664,261.3486074101597,270.8672570706355,0.5815134368584706,3.2157639472569666,2.2615907755541285,-2.1384966641046055,8.806518231818753,5.376911617343593,0.03787740111689006,-0.18129850429350933,0.0026410564225690276,9.59428738145653,0.6212006051543195,3.035708143484239e-10,moderate,4.248,16.6,400,0.8075,3,4,\bar b=-2.46 + 0.25N - 0.0188N^2 + 1.19L_k - 0.0369L_k^2,3.827632007001867e-10
Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,92.00412174394992,9.59187790497512,4.248376671497058,32.11229384492977,0.1727319326998128,9.59187790497512,4.24837667149706,2.466691059944628,0.908632781251913,0.7632784862075084,2.668850121832442,1.625290409629361,0.8593462211510281,0.4816503747705817,0.7632784862075084,0.7478401266123459,2.668850121832442,1.6252904096293583,0.8593462211510254,0.4816503747705817,356.13804864025195,-120.02931234366221,250.05862468732442,251.4222610509608,259.61873971446516,0.7124249496561603,2.9415817521880743,1.7991887915221567,0.7362190732992233,2.8172605594238194,1.8518679194148933,-0.011821609265780974,-0.03723969277380192,0.4258823529411764,10.840796216496395,0.7332784862075084,1.958340592541481e-14,moderate,6.039999999999999,23.4,400,0.87,2,3,\overline{|b|}=-0.952 + 0.114N + 1.88\ln L_k + 0.174N\ln L_k,2.704375103985855e-14
Qwen3-1.7B,enumeration_index,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,391,789.8870519489527,28.104929317629544,19.84778658764263,114.87281276614605,0.3425963676043231,28.37567400267582,20.011971343964753,11.396254989484873,0.8097668140782188,0.8305147981152908,9.310894951796524,6.625691094133812,4.887622449359439,0.40754815402233757,0.829716332150916,0.8186108755520627,9.332801575690581,6.626208239171391,4.852174892698315,0.4085070311415733,4355.05926256063,-182.62368895277666,375.2473779055533,376.6110142691897,384.80749293269406,0.7643313082002713,10.979346210463257,8.0652228194458,0.7873256699217219,10.4299702835207,7.728775969605583,-0.02581453451915437,-0.01665986255670086,0.17531812725090035,34.717415265073996,0.8005147981152908,1.0179518045613399e-17,strong,18.72951587301587,75.57142857142857,400,1.0,3,3,\bar b=-24.6 + 0.926N + 30\ln L_k - 1.16N\ln L_k,1.8450376457674286e-17
Qwen3-1.7B,enumeration_index,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,391,770.0112252750843,27.7490761157031,19.743438010321544,107.90445809633346,0.31631432698315376,27.99941504241306,19.885865588109052,10.939144409854073,0.8257948391146334,0.808743100364662,9.434147047415351,6.629752352043835,4.913607357610326,0.4329338998538128,0.8078254760458613,0.7952923549184174,9.456751836660855,6.624223330079515,4.857653447170449,0.43397123576921076,4471.507765009423,-183.2833749830441,376.5667499660882,377.93038632972457,386.12686499322893,0.7251448398579967,11.309568436140102,8.027447060427342,0.7643035813041992,10.47298731060676,7.615294788044469,-0.0422200330920749,-0.03625970085870187,0.18444177671068426,37.328401159532156,0.778743100364662,1.6168913238214128e-16,strong,19.60118253968254,75.57142857142857,400,1.0,3,3,\overline{|b|}=-24 + 0.924N + 29\ln L_k - 0.971N\ln L_k,2.758226375930645e-16
Qwen3-1.7B,enumeration_bullet,signed_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,348,26.028212736436274,5.10178524993323,2.4697537203717337,2.8209265308425957,0.5997737350513299,5.077395307469509,2.4036528137408606,0.8519622917983767,0.6317247735166633,0.9339877939163611,1.5956789979293318,0.969705492604862,0.54997646610599,0.2543461459546145,0.9354802925100738,0.9312724854998612,1.5775371683262285,0.9373107250047183,0.5198471480300109,0.2514543961439681,124.43117587253677,-93.74017049491782,197.48034098983564,198.843977353472,207.04045601697638,0.8852382748398802,2.1039331651756616,1.2473488790721552,0.8820539992569927,2.13292220418943,1.414758654747887,-0.01664675590487525,0.28811762303941485,0.43644657863145253,6.947128341510804,0.9039877939163611,1.954654645503901e-27,strong,2.9982301587301583,23.77777777777778,400,0.8625,2,3,\bar b=1.89 - 0.5N + 0.0372N^2 - 0.0486L_k,9.447497453268854e-27
Qwen3-1.7B,enumeration_bullet,absolute_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,348,22.184777712951263,4.710071943500573,2.3130116435630503,2.1348099845659005,0.6511149977539433,4.6479638686995735,2.2391833823044736,0.712180821960664,0.5898156145238562,0.9433264273464717,1.5073847471407706,0.9178647343919718,0.514304245372092,0.2356694744774082,0.9448413479502414,0.941244044555692,1.4871016077313837,0.890575111951837,0.492335375576839,0.23249834194841767,110.57355958586331,-90.78837645175655,191.5767529035131,192.94038926714947,201.13686793065384,0.8383723010544266,2.545609106509827,1.4438928438831464,0.8983320439316744,2.018951411297987,1.3646302749516375,0.13100273125140957,0.14307881960460736,0.4537334933973589,6.653035054092265,0.9133264273464716,5.730980683397095e-29,strong,3.22965873015873,23.77777777777778,400,0.6325,2,3,\overline{|b|}=1.48 - 0.398N + 0.0347N^2 - 0.0124L_k,2.7699739969752628e-28
Qwen3-1.7B,native_thinking,signed_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,498,3.636560968384688,1.9069769186816834,0.9799185298307401,1.0682009416318141,0.6256992362014694,1.907352568109713,0.9798199346085795,0.476813790062532,0.6111866783881139,0.9431689970331918,0.6183675466585109,0.4343902846868075,0.28034040463670606,0.23599657393164003,0.9432983092749928,0.939600372923362,0.6176636348175553,0.4336758016869783,0.2802397185488402,0.23572792984817686,19.075418288801714,-46.85636416377403,103.71272832754806,105.07636469118442,113.27284335468879,0.9173192482177482,0.7458581452036299,0.5253082520318294,0.9053489313181831,0.7980255374483263,0.5450708140942702,0.2825123357189698,-0.1607186740764083,-0.1057863145258103,1.7107824711579402,0.9131689970331918,1.1475847543531377e-28,strong,1.3962222222222223,11.8,400,1.0,3,3,\bar b=0.181 - 0.0951N + 0.117L_k - 0.0198NL_k,6.655991575248198e-28
Qwen3-1.7B,native_thinking,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,498,3.524220607051416,1.877290762522262,0.9859715890588848,1.159857481664491,0.6006411146154864,1.8784056186079667,0.9859336594297708,0.499624629907668,0.6313136779065174,0.8902030170218622,0.8250221787382416,0.5202961561889016,0.3927156758012767,0.32802597963968494,0.8903235110250335,0.8831706965266661,0.8245693543020526,0.5199069862705167,0.39271161505857544,0.32784593820187435,33.99573100270519,-61.30222547425592,132.60445094851184,133.9680873121482,142.16456597565258,0.8218229050373819,1.0509846117781467,0.6813790884557206,0.8759213443194493,0.8770391094094624,0.5516669626950033,-0.2960227463084338,-0.1803185123784093,0.3152460984393757,4.1241839982913735,0.8602030170218622,4.347673399866747e-22,strong,1.4762222222222223,11.8,400,0.855,1,3,\overline{|b|}=-0.314 + 0.0405N - 0.196\ln L_k + 0.114N\ln L_k,1.0506877383011306e-21
Qwen3-4B,direct,signed_error,N,N,b=\alpha+\beta_NN,2,448,5.54679785132623,2.3551640816143213,1.2673146443608296,1.1566998233494945,0.29340870767114247,2.317751581746914,1.253518270966858,0.594338858353189,0.8396511654388187,0.7520993163829414,1.0358060324358402,0.5737525649869574,0.284509800972773,0.4927894946041573,0.7569847411687026,0.7518142037467601,1.0255488349816868,0.5684543224993751,0.2844352896891242,0.4879095856335553,51.53577023368246,-70.76415611155029,147.52831222310058,148.06164555643392,153.20377311743246,0.6843941863811596,1.1687242922213004,0.6172329168533479,0.5852731020732167,1.3397404668563355,0.6742592430710985,0.40913633530288557,-0.01615312193566066,-0.4687058468763305,3.958380113011459,0.7520993163829414,4.478143384632e-16,moderate,1.211734693877551,9.7,400,1.0,1,1,\bar b=0.658 - 0.219N,7.214786564129334e-16
Qwen3-4B,direct,absolute_error,N_density,N + N/L,b=\alpha+\beta_NN+\beta_DN/L_k,3,448,2.5018174735084546,1.5817134612528447,0.8628784437919533,0.5071044942609981,0.6053912207162182,1.5860715946770931,0.8657092887332138,0.3756060911674758,0.6274774546672873,0.910499982702858,0.6677888637631318,0.3908198477243556,0.1994536851565154,0.29609708936748114,0.9103552581660296,0.9064576606949873,0.6683285641942183,0.39237124064511497,0.19964857886609555,0.2963363921403284,21.886490416177363,-49.782195300631116,107.56439060126223,108.47348151035314,115.13167179370474,0.9021321603552114,0.6983089585312673,0.42252164232687817,0.8327749345164882,0.9128056090280048,0.502400633422082,-0.04255369622639445,-0.10673725159030562,0.510408163265306,2.688377780731024,0.895499982702858,7.927970516569991e-25,strong,1.6715014577259475,9.7,400,0.94,1,2,\overline{|b|}=-0.442 + 0.287N - 0.171N/L_k,2.2991114498052974e-24
