family,target,candidate,label,formula,k,cells,moderate_cells,strong_cells,median_cell_cv_r2,mean_cell_cv_r2,q25_cell_cv_r2,min_cell_cv_r2,median_cell_cv_rmse,median_cell_cv_mae,median_cell_cv_median_ae,median_cell_cv_nrmse_sd,median_request_oof_r2,median_request_oof_rmse,median_request_oof_mae,median_leave_N_out_r2,median_leave_L_out_r2,min_leave_N_out_r2,min_leave_L_out_r2,moderate_fraction,strong_fraction,selected
Direct,absolute_error,L,L,b=\alpha+\beta_LL_k,2,7,0,0,0.02153948107214898,0.05357848184588365,0.005043330210428187,-0.0012618410273439462,3.1290770747058216,2.2528000000000006,1.4322201834862403,0.979229956930084,0.015379482546067136,3.1950748172073196,2.285269602446484,-0.18185571389553856,-0.014634111947291695,-0.233722772450222,-0.03544652076231447,0.0,0.0,False
Direct,absolute_error,L_density,L + N/L,b=\alpha+\beta_LL_k+\beta_DN/L_k,3,7,2,0,0.41886179933215595,0.43173012068049627,0.3802412963515428,0.23382177484336764,2.551855030856255,1.526784357240142,0.6122704533185088,0.7545052931483703,0.291631214598983,2.635549564504521,1.638766083031597,0.31830638908888165,-0.1358913462538176,0.08433850616827343,-0.5734011014114508,0.2857142857142857,0.0,False
Direct,absolute_error,N,N,b=\alpha+\beta_NN,2,7,6,5,0.8588834797373918,0.8087337963366565,0.7884212533865571,0.44247207909017783,0.9274524082613206,0.7674686590640977,0.413531811134083,0.3718792678509466,0.6601342262351015,1.5788136794778467,0.9303346470339786,0.8413695437837242,0.7898303838113735,0.41968460023974596,0.25349821325247446,0.8571428571428571,0.7142857142857143,False
Direct,absolute_error,N2_L,quadratic N + L,b=\alpha+\beta_1N+\beta_2N^2+\beta_LL_k,4,7,7,5,0.897998911120999,0.8709416460282339,0.8337006142209312,0.702256392737094,0.7129023014047233,0.45434256374277276,0.3151585094906528,0.31610035432425454,0.6678125758437952,1.583722006152236,0.8564174900816225,0.8276794289450571,0.8234185794817529,0.3373078851127552,0.5092925951897278,1.0,0.7142857142857143,False
Direct,absolute_error,N2_L2,quadratic N + quadratic L,b=\alpha+\beta_1N+\beta_2N^2+\beta_3L_k+\beta_4L_k^2,5,7,7,5,0.897438782139936,0.8748359091267607,0.8352138886816587,0.7189765066700368,0.7148570380710225,0.4197256200645668,0.3070840648273209,0.316967083119505,0.6688296222428518,1.5849367946340958,0.8566464565938213,0.8257013066345791,0.21694617788817738,0.34010295528749646,-1.0393028369742892,1.0,0.7142857142857143,False
Direct,absolute_error,N_L,N + L,b=\alpha+\beta_NN+\beta_LL_k,3,7,7,5,0.8982574291065535,0.8663434853662056,0.8325965250979865,0.7009916832469681,0.9274519631235086,0.7595108861526705,0.5608958212326014,0.31569952786727623,0.6648535797849475,1.5782266175000927,0.9342380109483518,0.864736246748282,0.8318319287494617,0.6434988555327188,0.5279054911125871,1.0,0.7142857142857143,False
Direct,absolute_error,N_L2,N + quadratic L,b=\alpha+\beta_NN+\beta_1L_k+\beta_2L_k^2,4,7,7,6,0.897695799883564,0.8705118862145996,0.8350700318042119,0.717711797179911,0.8728131581510691,0.7300122019878745,0.6257119542860542,0.316569675265546,0.6658706261840042,1.5793705734538657,0.8947719920729282,0.8658725420988254,0.2355590738111173,0.6462939257074589,-1.0251069552980918,1.0,0.8571428571428571,False
Direct,absolute_error,N_L_density,N + L + N/L,b=\alpha+\beta_NN+\beta_LL_k+\beta_DN/L_k,4,7,7,6,0.9194982551122527,0.9065587880185201,0.8897014129388997,0.7560813633387213,0.7170675679869315,0.5089140357200647,0.4140979331756204,0.2808766811075501,0.6563908154612876,1.3965508113746783,0.868573420508812,0.9016842495712358,0.8573136430287207,0.7020793869178712,0.6438116938650157,1.0,0.8571428571428571,False
Direct,absolute_error,N_L_interaction,N + L + NL,b=\alpha+\beta_NN+\beta_LL_k+\beta_{NL}NL_k,4,7,7,6,0.9340118343685535,0.9093635859701024,0.88975218062943,0.7457765439764988,0.6492178638668036,0.46224686631527945,0.325243199236136,0.2542998276028074,0.6657806746402904,1.397411111395787,0.8721897898989605,0.9046807634279173,0.7515632066016482,0.6808271784151019,0.5020319365497511,1.0,0.8571428571428571,False
Direct,absolute_error,N_density,N + N/L,b=\alpha+\beta_NN+\beta_DN/L_k,3,7,7,6,0.9157802894643414,0.8938233854139843,0.8843319538906802,0.682341810157144,0.7334395170665629,0.5051720737477845,0.4311719085789738,0.2872896035796378,0.6549528810302296,1.4015347687738355,0.8657092887332138,0.9021321603552114,0.8607528221812915,0.6468454426278885,0.48395573654844626,1.0,0.8571428571428571,False
Direct,absolute_error,N_lnL,N + ln L,b=\alpha+\beta_NN+\beta_L\ln L_k,3,7,7,6,0.8982104490741134,0.8677488825449526,0.8334134097659613,0.710508077465136,0.9228658046891314,0.7578192341627548,0.6018558380390582,0.3157724072047602,0.6615891783400372,1.5777318273087746,0.9237061763016836,0.8656366377165716,0.8485547517901223,0.6591644441445925,0.6619944695407803,1.0,0.8571428571428571,False
Direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,7,7,6,0.9250997806759284,0.9162683782469132,0.8913792172225987,0.7632784862075084,0.6519259734028922,0.37941531754592583,0.328322048622541,0.2709284313939573,0.6592345167728482,1.394272447507638,0.8757486488702043,0.9023308909906075,0.8672698801436756,0.7124249496561603,0.7362190732992233,1.0,0.8571428571428571,True
Direct,absolute_error,N_piece10_L_piece5,segmented N at 10 + segmented L at 5k,b=\alpha+\beta_NN+\beta_{NH}(N-10)_++\beta_LL_k+\beta_{LH}(L_k-5)_+,5,7,7,5,0.9001264072491021,0.875600471857527,0.8317955475554761,0.7183187848756875,0.7054284149531687,0.39873626257593214,0.329285714285714,0.31278643858732885,0.6763682109907387,1.5819473303064049,0.86041156054712,0.8814561733868709,0.7929215277030378,0.5469098549773257,0.43900034989209946,1.0,0.7142857142857143,False
Direct,absolute_error,N_piece10_lnL,segmented N at 10 + ln L,b=\alpha+\beta_NN+\beta_H(N-10)_++\beta_L\ln L_k,4,7,7,5,0.898915017243361,0.8747777506766637,0.8339216664734668,0.7214720346232311,0.7096936729127155,0.42429385801314135,0.3329229270721076,0.31467765081885124,0.6690878260523359,1.5802667198017237,0.8566330178365708,0.8824839907161774,0.8283546782568075,0.5604467183839675,0.6305653952215983,1.0,0.7142857142857143,False
