family,model,mode,target,candidate,term,estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_sign_stability
Direct,GLM-4-9B-0414,direct,absolute_error,N_lnL_interaction,intercept,-2.50109291115096,-2.6344156234746094,-2.370942891010843,1.0
Direct,GLM-4-9B-0414,direct,absolute_error,N_lnL_interaction,N,0.7954182125589764,0.7677935656750187,0.8210205434105041,1.0
Direct,GLM-4-9B-0414,direct,absolute_error,N_lnL_interaction,lnLk,0.12277476607419391,0.013324812585739518,0.22594641535450674,0.98
Direct,GLM-4-9B-0414,direct,absolute_error,N_lnL_interaction,NlnLk,-0.0012751168563807092,-0.014758247430483947,0.009825841604390038,0.59
Direct,Gemma4-12B,direct,absolute_error,N_lnL_interaction,intercept,-0.5739504517354141,-0.7231631341229835,-0.40016257516508086,1.0
Direct,Gemma4-12B,direct,absolute_error,N_lnL_interaction,N,0.12333581557230466,0.08909761575963174,0.15715830039331838,1.0
Direct,Gemma4-12B,direct,absolute_error,N_lnL_interaction,lnLk,-0.301390425850256,-0.36105624679010806,-0.2433998454484915,1.0
Direct,Gemma4-12B,direct,absolute_error,N_lnL_interaction,NlnLk,0.12390280284733393,0.11020920311035892,0.13564614617036158,1.0
Direct,Gemma4-E4B,direct,absolute_error,N_lnL_interaction,intercept,0.3360255284659346,-0.090309061835362,0.6633970691666883,0.935
Direct,Gemma4-E4B,direct,absolute_error,N_lnL_interaction,N,0.001739159672514104,-0.05396526344416923,0.07336708777757447,0.5075
Direct,Gemma4-E4B,direct,absolute_error,N_lnL_interaction,lnLk,-0.6166648192406673,-0.7462629600092995,-0.44470784456120377,1.0
Direct,Gemma4-E4B,direct,absolute_error,N_lnL_interaction,NlnLk,0.1812529443420838,0.1516182951721296,0.2043427096691749,1.0
Direct,Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,intercept,-0.9523448554144279,-2.691308722845905,0.5402050689888658,0.8725
Direct,Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,N,0.11414205010157263,-0.1083923727282283,0.32807218373057895,0.87
Direct,Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,lnLk,1.8819366123005334,0.513009760291123,3.676961756234818,1.0
Direct,Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,NlnLk,0.17449594906940674,0.008059999758982474,0.36253771675463536,0.985
Direct,Qwen3-32B,direct,absolute_error,N_lnL_interaction,intercept,-0.7437717184622799,-1.156457932959868,-0.1914615104317459,0.9975
Direct,Qwen3-32B,direct,absolute_error,N_lnL_interaction,N,0.21225195306002842,0.10531047011606892,0.3124948732397996,1.0
Direct,Qwen3-32B,direct,absolute_error,N_lnL_interaction,lnLk,-0.08878487681787416,-0.42398014674135903,0.16233883791152887,0.7375
Direct,Qwen3-32B,direct,absolute_error,N_lnL_interaction,NlnLk,0.03649993103682453,-0.008770218652687263,0.09651093877034546,0.9175
Direct,Qwen3-4B,direct,absolute_error,N_lnL_interaction,intercept,-0.22457635089817896,-1.014385188656573,0.6916206379485357,0.7425
Direct,Qwen3-4B,direct,absolute_error,N_lnL_interaction,N,0.17561896630421242,-0.004911901215720591,0.3339028479052538,0.97
Direct,Qwen3-4B,direct,absolute_error,N_lnL_interaction,lnLk,-0.12839700251419892,-0.529654377861148,0.22194399662219272,0.725
Direct,Qwen3-4B,direct,absolute_error,N_lnL_interaction,NlnLk,0.04128521857588019,-0.025237090802895067,0.1168242979843541,0.8475
Direct,Qwen3-8B,direct,absolute_error,N_lnL_interaction,intercept,-0.5700891185038379,-0.8017994881520581,-0.3170707188121133,1.0
Direct,Qwen3-8B,direct,absolute_error,N_lnL_interaction,N,0.1338508943193477,0.09725412495456336,0.17178638481524625,1.0
