model,mode,target,candidate,label,formula,k,parsed_n,seed_cv_mse,seed_cv_rmse,seed_cv_mae,seed_cv_se,request_oof_r2,request_oof_rmse,request_oof_mae,request_oof_median_ae,request_oof_nrmse_sd,cell_crossfit_r2,cell_crossfit_rmse,cell_crossfit_mae,cell_crossfit_median_ae,cell_crossfit_nrmse_sd,cell_fit_r2,cell_adjusted_r2,cell_fit_rmse,cell_fit_mae,cell_fit_median_ae,cell_fit_nrmse_sd,cell_sse_deviance,cell_log_likelihood,cell_aic,cell_aicc,cell_bic,leave_N_out_r2,leave_N_out_rmse,leave_N_out_mae,leave_L_out_r2,leave_L_out_rmse,leave_L_out_mae,residual_spearman_N,residual_spearman_L,abs_residual_spearman_fitted,max_abs_cell_residual,family,bootstrap_valid_reps,minimum_slope_sign_stability,slopes_ci_excluding_zero,slope_terms,numeric_formula
GLM-4-9B-0414,direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,1.3893221967906764,1.1786951246147905,0.9253113391255419,0.12824087967081782,0.971857848271831,1.1786951246147905,0.9253113391255418,0.7421580371535526,0.16758838690288982,0.9825704017385648,0.9228198666309094,0.7590824308588023,0.7073278211543854,0.13069432388671876,0.9825704017385648,0.9814336888084711,0.9228198666309093,0.7590824308588003,0.7073278211543804,0.13069432388671876,42.57982531243446,-66.9308654466237,143.8617308932474,145.22536725688377,153.42184592038814,0.961527153834613,1.3710408822968836,1.041674379645082,0.9717626838413341,1.1745863652607875,0.9261915401560514,-0.4166514122857906,0.06859943405700354,-0.015414165666266506,2.198673494750796,Direct,400,0.59,2,3,\overline{|b|}=-2.5 + 0.795N + 0.123\ln L_k - 0.00128N\ln L_k
Gemma4-12B,direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,0.6448809451505996,0.803044796478129,0.6029627853345343,0.08781756936746869,0.939180971508183,0.803044796478129,0.6029627853345344,0.48510394791726086,0.24636840388904052,0.9803706141312152,0.44751789248943974,0.36800319444464086,0.328322048622541,0.13869678493537296,0.9803706141312152,0.9790904367919466,0.44751789248943963,0.3680031944446411,0.3283220486225414,0.1386967849353729,10.013613204909483,-30.744988717738153,71.4899774354763,72.85361379911267,81.05009246261703,0.9612076262373,0.6291152682710289,0.495452509137788,0.9779187579208973,0.47464487631349234,0.3826814374053278,-0.4330569108587112,-0.03429971702850177,-0.007250900360144057,0.9823200365493405,Direct,400,1.0,3,3,\overline{|b|}=-0.574 + 0.123N - 0.301\ln L_k + 0.124N\ln L_k
Gemma4-E4B,direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,330,1.2953458382210847,1.1381326101211073,0.8011575430840464,0.2374827276920986,0.9183542024939201,1.0956971958033423,0.7492606556606376,0.4853428051738651,0.285304023803531,0.9798009305299784,0.4553676483967246,0.360660359560524,0.29147648847848706,0.14069501796659747,0.9802054133310782,0.9789144620265834,0.4507852636320662,0.3567391881543643,0.2875467467369426,0.1392791977846776,10.160367695391571,-31.108717324199286,72.21743464839858,73.58107101203494,81.7775496755393,0.9711974079940577,0.5437662864414435,0.426782094525607,0.973191220643249,0.524608123941697,0.4091909031129739,-0.25500899987613246,-0.17443856088780899,0.04403361344537814,1.095506326092373,Direct,400,0.5075,2,3,\overline{|b|}=0.336 + 0.00174N - 0.617\ln L_k + 0.181N\ln L_k
Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,92.00412174394992,9.59187790497512,4.248376671497058,32.11229384492977,0.1727319326998128,9.59187790497512,4.24837667149706,2.466691059944628,0.908632781251913,0.7632784862075084,2.668850121832442,1.625290409629361,0.8593462211510281,0.4816503747705817,0.7632784862075084,0.7478401266123459,2.668850121832442,1.6252904096293583,0.8593462211510254,0.4816503747705817,356.13804864025195,-120.02931234366221,250.05862468732442,251.4222610509608,259.61873971446516,0.7124249496561603,2.9415817521880743,1.7991887915221567,0.7362190732992233,2.8172605594238194,1.8518679194148933,-0.011821609265780974,-0.03723969277380192,0.4258823529411764,10.840796216496395,Direct,400,0.87,2,3,\overline{|b|}=-0.952 + 0.114N + 1.88\ln L_k + 0.174N\ln L_k
Qwen3-32B,direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,2.91929155070129,1.7085934421919364,0.9854200877263425,0.24544140418920654,0.6592345167728482,1.7085934421919364,0.9854200877263427,0.5551465283119957,0.5831671735109046,0.9250997806759284,0.6916700618652994,0.4795295325666082,0.3406411185184668,0.2709284313939573,0.9250997806759284,0.9202149837634889,0.6916700618652996,0.47952953256660835,0.3406411185184679,0.2709284313939573,23.92037372403737,-52.514615346404604,115.02923069280921,116.39286705644557,124.58934571994993,0.8952880518153494,0.817815906552131,0.5739210586364806,0.8672698801436756,0.9207509523611619,0.6158686547328409,-0.28637245303024517,-0.04801960383990248,0.19548619447779111,2.9432243108939575,Direct,400,0.7375,1,3,\overline{|b|}=-0.744 + 0.212N - 0.0888\ln L_k + 0.0365N\ln L_k
Qwen3-4B,direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,448,2.533296035851063,1.5916331348181536,0.8723398077066399,0.5145331557950024,0.6005125819376688,1.5958459601177883,0.8757486488702043,0.4054336462664961,0.6313443633038825,0.9147015100671415,0.6519259734028922,0.37941531754592583,0.18250389379919052,0.28906349548849053,0.9137812458149958,0.9080333288693287,0.6554332727536045,0.3824161731552342,0.1825393709586578,0.2906186294322257,21.050045976592543,-48.8275080583543,107.6550161167086,109.05036495391789,117.11411760726173,0.9023308909906075,0.6975996044444291,0.4225087611382124,0.8088492326439096,0.9759231849473229,0.5202693283647578,-0.06408689190722054,0.12423174746071669,0.41346938775510195,2.6060730433235326,Direct,400,0.725,0,3,\overline{|b|}=-0.225 + 0.176N - 0.128\ln L_k + 0.0413N\ln L_k
Qwen3-8B,direct,absolute_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,486,1.9201567241335766,1.385697197851528,0.8040005815021342,0.3172421240275146,0.4806119142757248,1.394272447507638,0.8074809625038794,0.491593767444237,0.7199440158508232,0.868056924378056,0.5387702765264857,0.35728171378255186,0.20806858565815167,0.3595889515954364,0.8678116442392715,0.8591906645157457,0.5392708268151527,0.3569630850378635,0.207685736549177,0.3599230315574622,14.540651232694923,-40.070058028181016,90.14011605636203,91.50375241999839,99.70023108350276,0.7414159855132283,0.7542427827576484,0.43121096764457284,0.7425185916402933,0.7526330136194779,0.46411588008565574,-0.20193238684609538,-0.04703961192480242,0.596062424969988,1.881818892308186,Direct,400,0.825,2,3,\overline{|b|}=-0.57 + 0.134N + 0.179\ln L_k + 0.0125N\ln L_k
GLM-4-9B-0414,direct,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,1.4939704729577628,1.222280848642309,0.9535439088448708,0.19418120334876257,0.9700829285379226,1.222280848642309,0.9535439088448708,0.7922076381399648,0.17279246893066053,0.9825118339179967,0.9288781563397307,0.7487821888136584,0.6417803784022299,0.1309137225823299,0.9825118339179967,0.9813713013474312,0.9288781563397306,0.7487821888136569,0.641780378402215,0.13091372258232986,43.14073146625485,-67.25804143592988,144.51608287185977,145.87971923549614,154.0761978990005,0.9625724068872298,1.3588845636587241,1.0239296867829426,0.9706491360280565,1.2033641258705365,0.9446347146449691,0.3987983697211418,-0.08035933703820415,0.004561824729891957,2.1450368763593737,Direct,400,0.585,1,3,\bar b=2.34 - 0.789N + 0.023\ln L_k - 0.00454N\ln L_k
Gemma4-12B,direct,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,500,0.6524781550728066,0.8077611992865259,0.6086102862333559,0.08468320988857059,0.9388171486624459,0.807761199286526,0.608610286233356,0.4841381886789691,0.24710419995394453,0.9805049771338283,0.44717800657834034,0.36608343971749313,0.3540886384768359,0.13822128059328734,0.9805049771338283,0.979233562599078,0.44717800657834034,0.3660834397174932,0.3540886384768349,0.13822128059328734,9.99840847836891,-30.706999728652164,71.41399945730433,72.77763582094069,80.97411448444505,0.961744572562665,0.6264192432979777,0.49204167282747546,0.9778785497966462,0.47634911024382176,0.3836843743620406,0.4422246894729903,0.035279708943601815,0.018775510204081632,1.026858216225833,Direct,400,1.0,3,3,\bar b=0.569 - 0.123N + 0.319\ln L_k - 0.125N\ln L_k
Gemma4-E4B,direct,signed_error,N_lnL_interaction,N + ln L + N ln L,b=\alpha+\beta_NN+\beta_L\ln L_k+\beta_{NL}N\ln L_k,4,330,1.625035187844789,1.2747686801317284,0.8193535668356349,0.3010929837853335,0.8938167091216608,1.2850050303185685,0.7918246177795047,0.5034073194740182,0.32536367856634374,0.9818923289465329,0.4349368994186673,0.31814828831051917,0.22579068755453824,0.1332123028567475,0.982228475888862,0.9810694634468312,0.4308809498887505,0.31637092649683246,0.21686793636745316,0.13197004822653996,9.282919648851594,-28.85075439076999,67.70150878153999,69.06514514517634,77.26162380868071,0.9780893752954057,0.4784343312527312,0.34965584324391075,0.9693983668976581,0.5654149115741106,0.4104285523909639,0.17925419764235234,0.09799919151000505,-0.14909963985594235,1.2260050517380718,Direct,400,0.8225,2,3,\bar b=-0.634 + 0.0505N + 0.842\ln L_k - 0.207N\ln L_k
