model,mode,success_rate,exact_rate,format_rate,truncation_rate,truncated_n,truncated_without_Total_n,exact_but_format_fail_n,median_output_tokens,p90_output_tokens,p99_output_tokens,overthinking_flag_n,restart_flag_n,mean_pair_recall,mean_pair_precision,list_total_matches_length_rate,any_missing_pair_rate,any_hallucinated_pair_rate,any_duplicate_pair_rate
Qwen3-1.7B,direct,0.196,0.196,1.0,0.0,0,0,0,6.0,6.0,7.0,0,0,,,,,,
Qwen3-1.7B,enumeration_index,0.248,0.288,0.674,0.024,12,12,20,94.0,932.2,1536.0,12,0,0.9053833333333334,0.8314628365780654,0.716,0.308,0.268,0.216
Qwen3-1.7B,enumeration_bullet,0.38,0.396,0.666,0.25,125,125,8,74.0,1536.0,1536.0,125,0,0.83755,0.8001095638293046,0.434,0.402,0.296,0.222
Qwen3-1.7B,native_thinking,0.602,0.602,0.996,0.004,2,2,0,495.0,1241.9000000000005,3093.439999999998,104,80,,,,,,
Qwen3-4B,direct,0.432,0.432,0.896,0.104,52,52,0,5.0,64.0,64.0,52,0,,,,,,
Qwen3-4B,enumeration_index,0.888,0.888,0.99,0.0,0,0,0,56.0,240.4000000000001,301.0,0,0,0.9883333333333333,0.9801139561420258,0.99,0.078,0.05,0.018
Qwen3-4B,enumeration_bullet,0.806,0.818,0.96,0.006,3,3,6,50.0,203.9000000000002,249.12999999999988,3,0,0.9751833333333334,0.9841981612885207,0.84,0.086,0.05,0.018
Qwen3-4B,native_thinking,0.928,0.928,0.992,0.008,4,4,0,437.5,1013.7000000000002,3634.2099999999973,45,39,,,,,,
Qwen3-8B,direct,0.57,0.57,0.972,0.028,14,14,0,5.0,6.0,64.0,14,0,,,,,,
Qwen3-8B,enumeration_index,0.96,0.962,0.998,0.0,0,0,1,55.5,201.50000000000034,295.0,0,0,0.993,0.9942599483849484,1.0,0.032,0.014,0.004
Qwen3-8B,enumeration_bullet,0.894,0.894,1.0,0.0,0,0,0,50.0,168.0,244.0,0,0,0.9913833333333333,0.9942799283154122,0.918,0.036,0.014,0.0
Qwen3-8B,native_thinking,0.956,0.956,0.998,0.002,1,1,0,419.5,837.3000000000001,2983.02,25,23,,,,,,
Qwen3-32B,direct,0.6,0.6,1.0,0.0,0,0,0,5.0,6.0,6.0,0,0,,,,,,
Qwen3-32B,enumeration_index,0.974,0.982,0.992,0.0,0,0,4,56.0,266.70000000000016,295.0,0,0,0.9909,0.9984582542694498,0.992,0.024,0.002,0.002
Qwen3-32B,enumeration_bullet,0.858,0.858,1.0,0.0,0,0,0,50.0,173.80000000000132,244.0,0,0,0.9996,1.0,0.854,0.01,0.0,0.0
Qwen3-32B,native_thinking,0.976,0.976,1.0,0.0,0,0,0,359.0,693.5000000000001,1410.5399999999995,19,17,,,,,,
Gemma4-E4B,direct,0.24,0.248,0.652,0.34,170,170,4,6.0,64.0,64.0,170,0,,,,,,
Gemma4-E4B,enumeration_index,0.882,0.882,0.996,0.0,0,0,0,50.5,190.0,278.0,0,0,0.9798666666666666,1.0,0.996,0.114,0.0,0.002
Gemma4-E4B,enumeration_bullet,0.794,0.796,0.998,0.0,0,0,1,42.5,159.0,227.0,0,0,0.9735333333333333,1.0,0.888,0.132,0.0,0.0
Gemma4-E4B,native_thinking,0.792,0.832,0.954,0.002,1,1,20,444.0,1004.1,1440.3399999999988,123,83,,,,,,
Gemma4-12B,direct,0.514,0.514,1.0,0.0,0,0,0,5.0,6.0,6.0,0,0,,,,,,
Gemma4-12B,enumeration_index,0.95,0.95,1.0,0.0,0,0,0,50.5,192.30000000000052,278.01,0,0,0.9937,1.0,1.0,0.05,0.0,0.0
Gemma4-12B,enumeration_bullet,0.746,0.746,1.0,0.0,0,0,0,44.0,162.20000000000073,227.01,0,0,0.9910999999999999,1.0,0.796,0.068,0.0,0.0
Gemma4-12B,native_thinking,0.314,0.908,0.354,0.016,8,8,297,674.5,1996.9,4096.0,183,144,,,,,,
DeepSeek-R1-0528-Qwen3-8B,native_thinking,0.672,0.672,0.956,0.044,22,22,0,397.5,1908.900000000001,4096.0,145,116,,,,,,
GLM-Z1-9B-0414,native_thinking,0.684,0.684,0.918,0.082,41,41,0,439.0,3053.4000000000015,4096.0,126,76,,,,,,
GLM-4-9B-0414,direct,0.302,0.302,1.0,0.0,0,0,0,6.0,6.0,6.0,0,0,,,,,,
GLM-4-9B-0414,enumeration_index,0.704,0.71,0.966,0.002,1,1,3,48.5,192.5000000000001,800.2999999999988,1,0,0.9448833333333333,0.9655124614167567,0.962,0.268,0.078,0.048
GLM-4-9B-0414,enumeration_bullet,0.624,0.636,0.932,0.002,1,1,6,41.5,146.0,213.0,1,0,0.9267166666666667,0.9708007557328833,0.766,0.292,0.094,0.012
