model,mode,n,success_rate,ci_low,ci_high,exact_rate,parse_rate,format_rate,truncation_rate,mean_bias_parsed,mae_parsed,under_rate_parsed,over_rate_parsed,source_version
Qwen3-1.7B,direct,500,0.196,0.16357810661426447,0.2330574923863593,0.196,1.0,1.0,0.0,2.4,6.04,0.24,0.564,v2_formal
Qwen3-1.7B,enumeration_index,500,0.248,0.21216420834594762,0.2876784592466748,0.288,0.782,0.674,0.024,18.73913043478261,20.718670076726344,0.27877237851662406,0.35294117647058826,v2.1_replacement
Qwen3-1.7B,enumeration_bullet,500,0.38,0.33852233078455757,0.42330751092621505,0.396,0.696,0.666,0.25,3.0948275862068964,3.4741379310344827,0.12643678160919541,0.3045977011494253,v2.1_replacement
Qwen3-1.7B,native_thinking,500,0.602,0.5584746124497376,0.6439700220961057,0.602,0.996,0.996,0.004,-1.1244979919678715,1.465863453815261,0.3253012048192771,0.07028112449799197,v2_formal
Qwen3-4B,direct,500,0.432,0.3892622537365845,0.47577465656618667,0.432,0.896,0.896,0.104,-1.0044642857142858,1.4955357142857142,0.39955357142857145,0.11830357142857142,v2_formal
Qwen3-4B,enumeration_index,500,0.888,0.8573463119959378,0.9127371998058978,0.888,0.99,0.99,0.0,0.24242424242424243,0.49696969696969695,0.06262626262626263,0.04040404040404041,v2.1_replacement
Qwen3-4B,enumeration_bullet,500,0.806,0.7690603702807669,0.8382735333567634,0.818,0.974,0.96,0.006,0.0,0.3655030800821355,0.07597535934291581,0.08418891170431211,v2.1_replacement
Qwen3-4B,native_thinking,500,0.928,0.9019315959830375,0.9475419685818739,0.928,0.992,0.992,0.008,-0.11088709677419355,0.17540322580645162,0.05846774193548387,0.006048387096774193,v2_formal
Qwen3-8B,direct,500,0.57,0.5262342399257419,0.6126983524096407,0.57,0.972,0.972,0.028,-0.25925925925925924,1.0781893004115226,0.2716049382716049,0.1419753086419753,v2_formal
Qwen3-8B,enumeration_index,500,0.96,0.9390264041651492,0.9739592026102227,0.962,1.0,0.998,0.0,-0.038,0.078,0.028,0.01,v2.1_replacement
Qwen3-8B,enumeration_bullet,500,0.894,0.8639490699892671,0.9180429497270297,0.894,1.0,1.0,0.0,-0.242,0.346,0.076,0.03,v2.1_replacement
Qwen3-8B,native_thinking,500,0.956,0.9342805571276716,0.9707660443713928,0.956,0.998,0.998,0.002,-0.06212424849699399,0.08216432865731463,0.03206412825651302,0.01002004008016032,v2_formal
Qwen3-32B,direct,500,0.6,0.5564541227024271,0.6420210092052625,0.6,1.0,1.0,0.0,1.536,1.556,0.01,0.39,v2_formal
Qwen3-32B,enumeration_index,500,0.974,0.9560285091657758,0.9847436160766728,0.982,1.0,0.992,0.0,0.036,0.076,0.016,0.002,v2.1_replacement
Qwen3-32B,enumeration_bullet,500,0.858,0.8246703326752246,0.885870639554304,0.858,1.0,1.0,0.0,0.208,0.256,0.02,0.122,v2.1_replacement
Qwen3-32B,native_thinking,500,0.976,0.9585229425360993,0.986218685344503,0.976,1.0,1.0,0.0,0.004,0.028,0.01,0.014,v2_formal
Gemma4-E4B,direct,500,0.24,0.204637860033381,0.2793267970066262,0.248,0.66,0.652,0.34,-2.409090909090909,2.5787878787878786,0.5545454545454546,0.0696969696969697,v2_formal
Gemma4-E4B,enumeration_index,500,0.882,0.8507680121388806,0.9074069917484936,0.882,1.0,0.996,0.0,-0.152,0.304,0.114,0.004,v2.1_replacement
Gemma4-E4B,enumeration_bullet,500,0.794,0.7563735290819746,0.8271433587266328,0.796,1.0,0.998,0.0,-0.366,0.454,0.164,0.04,v2.1_replacement
Gemma4-E4B,native_thinking,500,0.792,0.7542636968800828,0.8252836882903708,0.832,0.998,0.954,0.002,-0.3867735470941884,0.4188376753507014,0.16432865731462926,0.002004008016032064,v2_formal
Gemma4-12B,direct,500,0.514,0.47025151158007206,0.5575350068870044,0.514,1.0,1.0,0.0,-1.902,1.918,0.478,0.008,v2.1_strict_direct
Gemma4-12B,enumeration_index,500,0.95,0.9272318388284524,0.9659062547561506,0.95,1.0,1.0,0.0,-0.078,0.078,0.05,0.0,v2.1_replacement
Gemma4-12B,enumeration_bullet,500,0.746,0.7060690794081029,0.7821797450848135,0.746,1.0,1.0,0.0,-0.364,0.364,0.254,0.0,v2.1_replacement
Gemma4-12B,native_thinking,500,0.314,0.27486785583609774,0.35596839881559983,0.908,0.984,0.354,0.016,-0.16056910569105692,0.16056910569105692,0.07723577235772358,0.0,v2_formal
DeepSeek-R1-0528-Qwen3-8B,native_thinking,500,0.672,0.6296734167218158,0.7117038101594103,0.672,0.956,0.956,0.044,0.2196652719665272,1.1736401673640167,0.1694560669456067,0.12761506276150628,v2_formal
GLM-Z1-9B-0414,native_thinking,500,0.684,0.641977870830057,0.7232163718800919,0.684,0.918,0.918,0.082,-0.4466230936819172,0.7037037037037037,0.2113289760348584,0.04357298474945534,v2_formal
GLM-4-9B-0414,direct,500,0.302,0.26339155087985655,0.3436276879429182,0.302,1.0,1.0,0.0,-4.712,4.772,0.68,0.018,v2_formal
GLM-4-9B-0414,enumeration_index,500,0.704,0.6625546643222885,0.742334604769398,0.71,0.978,0.966,0.002,1.2331288343558282,2.312883435582822,0.21881390593047034,0.05521472392638037,v2.1_replacement
GLM-4-9B-0414,enumeration_bullet,500,0.624,0.5807491793847674,0.6653599841807676,0.636,0.948,0.932,0.002,-1.1877637130801688,1.2426160337552743,0.31645569620253167,0.012658227848101266,v2.1_replacement
