model,mode_A,mode_B,success_A,success_B,difference_pp,A_only,B_only,mcnemar_exact_p,holm_p
GLM-4-9B-0414,direct,enumeration_index,0.302,0.704,40.199999999999996,17,218,1.2403179452231398e-45,2.7286994794909077e-44
GLM-4-9B-0414,direct,enumeration_bullet,0.302,0.624,32.2,10,171,5.59179795063455e-39,1.11835959012691e-37
GLM-4-9B-0414,enumeration_bullet,enumeration_index,0.624,0.704,7.9999999999999964,17,57,3.3971668169915183e-06,2.038300090194911e-05
Gemma4-12B,direct,enumeration_index,0.514,0.95,43.599999999999994,1,219,2.6231505897661444e-64,7.344821651345204e-63
Gemma4-12B,direct,enumeration_bullet,0.514,0.746,23.2,1,117,7.162051980690033e-34,1.1459283169104053e-32
Gemma4-12B,direct,native_thinking,0.514,0.314,-20.0,182,82,6.990133051937314e-10,6.9901330519373135e-09
Gemma4-12B,enumeration_bullet,enumeration_index,0.746,0.95,20.399999999999995,1,103,1.035379938102578e-29,1.4495319133436092e-28
Gemma4-12B,enumeration_index,native_thinking,0.95,0.314,-63.59999999999999,319,1,3.0056362197123913e-94,9.618035903079652e-93
Gemma4-E4B,direct,enumeration_index,0.24,0.882,64.2,1,322,3.7921578473006806e-95,1.2514120896092246e-93
Gemma4-E4B,direct,enumeration_bullet,0.24,0.794,55.400000000000006,3,280,4.861569584912364e-79,1.5070865713228329e-77
Gemma4-E4B,direct,native_thinking,0.24,0.792,55.2,14,290,3.141184304317514e-68,9.423552912952541e-67
Gemma4-E4B,enumeration_bullet,enumeration_index,0.794,0.882,8.799999999999997,5,49,3.8913883226854296e-10,4.2805271549539725e-09
Gemma4-E4B,enumeration_index,native_thinking,0.882,0.792,-8.999999999999996,63,18,5.204403564731414e-07,4.163522851785131e-06
Qwen3-1.7B,direct,enumeration_index,0.196,0.248,5.199999999999999,54,80,0.030414804699519758,0.09124441409855927
Qwen3-1.7B,direct,enumeration_bullet,0.196,0.38,18.4,33,125,8.368865103973451e-14,1.0879524635165487e-12
Qwen3-1.7B,direct,native_thinking,0.196,0.602,40.599999999999994,26,229,9.586571654086429e-42,2.01318004735815e-40
Qwen3-1.7B,enumeration_bullet,enumeration_index,0.38,0.248,-13.200000000000001,100,34,9.920107218562598e-09,8.928096496706338e-08
Qwen3-1.7B,enumeration_index,native_thinking,0.248,0.602,35.4,25,202,1.3744304246407154e-35,2.336531721889216e-34
Qwen3-32B,direct,enumeration_index,0.6,0.974,37.4,5,192,2.4010047049319614e-50,5.762411291836707e-49
Qwen3-32B,direct,enumeration_bullet,0.6,0.858,25.8,5,134,1.1979172729062073e-33,1.796875909359311e-32
Qwen3-32B,direct,native_thinking,0.6,0.976,37.6,5,193,1.2314364929436383e-50,3.0785912323590957e-49
Qwen3-32B,enumeration_bullet,enumeration_index,0.858,0.974,11.6,7,65,6.9644370929921e-13,8.35732451159052e-12
Qwen3-32B,enumeration_index,native_thinking,0.974,0.976,0.20000000000000018,7,8,1.0,1.0
Qwen3-4B,direct,enumeration_index,0.432,0.888,45.6,22,250,3.9022177864527475e-50,8.97510090884132e-49
Qwen3-4B,direct,enumeration_bullet,0.432,0.806,37.400000000000006,31,218,8.535777877422324e-36,1.5364400179360182e-34
Qwen3-4B,direct,native_thinking,0.432,0.928,49.60000000000001,5,253,4.035298397996415e-68,1.1702365354189604e-66
Qwen3-4B,enumeration_bullet,enumeration_index,0.806,0.888,8.199999999999996,19,60,4.194042408924103e-06,2.0970212044620517e-05
Qwen3-4B,enumeration_index,native_thinking,0.888,0.928,4.0000000000000036,15,35,0.006600447966810918,0.026401791867243674
Qwen3-8B,direct,enumeration_index,0.57,0.96,39.0,7,202,7.859900076134127e-51,2.043574019794873e-49
Qwen3-8B,direct,enumeration_bullet,0.57,0.894,32.400000000000006,12,174,5.451700555987882e-38,1.0358231056376977e-36
Qwen3-8B,direct,native_thinking,0.57,0.956,38.6,5,198,4.361936133780588e-52,1.1777227561207589e-50
Qwen3-8B,enumeration_bullet,enumeration_index,0.894,0.96,6.599999999999994,6,39,5.417768988991156e-07,3.7924382922938094e-06
Qwen3-8B,enumeration_index,native_thinking,0.96,0.956,-0.40000000000000036,11,9,0.8238029479980469,1.0
