model,layer,fit_cohort,fit_rows,fit_count_support_min,fit_count_support_max,fit_evr_pc1_3,fit_evr_pc1_6,common_v41_capture_pc1_3,common_v41_capture_pc1_6,step_cv,path_chord,within_count_seed_rms,between_count_centroid_rms,seed_noise_to_count_signal,centroid_distance_corr_to_all
Qwen3-8B,9,all,200,20,20,0.55117558,0.70263662,0.55117564,0.70263666,0.7493844307392896,1.4735031551639406,1.594039482058451,0.07553600395147585,21.10304224039252,0.9999999999999999
Qwen3-8B,9,correct_only,89,0,20,0.55877224,0.71629089,0.54410715,0.69023985,0.6246009771204173,1.3542158282791088,1.5828130288355302,0.09333316064307061,16.958742401198688,0.9691490465663378
Qwen3-8B,18,all,200,20,20,0.5299731799999999,0.6806120099999999,0.52997274,0.68061164,0.6050149489307728,2.473610485465399,2.7938366925092173,0.17304633829060279,16.14502057719031,1.0
Qwen3-8B,18,correct_only,89,0,20,0.52902844,0.6850448299999999,0.52190814,0.66062087,0.561647600882077,2.511853451886491,2.772669479855281,0.16892894834359506,16.413228798511057,0.9912902686419217
Qwen3-8B,26,all,200,20,20,0.75720153,0.8454640099999999,0.75720203,0.84546447,1.3034168149114918,1.8815928412348377,12.784362442414062,46.38387114081872,0.27562085975104333,1.0
Qwen3-8B,26,correct_only,89,0,20,0.8120510400000001,0.8784845600000001,0.72661825,0.82983023,1.3704853390221519,1.9048312517110546,12.477041967292708,45.45027221750719,0.27452073130788907,0.99529459330687
Gemma4-E4B,10,all,200,20,20,0.5242058,0.72809271,0.52420631,0.72809314,0.5968284587572157,1.7124109673107968,1.5629622087202055,0.06408498752524808,24.388897760250522,1.0
Gemma4-E4B,10,correct_only,76,1,20,0.519044,0.7330207,0.51034039,0.70753122,0.6387893293335247,1.8802805027504739,1.5423376974293717,0.05854026607886787,26.346612353136052,0.9931761581860666
Gemma4-E4B,20,all,200,20,20,0.69993839,0.79618789,0.69993857,0.79618804,1.2772821076200291,1.1216087425477757,3.649209387852014,7.09683868255535,0.5142021047797084,1.0
Gemma4-E4B,20,correct_only,76,1,20,0.74530405,0.83175976,0.66420754,0.76607555,1.3241030969620935,1.1213230165860293,3.370073854736946,7.00525349170809,0.4810780735809207,0.9997257444257138
Gemma4-E4B,31,all,200,20,20,0.76671259,0.83572622,0.7667129,0.83572657,1.0872498794398804,1.775182278806655,4.96892227525543,21.237354372023926,0.23397086982741205,1.0
Gemma4-E4B,31,correct_only,76,1,20,0.80816073,0.86850793,0.74944145,0.80438401,1.1124499844585374,1.7831051476379347,4.9301352140758326,20.992687705244546,0.2348501193986776,0.9997073710211135
