model,variant,layer,head,candidate_rank,pool_primary,pool_sum,pool_coverage,pool_enrichment,samples,effective_number_mean,dominant_occurrence,dominant_occurrence_mean_share,winner_occurrence_mode,winner_occurrence_mode_frequency,first_occurrence_share_mean,winner_is_first_mean,local_needle_count_mean,local_effective_fraction_mean,row_dominant_quarter,row_dominant_quarter_mass,span_mean_effective_number_mean,span_mean_dominant_occurrence_mean_share,span_sum_effective_number_mean,span_sum_dominant_occurrence,span_sum_dominant_occurrence_mean_share,end_sum_profile_cosine_mean,end_sum_winner_match_rate,phenotype,target_occurrence,endpoint_profile,span_mean_profile,span_sum_profile
Qwen3-8B,v4.1,29,3,1,0.0079574149228941,0.0348270022206835,0.221621671022152,78.39836375911605,20,1.0136406209559279,1,0.9933753173572271,1,1.0,0.9933753173572271,1.0,2.0,0.5017907177661567,1,0.6782678904839041,4.995587074329511,0.31316179476121825,5.011212436299904,1,0.30968300176271785,0.6737538744704683,0.65,first_needle_locator,1.0,"[0.9933753173572271,0.0017583849931080235,0.0025197613345700745,0.001272170439141264,0.0003633581746314021,0.00023786292407464429,6.826031431313154e-05,0.00014980906378860712,0.00017729142054830296,7.778397859763817e-05]","[0.31316179476121825,0.12235720444190587,0.1348724958298622,0.06952988711916039,0.05417650814002525,0.045798090153088396,0.028244680943260287,0.0710091608752789,0.11113322682867055,0.049716950907529915]","[0.30968300176271785,0.12478813833064858,0.1376537411537824,0.06873124444129733,0.053530668910360624,0.04532573592885442,0.02792385775955803,0.07023393513196614,0.1129981271722027,0.04913154940861186]"
Qwen3-8B,v4.1,8,16,2,0.0044663065683819,0.0054607427782482,0.8350726377073014,9.769416433978195,20,6.180418164221671,2,0.24006746589621542,2,0.55,0.10069446830779542,0.0,2.6,0.8132214412402275,1,0.6102961909031049,5.042519361788171,0.3667120136861425,4.974620320184484,2,0.37275324488616113,0.8769390701990376,0.6,global_endpoint_aggregator,,"[0.10069446830779542,0.24006746589621542,0.11053237639283338,0.1317060982138892,0.09648796877986918,0.09072702559658238,0.09583266355603932,0.05703013739952549,0.053738913191635616,0.02318288266561464]","[0.1571443198262793,0.3667120136861425,0.06977192589473413,0.10409249489975418,0.08375337348758519,0.04319601978051911,0.06380703583573448,0.03862748116475037,0.04558417343036415,0.02731116199413667]","[0.15463742014835186,0.37275324488616113,0.07094857471761119,0.10244068640097952,0.08253482954202238,0.04255314729134828,0.06284381194736434,0.038024282947311486,0.04636498954012097,0.02689901257872892]"
Qwen3-8B,v4.1,8,18,3,0.004463665615333,0.0051655954784816,0.8719393477080146,9.201189005115529,20,7.394739449869522,1,0.16308048766765154,1,0.2,0.16308048766765154,0.2,2.6,0.8600809881612712,1,0.7077219031501045,6.610152537690719,0.2719260155765759,6.621294685395687,1,0.2690697867483494,0.8822982432714847,0.3,global_endpoint_aggregator,,"[0.16308048766765154,0.11949475701059162,0.13711527089482797,0.03581911823048,0.07627116628726457,0.08660636815372165,0.10701132377857277,0.11078664588131333,0.050505643236372987,0.1133092188592035]","[0.2719260155765759,0.16893393309161597,0.09229611562904787,0.0558521054037693,0.055824921810890174,0.04605547155335546,0.09050557652748341,0.06514220583384035,0.058214942473820995,0.09524871209960059]","[0.2690697867483494,0.1726993884602337,0.09435645355771213,0.0552624161219792,0.05524341050113755,0.045570666189729714,0.08957656039543252,0.06446177678932741,0.05949303300169488,0.09426650823440351]"
Qwen3-8B,v4.1,24,29,4,0.0043183263983317,0.0100665900442334,0.4047253259123599,21.929682961984096,20,1.823014230858871,1,0.710680866832712,1,0.95,0.710680866832712,0.95,2.05,0.6982841305074233,1,0.7563366114839878,4.498089588523422,0.39044669781827424,4.519631350271812,1,0.38647045158611343,0.8503491258530419,0.9,targeted_occurrence_retriever,1.0,"[0.710680866832712,0.16499001944112818,0.046575756236460486,0.01414689210385855,0.025763648126837478,0.011437841684727074,0.013769928674886144,0.003930339657069986,0.005778586614550955,0.0029261206277691352]","[0.39044669781827424,0.1876993271499378,0.09971042259402821,0.056371766885572896,0.062256527682022465,0.041028549849544696,0.052857527093995785,0.058767520422142214,0.02692954544743321,0.023932115057048384]","[0.38647045158611343,0.19184830347659035,0.10194216573563689,0.055791604550640375,0.06161396899332008,0.040592251498365525,0.052322937797392347,0.058188907919552404,0.027546743835256064,0.023682664607132576]"
Qwen3-8B,v4.1,24,30,5,0.0042035041812589,0.0146624839968151,0.2797852774700516,32.05797642115837,20,1.2163155714767029,1,0.9087809492733377,1,1.0,0.9087809492733377,1.0,2.0,0.5613692890154118,4,0.5309519216789869,4.522447368447319,0.38444611035150256,4.5478117881573965,1,0.3815242303880048,0.7969808916731069,0.8,first_needle_locator,1.0,"[0.9087809492733377,0.05356134757201403,0.006988652973599384,0.002426003263382424,0.0036475393677760453,0.0055312922174449,0.004941441709726946,0.0015511064290325218,0.0037639211318021984,0.008807746061883875]","[0.38444611035150256,0.11077511752348106,0.042020272457745575,0.03814311190868624,0.038992850009266965,0.0697680221854093,0.06142085890250517,0.0734580571537035,0.09328101386543505,0.08769458564226458]","[0.3815242303880048,0.11353035021572122,0.04307171321987323,0.037828624333568345,0.03869008468897095,0.0692662999647694,0.0609351696087562,0.07294333214741978,0.09524400557902998,0.0869661898538861]"
Qwen3-8B,v4.1,29,0,6,0.0039894712331091,0.0149712175130843,0.2321393556485232,37.42908364354259,20,1.0671834013241333,1,0.9708361738124859,1,1.0,0.9708361738124859,1.0,2.0,0.5126154023739237,1,0.5473372654543049,5.6679292233688905,0.22123263499539156,5.64973085948049,1,0.21814345171664354,0.533203458422381,0.45,first_needle_locator,1.0,"[0.9708361738124859,0.011281145548310004,0.003459100878535679,0.0017725167572231627,0.0012609615943532256,0.006115684007271023,0.00039454242075559763,0.002558011251074151,0.0018284634448785912,0.0004934002851124814]","[0.22123263499539156,0.12359240477056146,0.21107345812132036,0.05986095983421806,0.06192771213159591,0.03906590024177354,0.0389594810274458,0.07657538453500816,0.0998220428530804,0.06789002148960468]","[0.21814345171664354,0.12584758071413854,0.21473759345071047,0.05898418925323719,0.061063394117462644,0.038557456364700336,0.03840295488817445,0.07571829093142947,0.10157939690106373,0.06696569166243962]"
Qwen3-8B,v4.1,14,17,7,0.0029840362854353,0.0031946341196695,0.9464857226417523,5.3979529574029135,20,7.240926827652585,10,0.257745806801707,10,0.85,0.09317490253933407,0.0,2.15,0.8242065602064109,4,0.4457960985130585,8.339278083835808,0.169286113764157,8.329656827780298,10,0.16740813162092033,0.9081369773901867,0.55,broad_span_mean_only,,"[0.09317490253933407,0.06628491234010135,0.11673997562912349,0.06690748558039714,0.06819482499555278,0.08547274227540841,0.057898804082208065,0.0855766574668251,0.10200388828934245,0.257745806801707]","[0.155884428249518,0.08964312665084753,0.1583948885387459,0.05808282834839541,0.05982227427844637,0.07695076580359492,0.06480465603487215,0.07708660867855778,0.09004430965286493,0.169286113764157]","[0.15414816181376792,0.09159021240546904,0.1618403897811962,0.05743633830953402,0.059156764769956925,0.07609959215470738,0.06408713402735959,0.07623657440987955,0.09199670070720908,0.16740813162092033]"
Qwen3-8B,v4.1,22,0,8,0.0029195337836797,0.0044388943248324,0.626341228556763,9.113142609587612,20,3.4629328794447964,1,0.4197676810499176,1,0.55,0.4197676810499176,0.55,2.1,0.8088724260513633,4,0.5739750204146878,8.938024314062439,0.142149521968908,8.944407188218772,8,0.1407464139799009,0.5729929327681228,0.05,partition_local_endpoint_aggregator,,"[0.4197676810499176,0.21317662253269618,0.06984561449361107,0.13806308100312667,0.035861113034226365,0.026530300288612096,0.031928887850348295,0.030294118688245213,0.017706533832772608,0.0168260472264439]","[0.08919559338615361,0.11174493717362563,0.08032369865440304,0.13957013255194783,0.06917486727536921,0.061111210251546574,0.12027278625878979,0.142149521968908,0.10868638621933413,0.07777086625992212]","[0.08831133187838411,0.11431036796491416,0.08216654961517203,0.1381877505546889,0.06849094756435734,0.060510560854611574,0.11908480718424233,0.1407464139799009,0.1111952753482182,0.07699599505551044]"
Qwen3-8B,v4.1,6,12,9,0.002644300682702,0.0036736279726027,0.6866080112284858,5.558055168912973,20,6.651173735853737,4,0.2263483745037153,4,0.65,0.0016753287588017547,0.0,2.75,0.7251877226488386,4,0.6663777346493539,7.688353680018305,0.19119511743823603,7.725714523612751,5,0.1895423684235559,0.9109020612454533,0.3,global_endpoint_aggregator,,"[0.0016753287588017547,0.05458429608250324,0.03224865324416382,0.2263483745037153,0.10066723194428398,0.08192180023629256,0.10499726978468023,0.09409754533260485,0.082308238985476,0.22115126112747835]","[0.01703410917174757,0.07178848908122723,0.08678481349488466,0.17963657267541316,0.19119511743823603,0.06098770924728538,0.08396025132960601,0.0602578423912972,0.1036386047636283,0.14471649040667448]","[0.016887609448138708,0.07353691038882074,0.08889669071663622,0.17808001115849478,0.1895423684235559,0.060461736776746176,0.08323695320014438,0.059736644386348334,0.10615311598621094,0.14346795951490388]"
Qwen3-8B,v4.1,29,6,10,0.0025992458894399,0.0067886627382701,0.3741184340888099,13.459209248560096,20,1.6162898294032804,1,0.8263893516626837,1,1.0,0.8263893516626837,1.0,2.0,0.6215145972567433,1,0.7074900142839502,7.000526768379048,0.19323225039428332,7.017313547449646,1,0.19154015318759338,0.5811195584521427,0.5,first_needle_locator,1.0,"[0.8263893516626837,0.0841002951121504,0.03324670197268422,0.01124748456908779,0.011685535900712146,0.005473433486430464,0.0037953289127318005,0.010614359961126562,0.007325179318493695,0.006122329103899064]","[0.19323225039428332,0.10418585006020895,0.08819032357440812,0.06979983518719692,0.11043896884899788,0.07159820907754169,0.04257201543407878,0.13797498542485911,0.07999975539255436,0.10200780660587086]","[0.19154015318759338,0.106640635506557,0.0902858712698634,0.06915765476080218,0.1094604261809494,0.07102929912587225,0.04219271183401653,0.13685071740258592,0.08174951628685209,0.1010930144449079]"
