model,protocol,layer_set,alpha,variant,paired_rows,aligned_effect,aligned_effect_low,aligned_effect_high,p_raw,p_holm
Qwen3-8B,single_layer,26,1.0,v4.1,60,1.1833333333333333,0.9,1.4666666666666668,0.001953125,0.015625
Qwen3-8B,single_layer,26,1.0,v4.2,60,0.9666666666666666,0.7333333333333333,1.2166666666666666,0.001953125,0.015625
Qwen3-8B,single_layer,26,1.0,v4.3,60,0.85,0.6333333333333333,1.0833333333333335,0.001953125,0.015625
Qwen3-8B,single_layer,26,1.0,v4.4,60,1.0000000000000002,0.7999999999999999,1.1833333333333333,0.001953125,0.015625
Qwen3-8B,multi_layer,9+18+26,1.0,v4.1,60,1.1166666666666667,0.8,1.45,0.001953125,0.015625
Qwen3-8B,multi_layer,9+18+26,1.0,v4.2,60,1.0333333333333337,0.8166666666666667,1.25,0.001953125,0.015625
Qwen3-8B,multi_layer,9+18+26,1.0,v4.3,60,0.8666666666666668,0.6333333333333333,1.1,0.001953125,0.015625
Qwen3-8B,multi_layer,9+18+26,1.0,v4.4,60,0.95,0.7000000000000001,1.1666666666666665,0.001953125,0.015625
Gemma4-E4B,single_layer,31,1.0,v4.1,60,1.4666666666666666,1.3166666666666667,1.6166666666666667,0.001953125,0.015625
Gemma4-E4B,single_layer,31,1.0,v4.2,60,1.3666666666666667,1.2333333333333334,1.4999999999999998,0.001953125,0.015625
Gemma4-E4B,single_layer,31,1.0,v4.3,60,1.2666666666666668,1.1333333333333333,1.4,0.001953125,0.015625
Gemma4-E4B,single_layer,31,1.0,v4.4,60,1.3833333333333333,1.2166666666666663,1.5833333333333333,0.001953125,0.015625
Gemma4-E4B,multi_layer,10+20+31,1.0,v4.1,60,1.4666666666666668,1.3166666666666667,1.6,0.001953125,0.015625
Gemma4-E4B,multi_layer,10+20+31,1.0,v4.2,60,1.3833333333333333,1.2833333333333337,1.4833333333333332,0.001953125,0.015625
Gemma4-E4B,multi_layer,10+20+31,1.0,v4.3,60,1.3333333333333335,1.15,1.5166666666666668,0.001953125,0.015625
Gemma4-E4B,multi_layer,10+20+31,1.0,v4.4,60,1.3666666666666667,1.2,1.5500000000000003,0.001953125,0.015625
