model,layer,design_variant,rows,seed_clusters,eligible_donor_prediction_rows,patched_valid_rate,patched_valid_rate_ci95_low,patched_valid_rate_ci95_high,patched_valid_rate_seed_clusters,changed_rate,changed_rate_ci95_low,changed_rate_ci95_high,changed_rate_seed_clusters,moved_toward_donor_gold_rate,moved_toward_donor_gold_rate_ci95_low,moved_toward_donor_gold_rate_ci95_high,moved_toward_donor_gold_rate_seed_clusters,follows_donor_gold_rate,follows_donor_gold_rate_ci95_low,follows_donor_gold_rate_ci95_high,follows_donor_gold_rate_seed_clusters,follows_donor_prediction_rate,follows_donor_prediction_rate_ci95_low,follows_donor_prediction_rate_ci95_high,follows_donor_prediction_rate_seed_clusters,eligible_donor_adoption_rate,eligible_donor_adoption_rate_ci95_low,eligible_donor_adoption_rate_ci95_high,eligible_donor_adoption_rate_seed_clusters,mean_direction_aligned_shift,mean_direction_aligned_shift_ci95_low,mean_direction_aligned_shift_ci95_high,mean_direction_aligned_shift_seed_clusters
Qwen3-8B,0,v4.4,80,10,48,1.0,1.0,1.0,10,0.0375,0.0,0.1,10,0.0375,0.0,0.0875,10,0.0875,0.05,0.125,10,0.3875,0.3,0.5,10,0.0,0.0,0.0,10,0.0125,-0.075,0.1125,10
Qwen3-8B,9,v4.4,80,10,48,1.0,1.0,1.0,10,0.0125,0.0,0.0375,10,0.0125,0.0,0.0375,10,0.0875,0.05,0.125,10,0.4,0.3,0.5,10,0.0,0.0,0.0,10,0.025,0.0,0.075,10
Qwen3-8B,18,v4.4,80,10,48,1.0,1.0,1.0,10,0.0125,0.0,0.0375,10,0.0125,0.0,0.0375,10,0.0875,0.05,0.125,10,0.4,0.3,0.5,10,0.0,0.0,0.0,10,0.025,0.0,0.075,10
Qwen3-8B,26,v4.4,80,10,48,1.0,1.0,1.0,10,0.5,0.3875,0.6,10,0.3875,0.3125,0.475,10,0.1625,0.1125,0.2125,10,0.725,0.6375,0.8,10,0.5333333333333334,0.425,0.6416666666666667,10,0.7875,0.5875,0.9875,10
Qwen3-8B,29,v4.4,80,10,48,1.0,1.0,1.0,10,0.6,0.5,0.7,10,0.4,0.325,0.475,10,0.125,0.025,0.225,10,0.9875,0.9625,1.0,10,0.9833333333333334,0.95,1.0,10,1.1375,0.85,1.45,10
Qwen3-8B,32,v4.4,80,10,48,1.0,1.0,1.0,10,0.6,0.5,0.7,10,0.4,0.325,0.475,10,0.125,0.025,0.225,10,0.975,0.9375,1.0,10,0.9583333333333334,0.9,1.0,10,1.1625,0.9,1.45,10
Qwen3-8B,34,v4.4,80,10,48,1.0,1.0,1.0,10,0.6,0.5,0.7,10,0.4,0.325,0.475,10,0.125,0.025,0.225,10,0.9875,0.9625,1.0,10,0.9833333333333334,0.95,1.0,10,1.1375,0.85,1.4375,10
Qwen3-8B,35,v4.4,80,10,48,1.0,1.0,1.0,10,0.6,0.5,0.7,10,0.4,0.325,0.475,10,0.125,0.025,0.225,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.15,0.85,1.475,10
Gemma4-E4B,0,v4.4,80,10,56,1.0,1.0,1.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.075,0.025,0.125,10,0.3,0.175,0.4,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10
Gemma4-E4B,10,v4.4,80,10,56,1.0,1.0,1.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.075,0.025,0.125,10,0.3,0.175,0.4,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10
Gemma4-E4B,20,v4.4,80,10,56,1.0,1.0,1.0,10,0.0125,0.0,0.0375,10,0.0125,0.0,0.0375,10,0.075,0.025,0.125,10,0.2875,0.175,0.4,10,0.0,0.0,0.0,10,-0.0125,-0.0375,0.0,10
Gemma4-E4B,31,v4.4,80,10,56,1.0,1.0,1.0,10,0.6625,0.5375,0.7875,10,0.4375,0.3625,0.5125,10,0.0625,0.0,0.125,10,0.9,0.8375,0.9625,10,0.875,0.7916666666666666,0.95,10,1.15,0.95,1.3875,10
Gemma4-E4B,35,v4.4,80,10,56,1.0,1.0,1.0,10,0.7,0.6,0.825,10,0.4625,0.3875,0.5375,10,0.075,0.0,0.1625,10,0.9875,0.9625,1.0,10,0.9875,0.9625,1.0,10,1.2375,1.0125,1.525,10
Gemma4-E4B,38,v4.4,80,10,56,1.0,1.0,1.0,10,0.7,0.6,0.825,10,0.4625,0.3875,0.5375,10,0.0625,0.0,0.15,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.25,1.0,1.525,10
Gemma4-E4B,40,v4.4,80,10,56,1.0,1.0,1.0,10,0.7,0.6,0.825,10,0.4625,0.3875,0.5375,10,0.0625,0.0,0.15,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.25,1.025,1.525,10
Gemma4-E4B,41,v4.4,80,10,56,1.0,1.0,1.0,10,0.7,0.6,0.825,10,0.4625,0.3875,0.5375,10,0.0625,0.0,0.15,10,1.0,1.0,1.0,10,1.0,1.0,1.0,10,1.25,1.025,1.525,10
