model_label,patch_layer,frozen_heads,seeds,counts,needle_delta_mass,ordinary_delta_mass,mass_specificity,needle_delta_broad_score,ordinary_delta_broad_score,broad_specificity
Qwen3-8B,0,32,30,1-10,0.389542,0.006551,0.382991,0.315522,0.005700,0.309823
Qwen3-8B,1,32,30,1-10,0.383235,0.006849,0.376387,0.309954,0.005895,0.304059
Qwen3-8B,2,32,30,1-10,0.381797,0.006881,0.374916,0.309135,0.005922,0.303213
Qwen3-8B,3,32,30,1-10,0.382155,0.006749,0.375406,0.309464,0.005834,0.303629
Qwen3-8B,4,32,30,1-10,0.380083,0.006846,0.373237,0.307510,0.005676,0.301833
Qwen3-8B,5,32,30,1-10,0.380941,0.006530,0.374412,0.307671,0.005590,0.302081
Qwen3-8B,6,32,30,1-10,0.381873,0.006365,0.375508,0.308118,0.005433,0.302685
Qwen3-8B,7,32,30,1-10,0.381694,0.001002,0.380692,0.307279,0.001124,0.306155
Qwen3-8B,8,32,30,1-10,0.379865,0.001278,0.378587,0.305512,0.001213,0.304298
Qwen3-8B,9,32,30,1-10,0.364608,-0.000398,0.365005,0.297815,-0.000089,0.297904
Qwen3-8B,10,32,30,1-10,0.363181,-0.000700,0.363881,0.296728,-0.000249,0.296977
Qwen3-8B,11,32,30,1-10,0.363918,-0.000829,0.364747,0.297508,-0.000422,0.297930
Qwen3-8B,12,32,30,1-10,0.365312,-0.001462,0.366775,0.298032,-0.000915,0.298947
Qwen3-8B,13,32,30,1-10,0.369173,-0.002265,0.371438,0.301716,-0.001555,0.303270
Qwen3-8B,14,32,30,1-10,0.369014,-0.002163,0.371177,0.301259,-0.001603,0.302862
Qwen3-8B,15,32,30,1-10,0.372228,-0.001383,0.373611,0.305334,-0.000923,0.306257
Qwen3-8B,16,32,30,1-10,0.365969,-0.001114,0.367083,0.301179,-0.000711,0.301890
Qwen3-8B,17,32,30,1-10,0.351806,-0.000930,0.352736,0.290111,-0.000481,0.290592
Qwen3-8B,18,32,30,1-10,0.326389,-0.000688,0.327077,0.270476,-0.000337,0.270812
Qwen3-8B,19,32,30,1-10,0.272513,-0.000183,0.272697,0.227927,-0.000062,0.227990
Qwen3-8B,20,32,30,1-10,0.233262,-0.000425,0.233687,0.196195,-0.000250,0.196445
Qwen3-8B,21,32,30,1-10,0.071599,-0.000409,0.072008,0.060819,-0.000235,0.061054
Qwen3-8B,22,32,30,1-10,0.054474,-0.000379,0.054853,0.046308,-0.000233,0.046541
Qwen3-8B,23,32,30,1-10,0.036328,-0.000289,0.036617,0.029832,-0.000164,0.029996
Qwen3-8B,24,32,30,1-10,0.027838,-0.000271,0.028108,0.022944,-0.000151,0.023095
Qwen3-8B,25,32,30,1-10,0.026647,-0.000240,0.026887,0.021921,-0.000141,0.022062
Qwen3-8B,26,32,30,1-10,0.012491,-0.000035,0.012527,0.010247,-0.000028,0.010275
Qwen3-8B,27,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,28,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,29,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,30,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,31,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,32,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,33,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,34,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,35,32,30,1-10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Gemma4-E4B,0,8,30,1-10,0.264466,0.000765,0.263701,0.208564,0.000847,0.207717
Gemma4-E4B,1,8,30,1-10,0.265181,0.002447,0.262735,0.210637,0.002466,0.208171
Gemma4-E4B,2,8,30,1-10,0.265946,0.001358,0.264588,0.211470,0.002108,0.209362
Gemma4-E4B,3,8,30,1-10,0.268770,0.001227,0.267543,0.213034,0.002398,0.210636
Gemma4-E4B,4,8,30,1-10,0.271248,0.001947,0.269302,0.215227,0.002449,0.212777
Gemma4-E4B,5,8,30,1-10,0.272614,-0.000533,0.273147,0.217125,-0.000434,0.217559
Gemma4-E4B,6,8,30,1-10,0.270797,-0.000918,0.271715,0.217578,-0.000753,0.218331
Gemma4-E4B,7,8,30,1-10,0.281513,-0.000726,0.282239,0.225023,-0.000506,0.225530
Gemma4-E4B,8,8,30,1-10,0.281190,-0.000296,0.281487,0.226003,-0.000121,0.226124
Gemma4-E4B,9,8,30,1-10,0.283326,-0.000463,0.283789,0.227003,0.000041,0.226962
Gemma4-E4B,10,8,30,1-10,0.289064,-0.000185,0.289250,0.232658,0.000162,0.232496
Gemma4-E4B,11,8,30,1-10,0.307787,-0.000392,0.308179,0.242740,-0.000187,0.242927
Gemma4-E4B,12,8,30,1-10,0.320550,-0.000587,0.321137,0.254217,-0.000445,0.254662
Gemma4-E4B,13,8,30,1-10,0.363576,-0.000238,0.363814,0.287477,-0.000113,0.287590
Gemma4-E4B,14,8,30,1-10,0.377362,-0.000092,0.377454,0.298778,-0.000161,0.298939
Gemma4-E4B,15,8,30,1-10,0.401636,0.000102,0.401534,0.315462,0.000062,0.315400
Gemma4-E4B,16,8,30,1-10,0.417398,-0.000065,0.417462,0.326427,-0.000078,0.326505
Gemma4-E4B,17,8,30,1-10,0.157669,0.001056,0.156612,0.134315,0.000662,0.133653
Gemma4-E4B,18,8,30,1-10,0.147137,0.000511,0.146626,0.124884,0.000338,0.124545
