model_label,seed,gold_count,patch_layer,normalized_recovery_full_minus_endpoint,expected_absolute_error_reduction_full_minus_endpoint,strict_absolute_error_reduction_full_minus_endpoint,clean_strict_correct
Gemma4-E4B,1234,1,0,0.9042331577104835,0.1998623583853978,10.0,True
Gemma4-E4B,1234,1,1,0.9066202901041578,0.2003899854757225,10.0,True
Gemma4-E4B,1234,1,2,1.0915268870119141,0.241259829966467,10.0,True
Gemma4-E4B,1234,1,3,1.0686846501953915,0.23621101785200382,10.0,True
Gemma4-E4B,1234,1,4,1.030486345380918,0.227768059062619,10.0,True
Gemma4-E4B,1234,1,5,1.0127337220205046,0.2238442025416707,10.0,True
Gemma4-E4B,1234,1,6,1.1391011364517167,0.251775150722376,10.0,True
Gemma4-E4B,1234,1,7,0.8773110450570271,0.19391177265233184,10.0,True
Gemma4-E4B,1234,1,8,0.9361229329325277,0.20691094494729279,10.0,True
Gemma4-E4B,1234,1,9,0.8336525641649681,0.1842619529347005,10.0,True
Gemma4-E4B,1234,1,10,0.6875419005362622,0.15196716085692685,10.0,True
Gemma4-E4B,1234,1,11,1.009472020669008,0.22312326976133612,10.0,True
Gemma4-E4B,1234,1,12,0.9642628073219792,0.21313069215760838,10.0,True
Gemma4-E4B,1234,1,13,1.005780285129527,0.222307286665423,10.0,True
Gemma4-E4B,1234,1,14,0.9571177107331091,0.21155141380117337,10.0,True
Gemma4-E4B,1234,1,15,1.0093995872710404,0.22310725983113144,10.0,True
Gemma4-E4B,1234,1,16,0.8591832159827211,0.18990498453545746,10.0,True
Gemma4-E4B,1234,1,17,0.6169530486097526,0.13636493005898598,0.0,True
Gemma4-E4B,1234,1,18,0.4822325407915836,0.10658770038562038,0.0,True
Gemma4-E4B,1234,1,19,0.4119968960772154,0.09106353886197605,0.0,True
Gemma4-E4B,1234,1,20,0.39047540734322467,0.08630665126317227,0.0,True
Gemma4-E4B,1234,1,21,0.11681415898248151,0.025819395261018174,0.0,True
Gemma4-E4B,1234,1,22,0.1491684068663473,0.03297064406307282,0.0,True
Gemma4-E4B,1234,1,23,0.0,0.0,0.0,True
