model_label,population,patch_layer,rows,seeds,mean_normalized_recovery_specificity,median_normalized_recovery_specificity,mean_expected_absolute_error_reduction_specificity,median_expected_absolute_error_reduction_specificity,mean_strict_absolute_error_reduction_specificity,median_strict_absolute_error_reduction_specificity
Gemma4-E4B,all,0,300,30,-0.5032890134103228,0.10076053317394529,2.737381793355536,2.654575022957751,8.643333333333333,9.0
Gemma4-E4B,all,1,300,30,-1.2887733603009308,0.058296458080743796,2.743627364265116,2.6319407207249457,8.646666666666667,9.0
Gemma4-E4B,all,2,300,30,0.8536404660405352,0.2056273052726878,2.8004932068282424,2.6607450845459164,8.71,9.0
Gemma4-E4B,all,3,300,30,0.49335630486096366,0.21951973807608946,2.803550303219968,2.715738857308218,8.7,9.0
Gemma4-E4B,all,4,300,30,0.2368851980237929,0.248407736032269,2.821189334252499,2.7191736890853075,8.73,9.0
Gemma4-E4B,all,5,300,30,3.0323028424051772,0.543852327166728,2.743301528579134,2.6749728035305225,8.643333333333333,9.0
Gemma4-E4B,all,6,300,30,2.1576346393277905,0.4867638875625292,2.773655674460501,2.723181563017934,8.69,9.0
Gemma4-E4B,all,7,300,30,3.816558777220105,0.4824102881171327,2.8466135380899753,2.72374367081615,8.73,9.0
Gemma4-E4B,all,8,300,30,3.371016065429599,0.5283210623063174,2.8667044100494223,2.728895562961344,8.763333333333334,9.0
Gemma4-E4B,all,9,300,30,4.255126168015967,0.5838559487012913,2.8672848988968487,2.7345521531797417,8.78,9.0
Gemma4-E4B,all,10,300,30,0.37717843189032946,0.5795993551395119,2.7614698381957616,2.691834761313163,8.626666666666667,9.0
Gemma4-E4B,all,11,300,30,0.5107983866672003,0.6351266281657284,2.389270236957284,2.447975564775965,8.29,8.0
Gemma4-E4B,all,12,300,30,1.2239448300891902,0.6919663589641089,2.41737259404657,2.3912633728944424,8.31,9.0
Gemma4-E4B,all,13,300,30,1.2103852171135405,0.7450676436962675,2.3882459199543407,2.1734879675040837,8.276666666666667,8.0
Gemma4-E4B,all,14,300,30,0.9727806468226553,0.7589576640155011,2.3436495820931227,2.05928426443066,8.24,8.0
Gemma4-E4B,all,15,300,30,0.9202230847251744,0.6682612818921557,2.2167077980746717,1.9446407884180572,8.103333333333333,8.0
Gemma4-E4B,all,16,300,30,0.20411934756290084,0.6325091567086023,2.0926043611034615,1.840812536159156,7.96,8.0
Gemma4-E4B,all,17,300,30,-0.4030399834029989,-0.039808052034936016,0.06370720979736932,0.011408860773298946,0.14666666666666667,0.0
Gemma4-E4B,all,18,300,30,0.3945077223460458,-0.022307029770392613,0.03036920411335305,-0.0009325995765219197,0.11,0.0
Gemma4-E4B,all,19,300,30,0.11835417576213722,-0.021066021983202038,0.030462832281565363,-0.014202063243286767,-0.006666666666666667,0.0
Gemma4-E4B,all,20,300,30,-0.23816635216584678,-0.0615258439630445,-0.013274261031842685,-0.04041012075891848,0.0,0.0
Gemma4-E4B,all,21,300,30,-0.0584374256912172,-0.05629667874822071,0.00020791095711593025,-0.01854755543175335,0.0033333333333333335,0.0
Gemma4-E4B,all,22,300,30,-0.06705248715924568,-0.03695134864851896,-0.00048164987851761153,-0.0232681671793169,0.0,0.0
Gemma4-E4B,all,23,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,24,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,25,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,26,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,27,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,28,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,29,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,30,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,31,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,32,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,33,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,34,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,35,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,36,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,37,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,38,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,39,300,30,-0.0003127367589891427,0.0,-0.0003115929005312945,0.0,0.0,0.0
Gemma4-E4B,all,40,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,all,41,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,all,0,300,30,-0.08914749491959476,0.04802704050460316,2.7892586132721853,2.7416942285981056,8.963333333333333,9.0
Qwen3-8B,all,1,300,30,0.18309992074124146,0.08314190281505573,2.771462872716316,2.8128006091232622,8.92,9.0
Qwen3-8B,all,2,300,30,0.05042921995306312,0.24476698661979923,2.7771482513438634,2.783492318037928,8.943333333333333,9.0
Qwen3-8B,all,3,300,30,0.49607637642806485,0.3154019201525484,2.7651735395911943,2.7398820410377933,8.92,9.0
Qwen3-8B,all,4,300,30,-0.15613161491259678,0.38355904413607944,2.7793525446741385,2.7428878505772922,8.93,9.0
Qwen3-8B,all,5,300,30,-16.176654751244367,0.32618814666290485,2.768774573331659,2.7410491408334923,8.906666666666666,9.0
Qwen3-8B,all,6,300,30,-4.851538153373955,0.3195403166052444,2.7439805839935425,2.719157220379635,8.916666666666666,9.0
Qwen3-8B,all,7,300,30,0.06466580030277118,0.5428134473640008,2.7887525512788445,2.76782242724203,8.906666666666666,9.0
Qwen3-8B,all,8,300,30,0.524070742292117,0.5810556970500206,2.7775199299425903,2.776894633111449,8.916666666666666,9.0
Qwen3-8B,all,9,300,30,0.188515511581861,0.5250673493609616,2.7542167300052767,2.6954083867927507,8.896666666666667,9.0
Qwen3-8B,all,10,300,30,0.7172357688919655,0.5832983648355634,2.7600579212073852,2.691856131259801,8.866666666666667,9.0
Qwen3-8B,all,11,300,30,0.5676341373059198,0.6238771157759754,2.7235614083063684,2.669949407196765,8.843333333333334,9.0
Qwen3-8B,all,12,300,30,0.6622463822666218,0.6663449633966282,2.738215928651258,2.6514877734044067,8.84,9.0
Qwen3-8B,all,13,300,30,0.9601975220958102,0.7463484150409562,2.7334280415438545,2.655838440749348,8.84,9.0
Qwen3-8B,all,14,300,30,0.10217079917070986,0.730986420793234,2.736898241909181,2.693483995974721,8.86,9.0
Qwen3-8B,all,15,300,30,0.3872650403536762,0.7562700053404645,2.744677191400477,2.6890373237381766,8.883333333333333,9.0
Qwen3-8B,all,16,300,30,1.1080464676109816,0.7533858624221567,2.512258907778933,2.519183955220952,8.63,9.0
Qwen3-8B,all,17,300,30,0.9398522935980362,0.7104207681682689,2.2471591280920657,2.3612619656987146,8.093333333333334,9.0
Qwen3-8B,all,18,300,30,0.5988650013531328,0.647500784282045,1.9444371056209941,2.0037345397365542,6.986666666666666,8.0
Qwen3-8B,all,19,300,30,0.42261352682046505,0.39337684890066527,1.2519412301720385,1.170819088365891,3.2,0.0
Qwen3-8B,all,20,300,30,0.5711507436834672,0.2023114651956967,0.7693062041312826,0.5500836879195834,1.0233333333333334,0.0
Qwen3-8B,all,21,300,30,0.39692929331101245,-0.030722084716997528,0.030955194671514762,-0.048914518975249344,0.17,0.0
Qwen3-8B,all,22,300,30,-0.30710913552370867,-0.10071307083747401,-0.15524816290841226,-0.15406457136681606,0.0,0.0
Qwen3-8B,all,23,300,30,-0.13241836172361285,-0.08806250517332032,-0.07620769063894318,-0.0546565859706577,0.0,0.0
Qwen3-8B,all,24,300,30,-0.07220915397666447,-0.03818863033379883,-0.06773340803521725,-0.04990496651385534,-0.0033333333333333335,0.0
Qwen3-8B,all,25,300,30,-0.199485879147553,-0.04815606549980728,-0.0713276160032002,-0.05438080035182169,-0.006666666666666667,0.0
Qwen3-8B,all,26,300,30,0.031438898677089704,-0.035740870853911616,-0.0630778581428567,-0.03722485645898699,-0.006666666666666667,0.0
Qwen3-8B,all,27,300,30,-0.3830496357497842,-0.04603418602060475,-0.06696868739414678,-0.037485695252599704,-0.006666666666666667,0.0
Qwen3-8B,all,28,300,30,-0.14434863701680087,-0.014304730866584707,-0.021882082549569384,-0.021565260520409413,-0.0033333333333333335,0.0
Qwen3-8B,all,29,300,30,-0.1721113017986119,-0.03454838793962303,-0.02894734066375425,-0.029651819147797465,-0.006666666666666667,0.0
Qwen3-8B,all,30,300,30,-0.35431143353568195,-0.015484016483094625,-0.02653365027087526,-0.020469619112160498,-0.0033333333333333335,0.0
Qwen3-8B,all,31,300,30,-0.3008074866234743,-0.010427921766378825,-0.003532786524847187,-0.012287014481869196,-0.0033333333333333335,0.0
Qwen3-8B,all,32,300,30,-0.08793073337028144,-0.015528712680839942,-0.008324735492515984,-0.005456204176797375,-0.006666666666666667,0.0
Qwen3-8B,all,33,300,30,-0.44220147009773175,-0.006774430266410447,0.0020004043445956297,-0.0006434913115005436,-0.0033333333333333335,0.0
Qwen3-8B,all,34,300,30,-0.02823477445813128,0.0008570026522458222,-0.0011688547002773812,0.0003262476622791777,0.0,0.0
Qwen3-8B,all,35,300,30,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,0,200,20,-0.44616325321502776,0.024228010462154892,2.8192839298657844,2.7410730459417887,8.62,9.0
Gemma4-E4B,discovery,1,200,20,-1.5381211879311727,0.02384784111665028,2.813438638254837,2.7129117524290676,8.65,9.0
Gemma4-E4B,discovery,2,200,20,1.2779449962567484,0.1960123397842627,2.879839515095288,2.754261614835621,8.695,9.0
Gemma4-E4B,discovery,3,200,20,1.2453448939002274,0.24952920885871888,2.89558078432495,2.7658777351574684,8.695,9.0
Gemma4-E4B,discovery,4,200,20,1.4349564122273888,0.21833361628026493,2.916752586080433,2.801753730253074,8.73,9.0
Gemma4-E4B,discovery,5,200,20,0.3797148391139069,0.3793354696982511,2.8181557669007367,2.7262459267717816,8.635,9.0
Gemma4-E4B,discovery,6,200,20,0.25715080367010423,0.3325554462110454,2.844437647065577,2.7433496750828037,8.68,9.0
Gemma4-E4B,discovery,7,200,20,0.805178209018507,0.42753918090693316,2.909119606072079,2.7469875485254516,8.71,9.0
Gemma4-E4B,discovery,8,200,20,-0.043754882106886904,0.41866405261361783,2.955156106234735,2.766379196242104,8.765,9.0
Gemma4-E4B,discovery,9,200,20,0.20434465830176748,0.5327219455021395,2.970021872941974,2.8046149012812402,8.775,9.0
Gemma4-E4B,discovery,10,200,20,-0.17060851307478667,0.5453572762838224,2.8612974844930665,2.705087120246972,8.635,9.0
Gemma4-E4B,discovery,11,200,20,-0.20594676802599524,0.6211059480053169,2.489849397033195,2.5766825574577648,8.29,9.0
Gemma4-E4B,discovery,12,200,20,0.8083988911638507,0.650595190947597,2.4734579877461766,2.500825995118479,8.265,8.0
Gemma4-E4B,discovery,13,200,20,1.0498949223389447,0.734661562883896,2.391946256964299,2.3106933305828803,8.195,8.0
Gemma4-E4B,discovery,14,200,20,0.7222318513637088,0.6977488201930868,2.3638109427899012,2.3131191142240874,8.185,8.0
Gemma4-E4B,discovery,15,200,20,0.919751856484977,0.6746271108246298,2.2489972419219644,2.0637753934010163,8.05,8.0
Gemma4-E4B,discovery,16,200,20,-0.16293643471912586,0.601714590275232,2.129697405225219,1.8941720759595795,7.905,8.0
Gemma4-E4B,discovery,17,200,20,-0.6319757539628903,-0.019666089186865292,0.13957494530912523,0.034963958178188204,0.0,0.0
Gemma4-E4B,discovery,18,200,20,0.31918177743095716,0.018489404545465524,0.09885115665997929,0.041971616097331355,-0.015,0.0
Gemma4-E4B,discovery,19,200,20,-0.04819356174389533,0.011290278737434649,0.09672498101882342,0.03803532345049465,-0.005,0.0
Gemma4-E4B,discovery,20,200,20,-0.6009549284822431,-0.05181032524554713,0.03878252767991848,0.006906211364637538,0.0,0.0
Gemma4-E4B,discovery,21,200,20,-0.0908333147594425,-0.06043158210302101,0.052679943189903565,0.00966955398432967,0.01,0.0
Gemma4-E4B,discovery,22,200,20,-0.10356679846639656,-0.03606928761988753,0.048777882240268376,0.006534678782170067,0.0,0.0
Gemma4-E4B,discovery,23,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,24,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,25,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,26,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,27,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,28,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,29,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,30,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,31,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,32,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,33,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,34,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,35,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,36,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,37,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,38,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,39,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,40,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Gemma4-E4B,discovery,41,200,20,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,discovery,0,200,20,-0.16143395606287586,0.0373036306995711,2.8321824354795235,2.790477146761626,8.985,9.0
Qwen3-8B,discovery,1,200,20,0.2797363500123655,0.055821631682830275,2.8110811026273304,2.849472336818116,8.945,9.0
Qwen3-8B,discovery,2,200,20,0.07773406953101422,0.3313946644030904,2.8350655725393508,2.794778923193083,8.975,9.0
Qwen3-8B,discovery,3,200,20,0.6258761861077511,0.3544792721189419,2.81839785494524,2.7882400970117756,8.955,9.0
Qwen3-8B,discovery,4,200,20,-0.524069812897504,0.4598893943804545,2.8323947869925146,2.747389209579389,8.96,9.0
Qwen3-8B,discovery,5,200,20,-24.326200114385376,0.3979645092290862,2.8222107728090116,2.9093350221749787,8.92,9.0
Qwen3-8B,discovery,6,200,20,-7.375361626775893,0.3582304261777326,2.789703987792608,2.8206188853871943,8.935,9.0
Qwen3-8B,discovery,7,200,20,-0.2023416191748364,0.6079983399333715,2.8409410496693455,2.7184040913190017,8.93,9.0
Qwen3-8B,discovery,8,200,20,0.4611029259575182,0.6361350709633897,2.8337271688214773,2.751681481860817,8.97,9.0
Qwen3-8B,discovery,9,200,20,0.11643126919530968,0.6353190663522931,2.848108144907039,2.715209213408916,8.97,9.0
Qwen3-8B,discovery,10,200,20,0.7786172297479915,0.6907360951789214,2.8516969477885175,2.7649156472613736,8.945,9.0
Qwen3-8B,discovery,11,200,20,0.6072865518759074,0.7175964376537547,2.803512649810409,2.701107633870158,8.925,9.0
Qwen3-8B,discovery,12,200,20,0.7096520498466228,0.7095036045128554,2.832032422638852,2.686075678918436,8.945,9.0
Qwen3-8B,discovery,13,200,20,0.9684813080431331,0.7729825843510388,2.840657867084078,2.715513446759773,8.915,9.0
Qwen3-8B,discovery,14,200,20,-0.2496140381960859,0.7365203224791786,2.837011653106157,2.725530481454852,8.93,9.0
Qwen3-8B,discovery,15,200,20,0.3310586978465862,0.7687063872662667,2.8867964714261745,2.9024765929550225,9.005,9.0
Qwen3-8B,discovery,16,200,20,1.2730132896105553,0.7985457334596084,2.617046040640039,2.678173488380306,8.745,9.0
Qwen3-8B,discovery,17,200,20,1.1334310424684066,0.7008987919456626,2.3333025199358857,2.4770807365313185,8.12,9.0
Qwen3-8B,discovery,18,200,20,0.6971539058529327,0.7046325131382265,2.0062057971092893,2.1443340147783294,7.19,8.0
Qwen3-8B,discovery,19,200,20,0.5091708394971043,0.3479135452951584,1.2307328490064808,1.0939199282976853,3.125,0.0
Qwen3-8B,discovery,20,200,20,0.5416911520068645,0.20442276817439725,0.6884529255438436,0.4591068348068714,1.02,0.0
Qwen3-8B,discovery,21,200,20,0.47522685701742035,-0.03582094477927107,-0.02089862434050941,-0.054020802292993775,0.125,0.0
Qwen3-8B,discovery,22,200,20,-0.3739796754126031,-0.11657684514470755,-0.18042621822262972,-0.14133691147221994,0.005,0.0
Qwen3-8B,discovery,23,200,20,-0.145298130689158,-0.08682416102933103,-0.07754014460963222,-0.044924005993136173,0.005,0.0
