model_label,pooling,window_start,window_end,measure,condition,mean,ci95_low,ci95_high,exact_sign_flip_p,seed_units
Qwen3-8B,span_end,0,20,correct_distance,clean,1.0161017613751546,0.9219980523345015,1.1737257148538318,,10
Qwen3-8B,span_end,0,20,correct_distance,needle_corrupt,7.969475902829852,7.79526208128248,8.156095400310699,,10
Qwen3-8B,span_end,0,20,correct_distance,ordinary_corrupt,1.0088242868582407,0.9152397245026769,1.1657718825695063,,10
Qwen3-8B,span_end,0,20,margin,clean,0.057823165069844217,-0.002059670354550079,0.0940784854265595,,10
Qwen3-8B,span_end,0,20,margin,needle_corrupt,-1.2361732119605655,-1.2762622065487363,-1.1994072901989732,,10
Qwen3-8B,span_end,0,20,margin,ordinary_corrupt,0.06066127658289459,0.0005285314729415087,0.09691024750221654,,10
Qwen3-8B,span_end,0,20,accuracy,clean,0.39761905457292285,0.3404761963656971,0.44476191167409224,,10
Qwen3-8B,span_end,0,20,accuracy,needle_corrupt,0.09857143004025731,0.09619047762382597,0.10095238245668865,,10
Qwen3-8B,span_end,0,20,accuracy,ordinary_corrupt,0.4195238155268487,0.35761905362119983,0.4723809568690402,,10
Qwen3-8B,span_end,0,20,mad,clean,1.2604761935415723,1.0542738108230487,1.5728571466108165,,10
Qwen3-8B,span_end,0,20,mad,needle_corrupt,3.1599999564034595,3.145714236441113,3.1766666162865507,,10
Qwen3-8B,span_end,0,20,mad,ordinary_corrupt,1.2333333346815336,1.0276190480306036,1.5480952402665502,,10
Qwen3-8B,span_end,0,20,relative_rms,needle_corrupt,1.063200651464008,1.0464612154733568,1.0813635357008093,,10
Qwen3-8B,span_end,0,20,relative_rms,ordinary_corrupt,0.0326515414485974,0.027000026877725583,0.03888822079259193,,10
Qwen3-8B,span_end,0,20,cosine_distance,needle_corrupt,0.5346935267959323,0.5221414719592958,0.5475304639055615,,10
Qwen3-8B,span_end,0,20,cosine_distance,ordinary_corrupt,0.000920961722141285,0.0005866308841509526,0.001294231290154141,,10
Qwen3-8B,span_mean,0,20,correct_distance,clean,0.9658710178874788,0.8863082455027672,1.0792398556854048,,10
Qwen3-8B,span_mean,0,20,correct_distance,needle_corrupt,3.785569362413315,3.644112205505371,3.946537479360899,,10
Qwen3-8B,span_mean,0,20,correct_distance,ordinary_corrupt,1.0202386844725837,0.8951047658423582,1.217175195784796,,10
Qwen3-8B,span_mean,0,20,margin,clean,-0.0541491497452149,-0.08860666275635595,-0.02782367597738769,,10
Qwen3-8B,span_mean,0,20,margin,needle_corrupt,-0.6993012909378324,-0.8606896616128229,-0.5842270483041093,,10
Qwen3-8B,span_mean,0,20,margin,ordinary_corrupt,-0.10339132258675474,-0.21772230566845835,-0.03294397351979395,,10
Qwen3-8B,span_mean,0,20,accuracy,clean,0.3557142913341522,0.32333333786488283,0.3880952440202236,,10
Qwen3-8B,span_mean,0,20,accuracy,needle_corrupt,0.10952381119132042,0.1047619063229788,0.11380952564733371,,10
Qwen3-8B,span_mean,0,20,accuracy,ordinary_corrupt,0.3547619104385376,0.32190476906796295,0.38809524387830774,,10
Qwen3-8B,span_mean,0,20,mad,clean,1.4319047609255429,1.329523805064105,1.5385714271274349,,10
Qwen3-8B,span_mean,0,20,mad,needle_corrupt,3.271428522609529,3.1847618579864503,3.3385713781629294,,10
Qwen3-8B,span_mean,0,20,mad,ordinary_corrupt,1.451428569640432,1.3471428490678472,1.5657142803782509,,10
Qwen3-8B,span_mean,0,20,relative_rms,needle_corrupt,0.5975855002800625,0.5489991556959493,0.6575716637074948,,10
Qwen3-8B,span_mean,0,20,relative_rms,ordinary_corrupt,0.06944235664670399,0.019680664064750695,0.14552143603621517,,10
Qwen3-8B,span_mean,0,20,cosine_distance,needle_corrupt,0.14992937484667415,0.14477828108483837,0.15506839939792239,,10
Qwen3-8B,span_mean,0,20,cosine_distance,ordinary_corrupt,0.0027096467500560568,0.00022805419256601882,0.006360242201251537,,10
Gemma4-E4B,span_end,0,16,correct_distance,clean,0.9632890094729032,0.8816544326088009,1.090739568796228,,10
Gemma4-E4B,span_end,0,16,correct_distance,needle_corrupt,4.776852516567005,4.72290869881125,4.82208111549125,,10
Gemma4-E4B,span_end,0,16,correct_distance,ordinary_corrupt,0.9605621169595157,0.8794775038081057,1.0879514874956189,,10
Gemma4-E4B,span_end,0,16,margin,clean,-0.04895009936230695,-0.08835266921544269,-0.02310905665345831,,10
Gemma4-E4B,span_end,0,16,margin,needle_corrupt,-0.7465714214479222,-0.7566365368225995,-0.7339880288129343,,10
Gemma4-E4B,span_end,0,16,margin,ordinary_corrupt,-0.048520347027892166,-0.08751544962814103,-0.02306771107149389,,10
Gemma4-E4B,span_end,0,16,accuracy,clean,0.22000000481219853,0.2005882403375033,0.24235294667236945,,10
Gemma4-E4B,span_end,0,16,accuracy,needle_corrupt,0.10176470739876523,0.10000000149011612,0.10352941330741434,,10
Gemma4-E4B,span_end,0,16,accuracy,ordinary_corrupt,0.21941176955314243,0.2017647103789975,0.239411769544377,,10
Gemma4-E4B,span_end,0,16,mad,clean,2.472941175629111,2.270588238782742,2.6953088229018105,,10
Gemma4-E4B,span_end,0,16,mad,needle_corrupt,3.4394117804134594,3.4300000148661,3.448823545960819,,10
Gemma4-E4B,span_end,0,16,mad,ordinary_corrupt,2.4658823549747466,2.2629411883213946,2.6911764699133007,,10
Gemma4-E4B,span_end,0,16,relative_rms,needle_corrupt,0.593777184100712,0.5814175917646464,0.6040928743253736,,10
Gemma4-E4B,span_end,0,16,relative_rms,ordinary_corrupt,0.020766345863675643,0.016515260140808737,0.024464975310804542,,10
Gemma4-E4B,span_end,0,16,cosine_distance,needle_corrupt,0.18195813417653825,0.1777724299251157,0.1860698443736114,,10
Gemma4-E4B,span_end,0,16,cosine_distance,ordinary_corrupt,0.00038857803086676096,0.0002658347827985561,0.0005050190328803193,,10
Gemma4-E4B,span_mean,0,16,correct_distance,clean,0.9912053087178399,0.9258066743436981,1.0943472438086483,,10
Gemma4-E4B,span_mean,0,16,correct_distance,needle_corrupt,3.3678447919733387,3.3314320592319264,3.404062467462876,,10
Gemma4-E4B,span_mean,0,16,correct_distance,ordinary_corrupt,0.9908085798515994,0.9252040060127481,1.0949844570720895,,10
Gemma4-E4B,span_mean,0,16,margin,clean,0.008924794015097982,-0.011346424796309509,0.024547732855648714,,10
Gemma4-E4B,span_mean,0,16,margin,needle_corrupt,-0.3177722931784742,-0.3218790597293307,-0.31321581904721607,,10
Gemma4-E4B,span_mean,0,16,margin,ordinary_corrupt,0.009089277026257203,-0.011150947240513392,0.024604726199279815,,10
Gemma4-E4B,span_mean,0,16,accuracy,clean,0.30176471270182553,0.2594117717269589,0.3429411840384059,,10
Gemma4-E4B,span_mean,0,16,accuracy,needle_corrupt,0.1047058839131804,0.09941176618723309,0.11058823694201077,,10
Gemma4-E4B,span_mean,0,16,accuracy,ordinary_corrupt,0.29941177140263947,0.2600000059779953,0.3376470660473056,,10
Gemma4-E4B,span_mean,0,16,mad,clean,1.8699999951264439,1.6264705862893778,2.137647048199878,,10
Gemma4-E4B,span_mean,0,16,mad,needle_corrupt,3.006470566637376,2.934705861841931,3.0576470375061033,,10
Gemma4-E4B,span_mean,0,16,mad,ordinary_corrupt,1.8799999976859376,1.6523529392831466,2.132941169247908,,10
