model_label,head_bank,top_n,examples,seeds,accuracy_effect,absolute_error_effect,prediction_change_effect,ranked_valid_rate,random_overlap_mean
Qwen3-8B,broad_aggregation,1,20,5,0.0,-0.18333333333333335,0.08333333333333334,1.0,0.0
Qwen3-8B,broad_aggregation,2,20,5,0.0,-0.08333333333333334,0.03333333333333334,1.0,0.0
Qwen3-8B,broad_aggregation,3,20,5,-0.05,0.45,0.2166666666666667,1.0,0.0
Qwen3-8B,broad_aggregation,4,20,5,-0.03333333333333334,-0.03333333333333334,0.11666666666666667,1.0,1.0
Qwen3-8B,broad_aggregation,5,20,5,-0.03333333333333334,0.30000000000000004,0.16666666666666669,1.0,0.6666666666666666
Qwen3-8B,broad_aggregation,6,20,5,-0.01666666666666667,-0.049999999999999975,0.01666666666666669,1.0,0.0
Qwen3-8B,broad_aggregation,7,20,5,-0.05,0.5333333333333334,0.2166666666666667,1.0,0.3333333333333333
Qwen3-8B,broad_aggregation,8,20,5,-0.05,0.5833333333333334,0.18333333333333335,1.0,0.3333333333333333
Qwen3-8B,broad_aggregation,9,20,5,-0.01666666666666667,0.2666666666666667,0.15,1.0,1.0
Qwen3-8B,broad_aggregation,10,20,5,0.03333333333333333,-0.25,0.16666666666666669,1.0,0.6666666666666666
Qwen3-8B,broad_aggregation,11,20,5,0.06666666666666667,-0.7666666666666666,0.4166666666666667,1.0,1.0
Qwen3-8B,broad_aggregation,12,20,5,0.06666666666666667,-0.31666666666666665,0.4,1.0,0.6666666666666666
Qwen3-8B,broad_aggregation,13,20,5,0.18333333333333332,-0.7833333333333333,0.6166666666666667,1.0,0.3333333333333333
Qwen3-8B,broad_aggregation,14,20,5,0.11666666666666665,-0.45,0.4,1.0,1.0
Qwen3-8B,broad_aggregation,15,20,5,0.05,0.05,0.20000000000000004,1.0,2.3333333333333335
Qwen3-8B,broad_aggregation,16,20,5,0.2,-0.65,0.6666666666666667,1.0,1.6666666666666667
Qwen3-8B,broad_aggregation,17,20,5,0.13333333333333333,-0.6166666666666667,0.5833333333333334,1.0,1.6666666666666667
Qwen3-8B,broad_aggregation,18,20,5,0.2333333333333333,-1.1333333333333333,0.7,1.0,1.3333333333333333
Qwen3-8B,broad_aggregation,19,20,5,0.1,-0.25000000000000006,0.3666666666666667,1.0,3.3333333333333335
Qwen3-8B,broad_aggregation,20,20,5,0.2333333333333333,-0.7833333333333334,0.7,1.0,2.3333333333333335
Qwen3-8B,broad_aggregation,21,20,5,0.13333333333333336,-0.4666666666666667,0.7333333333333334,1.0,1.3333333333333333
Qwen3-8B,broad_aggregation,22,20,5,0.13333333333333336,-0.4166666666666667,0.55,1.0,4.666666666666667
Qwen3-8B,broad_aggregation,23,20,5,0.21666666666666665,-0.8,0.7833333333333334,1.0,5.333333333333333
Qwen3-8B,broad_aggregation,24,20,5,0.2,-0.8833333333333334,0.7333333333333334,1.0,3.3333333333333335
Qwen3-8B,broad_aggregation,25,20,5,0.2333333333333333,-0.9666666666666666,0.7833333333333334,1.0,3.3333333333333335
Qwen3-8B,broad_aggregation,26,20,5,0.15,-0.7166666666666667,0.5166666666666667,1.0,4.666666666666667
Qwen3-8B,broad_aggregation,27,20,5,0.18333333333333332,-0.6833333333333333,0.5833333333333334,1.0,3.6666666666666665
Qwen3-8B,broad_aggregation,28,20,5,0.21666666666666665,-0.7666666666666667,0.6333333333333334,1.0,3.3333333333333335
Qwen3-8B,broad_aggregation,29,20,5,0.2333333333333333,-0.9833333333333332,0.6833333333333333,1.0,4.0
Qwen3-8B,broad_aggregation,30,20,5,0.18333333333333335,-0.5666666666666667,0.7166666666666667,1.0,6.333333333333333
Qwen3-8B,broad_aggregation,31,20,5,0.16666666666666669,-0.6666666666666667,0.7833333333333334,1.0,4.666666666666667
Qwen3-8B,broad_aggregation,32,20,5,0.2333333333333333,-1.15,0.6833333333333333,1.0,3.3333333333333335
Qwen3-8B,first_locator,1,20,5,0.0,0.03333333333333333,-0.03333333333333333,1.0,0.0
Qwen3-8B,first_locator,2,20,5,0.0,-0.03333333333333334,0.03333333333333334,1.0,0.3333333333333333
Qwen3-8B,first_locator,3,20,5,0.0,-0.11666666666666667,0.06666666666666668,1.0,0.3333333333333333
Qwen3-8B,first_locator,4,20,5,0.0,-0.1,0.03333333333333334,1.0,0.0
Qwen3-8B,first_locator,5,20,5,0.0,-0.08333333333333334,2.7755575615628915e-18,1.0,0.0
Qwen3-8B,first_locator,6,20,5,0.0,-0.06666666666666668,0.01666666666666667,1.0,0.0
Qwen3-8B,first_locator,7,20,5,-0.016666666666666666,-0.06666666666666668,0.03333333333333334,1.0,0.3333333333333333
Qwen3-8B,first_locator,8,20,5,0.0,0.01666666666666666,-0.033333333333333326,1.0,0.0
Qwen3-8B,first_locator,9,20,5,-0.016666666666666666,-0.03333333333333334,5.551115123125783e-18,1.0,0.6666666666666666
Qwen3-8B,first_locator,10,20,5,0.0,-0.13333333333333333,-0.01666666666666666,1.0,0.6666666666666666
Qwen3-8B,first_locator,11,20,5,0.0,-0.05000000000000001,0.016666666666666677,1.0,0.3333333333333333
Qwen3-8B,first_locator,12,20,5,-0.016666666666666666,-0.11666666666666667,0.05000000000000001,1.0,1.3333333333333333
Qwen3-8B,first_locator,13,20,5,0.0,0.06666666666666665,-0.049999999999999996,1.0,1.0
Qwen3-8B,first_locator,14,20,5,0.0,-0.050000000000000024,0.016666666666666684,1.0,1.6666666666666667
Qwen3-8B,first_locator,15,20,5,0.0,-0.16666666666666669,0.03333333333333335,1.0,1.0
Qwen3-8B,first_locator,16,20,5,0.0,-0.08333333333333334,0.05,1.0,1.0
Qwen3-8B,first_locator,17,20,5,0.0,-1.6653345369377347e-17,1.1102230246251566e-17,1.0,1.6666666666666667
Qwen3-8B,first_locator,18,20,5,-0.016666666666666666,-0.033333333333333354,0.016666666666666684,1.0,1.3333333333333333
Qwen3-8B,first_locator,19,20,5,0.0,-0.2666666666666667,0.16666666666666669,1.0,1.0
Qwen3-8B,first_locator,20,20,5,-0.016666666666666666,-0.3166666666666667,0.18333333333333335,1.0,2.3333333333333335
Qwen3-8B,first_locator,21,20,5,0.0,-0.2,0.1166666666666667,1.0,2.3333333333333335
Qwen3-8B,first_locator,22,20,5,0.0,0.03333333333333331,1.6653345369377347e-17,1.0,1.0
Qwen3-8B,first_locator,23,20,5,-0.016666666666666666,-0.13333333333333336,0.13333333333333336,1.0,2.0
Qwen3-8B,first_locator,24,20,5,0.0,-0.1,0.016666666666666677,1.0,4.333333333333333
Qwen3-8B,first_locator,25,20,5,0.0,-0.1,0.03333333333333334,1.0,2.3333333333333335
Qwen3-8B,first_locator,26,20,5,0.0,-0.1,0.05000000000000001,1.0,2.3333333333333335
Qwen3-8B,first_locator,27,20,5,-0.016666666666666666,0.11666666666666665,-0.09999999999999999,1.0,2.3333333333333335
Qwen3-8B,first_locator,28,20,5,-0.016666666666666666,0.06666666666666665,-0.08333333333333333,1.0,3.3333333333333335
Qwen3-8B,first_locator,29,20,5,0.0,-0.08333333333333334,8.326672684688674e-18,1.0,2.6666666666666665
Qwen3-8B,first_locator,30,20,5,-0.016666666666666666,-0.050000000000000024,-0.01666666666666665,1.0,2.3333333333333335
Qwen3-8B,first_locator,31,20,5,0.0,-0.25,0.08333333333333334,1.0,4.0
Qwen3-8B,first_locator,32,20,5,0.0,-0.10000000000000002,-0.016666666666666653,1.0,2.3333333333333335
Gemma4-E4B,broad_aggregation,1,20,5,0.0,1.15,0.7166666666666667,1.0,0.0
Gemma4-E4B,broad_aggregation,2,20,5,-0.016666666666666666,1.1833333333333333,0.5166666666666667,1.0,0.3333333333333333
Gemma4-E4B,broad_aggregation,3,20,5,0.0,0.5833333333333334,0.30000000000000004,1.0,1.3333333333333333
Gemma4-E4B,broad_aggregation,4,20,5,-0.016666666666666666,0.75,0.4,1.0,1.3333333333333333
Gemma4-E4B,broad_aggregation,5,20,5,-0.06666666666666667,0.8833333333333334,0.10000000000000002,1.0,2.6666666666666665
Gemma4-E4B,broad_aggregation,6,20,5,-0.016666666666666666,4.12962962962963,0.5,0.9,1.3333333333333333
Gemma4-E4B,broad_aggregation,7,20,5,0.0,3.4629629629629632,0.20370370370370372,0.9,2.0
Gemma4-E4B,broad_aggregation,8,20,5,0.0,3.1578947368421053,0.2631578947368421,0.95,3.0
Gemma4-E4B,broad_aggregation,9,20,5,0.0,1.9298245614035086,0.10526315789473684,0.95,4.333333333333333
Gemma4-E4B,broad_aggregation,10,20,5,0.0,1.55,0.4,1.0,5.0
Gemma4-E4B,broad_aggregation,11,20,5,0.0,0.175,0.30833333333333335,1.0,4.666666666666667
Gemma4-E4B,broad_aggregation,12,20,5,0.0,0.9833333333333334,0.23333333333333334,1.0,8.0
Gemma4-E4B,broad_aggregation,13,20,5,0.0,1.4833333333333334,0.4666666666666667,1.0,6.666666666666667
Gemma4-E4B,broad_aggregation,14,20,5,0.0,0.9333333333333333,0.2166666666666667,1.0,8.666666666666666
Gemma4-E4B,broad_aggregation,15,20,5,0.0,1.5833333333333335,0.5833333333333334,1.0,9.0
Gemma4-E4B,broad_aggregation,16,20,5,0.0,1.0166666666666668,0.33333333333333337,1.0,11.0
Gemma4-E4B,broad_aggregation,17,20,5,0.0,0.7,0.08333333333333334,1.0,12.0
Gemma4-E4B,broad_aggregation,18,20,5,0.0,0.7833333333333334,0.18333333333333338,1.0,13.333333333333334
Gemma4-E4B,broad_aggregation,19,20,5,-0.06666666666666667,0.175,0.2416666666666667,1.0,13.666666666666666
Gemma4-E4B,broad_aggregation,20,20,5,0.0,0.4333333333333334,0.2833333333333334,1.0,14.0
Gemma4-E4B,broad_aggregation,21,20,5,-0.016666666666666666,0.35000000000000003,0.2166666666666667,1.0,14.333333333333334
Gemma4-E4B,broad_aggregation,22,20,5,0.0,0.7666666666666667,0.35000000000000003,1.0,15.333333333333334
Gemma4-E4B,broad_aggregation,23,20,5,-0.05,0.4833333333333333,0.3166666666666667,1.0,15.666666666666666
Gemma4-E4B,broad_aggregation,24,20,5,-0.03333333333333333,-0.45,1.1102230246251566e-17,1.0,16.666666666666668
Gemma4-E4B,broad_aggregation,25,20,5,-0.016666666666666666,0.4666666666666667,0.15000000000000002,1.0,16.333333333333332
Gemma4-E4B,broad_aggregation,26,20,5,0.0,-0.3,0.03333333333333334,1.0,16.666666666666668
Gemma4-E4B,broad_aggregation,27,20,5,-0.05,1.0666666666666667,0.15000000000000002,1.0,17.333333333333332
Gemma4-E4B,broad_aggregation,28,20,5,-0.06666666666666667,1.0166666666666666,0.20000000000000004,1.0,19.666666666666668
Gemma4-E4B,broad_aggregation,29,20,5,-0.03333333333333333,-0.1333333333333334,0.025000000000000012,1.0,20.333333333333332
Gemma4-E4B,broad_aggregation,30,20,5,-0.1,1.5,0.2166666666666667,1.0,20.0
Gemma4-E4B,broad_aggregation,31,20,5,-0.08333333333333333,0.9833333333333334,1.1102230246251566e-17,1.0,20.666666666666668
Gemma4-E4B,broad_aggregation,32,20,5,-0.09999999999999999,1.45,0.4166666666666667,1.0,23.0
Gemma4-E4B,first_locator,1,20,5,0.0,-0.05,-0.01666666666666666,1.0,0.3333333333333333
Gemma4-E4B,first_locator,2,20,5,0.0,-0.11666666666666667,-0.016666666666666656,1.0,0.6666666666666666
Gemma4-E4B,first_locator,3,20,5,0.0,-0.01666666666666668,-0.04999999999999998,1.0,1.3333333333333333
Gemma4-E4B,first_locator,4,20,5,0.0,0.08333333333333333,-0.08333333333333333,1.0,1.3333333333333333
Gemma4-E4B,first_locator,5,20,5,0.0,0.18333333333333332,-0.21666666666666665,1.0,2.0
Gemma4-E4B,first_locator,6,20,5,-0.08333333333333333,0.06666666666666664,-0.049999999999999975,1.0,2.6666666666666665
Gemma4-E4B,first_locator,7,20,5,0.0,-0.2,0.16666666666666669,1.0,3.0
Gemma4-E4B,first_locator,8,20,5,-0.016666666666666666,-0.016666666666666684,0.016666666666666684,1.0,4.0
Gemma4-E4B,first_locator,9,20,5,-0.06666666666666667,0.2833333333333333,-0.2333333333333333,1.0,4.666666666666667
Gemma4-E4B,first_locator,10,20,5,-0.06666666666666667,-2.4980018054066023e-17,0.05000000000000003,1.0,5.0
Gemma4-E4B,first_locator,11,20,5,-0.06666666666666667,0.15,-0.11666666666666665,1.0,5.333333333333333
Gemma4-E4B,first_locator,12,20,5,-0.06666666666666667,0.08333333333333331,-0.049999999999999975,1.0,6.0
Gemma4-E4B,first_locator,13,20,5,-0.08333333333333333,0.4666666666666666,-0.4166666666666667,1.0,8.0
Gemma4-E4B,first_locator,14,20,5,0.0,0.016666666666666656,-0.016666666666666656,1.0,9.666666666666666
Gemma4-E4B,first_locator,15,20,5,-0.11666666666666665,0.55,-0.5333333333333333,1.0,9.0
Gemma4-E4B,first_locator,16,20,5,-0.016666666666666666,-0.41666666666666663,-0.4333333333333333,1.0,8.666666666666666
Gemma4-E4B,first_locator,17,20,5,-0.13333333333333333,0.01666666666666666,-0.26666666666666666,1.0,9.333333333333334
Gemma4-E4B,first_locator,18,20,5,-0.05,-0.33333333333333337,-0.3166666666666666,1.0,11.333333333333334
Gemma4-E4B,first_locator,19,20,5,-0.016666666666666666,-0.7333333333333333,-0.14999999999999997,1.0,12.333333333333334
Gemma4-E4B,first_locator,20,20,5,-0.11666666666666667,0.03333333333333332,-0.21666666666666665,1.0,12.333333333333334
Gemma4-E4B,first_locator,21,20,5,-0.11666666666666665,-0.4166666666666667,-0.4833333333333333,1.0,11.666666666666666
Gemma4-E4B,first_locator,22,20,5,-0.15,-0.08333333333333334,-0.016666666666666653,1.0,12.666666666666666
Gemma4-E4B,first_locator,23,20,5,-0.04999999999999998,-0.45,-0.04999999999999997,1.0,15.666666666666666
Gemma4-E4B,first_locator,24,20,5,-0.08333333333333333,-1.3416666666666668,-0.125,1.0,16.666666666666668
Gemma4-E4B,first_locator,25,20,5,0.05,-1.3333333333333333,-0.06666666666666665,1.0,16.333333333333332
Gemma4-E4B,first_locator,26,20,5,0.1,-0.8833333333333334,0.4166666666666667,1.0,18.333333333333332
Gemma4-E4B,first_locator,27,20,5,0.3,-1.4666666666666666,0.2166666666666667,1.0,18.666666666666668
Gemma4-E4B,first_locator,28,20,5,0.3,-0.9166666666666667,0.3666666666666667,1.0,22.0
Gemma4-E4B,first_locator,29,20,5,0.23333333333333334,-0.65,0.050000000000000024,1.0,23.0
Gemma4-E4B,first_locator,30,20,5,0.3666666666666667,-1.55,0.3666666666666667,1.0,23.0
Gemma4-E4B,first_locator,31,20,5,0.3666666666666667,-1.05,0.3666666666666667,1.0,24.333333333333332
Gemma4-E4B,first_locator,32,20,5,0.3666666666666667,-1.0666666666666669,0.2,1.0,26.666666666666668
