model_label,head_bank,top_n,analysis_population,selection_status,examples,seed_clusters,random_replicates_min,ranked_mean_signed_count_shift,random_mean_signed_count_shift,ranked_minus_random_signed_count_shift,ranked_mean_absolute_count_shift,random_mean_absolute_count_shift,ranked_minus_random_absolute_count_shift,ranked_correct_to_wrong_rate,random_correct_to_wrong_rate,ranked_minus_random_correct_to_wrong,ranked_minus_random_accuracy_delta,ranked_minus_random_absolute_error_delta,ranked_minus_random_prediction_changed,ranked_valid_rate,random_valid_rate,random_overlap_mean,primary_metric,primary_effect,primary_effect_ci95_low,primary_effect_ci95_high,primary_ci95_excludes_zero_positive,effect_seed_clusters,bootstrap_repetitions
Qwen3-8B,broad_aggregation,1,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.02,0.0,-0.02,0.02,0.0,0.02,nan,nan,nan,-0.02,0.02,0.02,1.0,1.0,0.0,ranked_minus_random_absolute_count_shift,0.02,0.0,0.06,False,10,10000
Qwen3-8B,broad_aggregation,2,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.1,0.006666666666666666,-0.10666666666666666,0.14,0.006666666666666666,0.13333333333333333,nan,nan,nan,-0.006666666666666666,0.026666666666666665,0.09333333333333334,1.0,1.0,0.0,ranked_minus_random_absolute_count_shift,0.13333333333333333,0.013333333333333334,0.3,True,10,10000
Qwen3-8B,broad_aggregation,3,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.1,0.006666666666666666,-0.10666666666666667,0.14,0.02,0.12,nan,nan,nan,-0.04666666666666667,0.06666666666666667,0.08,1.0,1.0,0.0,ranked_minus_random_absolute_count_shift,0.12,-0.006666666666666663,0.2866666666666667,False,10,10000
Qwen3-8B,broad_aggregation,4,all_examples_signed,discovery_only_unfrozen,50,10,3,0.04,-0.006666666666666666,0.04666666666666666,0.12,0.02,0.10000000000000002,nan,nan,nan,-0.03333333333333333,0.03333333333333333,0.10000000000000002,1.0,1.0,1.0,ranked_minus_random_absolute_count_shift,0.10000000000000002,0.006666666666666669,0.20666666666666667,True,10,10000
Qwen3-8B,broad_aggregation,5,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.08,-0.04,-0.04,0.12,0.09333333333333332,0.02666666666666668,nan,nan,nan,0.06,-0.06666666666666667,0.020000000000000014,1.0,1.0,0.6666666666666665,ranked_minus_random_absolute_count_shift,0.02666666666666668,-0.039999999999999994,0.08666666666666666,False,10,10000
Qwen3-8B,broad_aggregation,6,all_examples_signed,discovery_only_unfrozen,50,10,3,-0.06,-0.06666666666666667,0.0066666666666666645,0.1,0.14666666666666667,-0.04666666666666666,nan,nan,nan,0.06,-0.06,-0.05999999999999999,1.0,1.0,0.0,ranked_minus_random_absolute_count_shift,-0.04666666666666666,-0.14666666666666667,0.06000000000000002,False,10,10000
Qwen3-8B,broad_aggregation,7,all_examples_signed,discovery_only_unfrozen,50,10,3,0.0,-0.08666666666666668,0.08666666666666666,0.08,0.12666666666666665,-0.04666666666666666,nan,nan,nan,0.0066666666666666645,-0.019999999999999997,-0.026666666666666658,1.0,1.0,0.33333333333333326,ranked_minus_random_absolute_count_shift,-0.04666666666666666,-0.14,0.03333333333333335,False,10,10000
Qwen3-8B,broad_aggregation,8,all_examples_signed,discovery_only_unfrozen,50,10,3,0.0,0.019999999999999997,-0.019999999999999997,0.08,0.12666666666666668,-0.04666666666666666,nan,nan,nan,-0.006666666666666667,-0.006666666666666663,-0.039999999999999994,1.0,1.0,0.33333333333333326,ranked_minus_random_absolute_count_shift,-0.04666666666666666,-0.12,0.020000000000000007,False,10,10000
Qwen3-8B,broad_aggregation,9,all_examples_signed,discovery_only_unfrozen,50,10,3,0.14,-0.07333333333333333,0.21333333333333335,0.22,0.09999999999999998,0.12,nan,nan,nan,-0.13333333333333333,0.17333333333333337,0.08666666666666668,1.0,1.0,1.0,ranked_minus_random_absolute_count_shift,0.12,-0.026666666666666658,0.26666666666666666,False,10,10000
Qwen3-8B,broad_aggregation,10,all_examples_signed,discovery_only_unfrozen,50,10,3,0.22,-0.12,0.3400000000000001,0.26,0.13333333333333333,0.12666666666666665,nan,nan,nan,-0.15333333333333335,0.20666666666666667,0.08666666666666668,1.0,1.0,0.6666666666666665,ranked_minus_random_absolute_count_shift,0.12666666666666665,-0.08,0.34,False,10,10000
Qwen3-8B,broad_aggregation,11,all_examples_signed,discovery_only_unfrozen,50,10,3,0.28,-0.14,0.4200000000000001,0.36,0.16666666666666669,0.19333333333333336,nan,nan,nan,-0.12,0.18,0.12666666666666668,1.0,1.0,1.0,ranked_minus_random_absolute_count_shift,0.19333333333333336,0.00666666666666667,0.3866666666666667,True,10,10000
Qwen3-8B,broad_aggregation,12,all_examples_signed,discovery_only_unfrozen,50,10,3,0.26,-0.006666666666666663,0.26666666666666666,0.34,0.14,0.2,nan,nan,nan,-0.16666666666666663,0.21333333333333332,0.13333333333333333,1.0,1.0,0.6666666666666665,ranked_minus_random_absolute_count_shift,0.2,0.05333333333333334,0.36,True,10,10000
Qwen3-8B,broad_aggregation,13,all_examples_signed,discovery_only_unfrozen,50,10,3,0.38,-0.11333333333333333,0.49333333333333335,0.46,0.12666666666666665,0.33333333333333337,nan,nan,nan,-0.15333333333333335,0.26666666666666666,0.2,1.0,1.0,0.33333333333333326,ranked_minus_random_absolute_count_shift,0.33333333333333337,0.14666666666666667,0.54,True,10,10000
Qwen3-8B,broad_aggregation,14,all_examples_signed,discovery_only_unfrozen,50,10,3,0.38,0.07333333333333332,0.3066666666666667,0.42,0.12666666666666665,0.2933333333333334,nan,nan,nan,-0.13333333333333336,0.24,0.16000000000000003,1.0,1.0,1.0,ranked_minus_random_absolute_count_shift,0.2933333333333334,0.12666666666666668,0.48666666666666664,True,10,10000
Qwen3-8B,broad_aggregation,15,all_examples_signed,discovery_only_unfrozen,50,10,3,0.36,0.1,0.26,0.44,0.15333333333333332,0.28666666666666674,nan,nan,nan,-0.13333333333333333,0.24666666666666667,0.16,1.0,1.0,2.3333333333333335,ranked_minus_random_absolute_count_shift,0.28666666666666674,0.10000000000000003,0.4866666666666668,True,10,10000
Qwen3-8B,broad_aggregation,16,all_examples_signed,discovery_only_unfrozen,50,10,3,0.68,0.05333333333333333,0.6266666666666666,0.76,0.13333333333333333,0.6266666666666666,nan,nan,nan,-0.24,0.56,0.30666666666666664,1.0,1.0,1.666666666666667,ranked_minus_random_absolute_count_shift,0.6266666666666666,0.34,0.9266666666666665,True,10,10000
Qwen3-8B,broad_aggregation,17,all_examples_signed,discovery_only_unfrozen,50,10,3,0.54,-0.013333333333333329,0.5533333333333333,0.58,0.13333333333333333,0.4466666666666667,nan,nan,nan,-0.22666666666666666,0.40666666666666673,0.2466666666666667,1.0,1.0,1.666666666666667,ranked_minus_random_absolute_count_shift,0.4466666666666667,0.22000000000000003,0.6466666666666667,True,10,10000
