model_label,top_n,rank,layer,head,head_label
Qwen3-8B,1,1,27,18,L27H18
Qwen3-8B,2,1,27,18,L27H18
Qwen3-8B,2,2,28,19,L28H19
Qwen3-8B,4,1,27,18,L27H18
Qwen3-8B,4,2,28,19,L28H19
Qwen3-8B,4,3,23,29,L23H29
Qwen3-8B,4,4,23,13,L23H13
Qwen3-8B,8,1,27,18,L27H18
Qwen3-8B,8,2,28,19,L28H19
Qwen3-8B,8,3,23,29,L23H29
Qwen3-8B,8,4,23,13,L23H13
Qwen3-8B,8,5,23,28,L23H28
Qwen3-8B,8,6,24,16,L24H16
Qwen3-8B,8,7,23,12,L23H12
Qwen3-8B,8,8,26,26,L26H26
Qwen3-8B,16,1,27,18,L27H18
Qwen3-8B,16,2,28,19,L28H19
Qwen3-8B,16,3,23,29,L23H29
Qwen3-8B,16,4,23,13,L23H13
Qwen3-8B,16,5,23,28,L23H28
Qwen3-8B,16,6,24,16,L24H16
Qwen3-8B,16,7,23,12,L23H12
Qwen3-8B,16,8,26,26,L26H26
Qwen3-8B,16,9,22,5,L22H5
Qwen3-8B,16,10,21,11,L21H11
Qwen3-8B,16,11,24,13,L24H13
Qwen3-8B,16,12,23,31,L23H31
Qwen3-8B,16,13,21,25,L21H25
Qwen3-8B,16,14,21,23,L21H23
Qwen3-8B,16,15,21,16,L21H16
Qwen3-8B,16,16,21,18,L21H18
Qwen3-8B,32,1,27,18,L27H18
Qwen3-8B,32,2,28,19,L28H19
Qwen3-8B,32,3,23,29,L23H29
Qwen3-8B,32,4,23,13,L23H13
Qwen3-8B,32,5,23,28,L23H28
Qwen3-8B,32,6,24,16,L24H16
Qwen3-8B,32,7,23,12,L23H12
Qwen3-8B,32,8,26,26,L26H26
Qwen3-8B,32,9,22,5,L22H5
Qwen3-8B,32,10,21,11,L21H11
Qwen3-8B,32,11,24,13,L24H13
Qwen3-8B,32,12,23,31,L23H31
Qwen3-8B,32,13,21,25,L21H25
Qwen3-8B,32,14,21,23,L21H23
Qwen3-8B,32,15,21,16,L21H16
Qwen3-8B,32,16,21,18,L21H18
Qwen3-8B,32,17,28,16,L28H16
Qwen3-8B,32,18,23,30,L23H30
Qwen3-8B,32,19,26,20,L26H20
Qwen3-8B,32,20,21,27,L21H27
Qwen3-8B,32,21,28,17,L28H17
Qwen3-8B,32,22,9,19,L9H19
Qwen3-8B,32,23,21,19,L21H19
Qwen3-8B,32,24,26,21,L26H21
Qwen3-8B,32,25,27,16,L27H16
Qwen3-8B,32,26,34,28,L34H28
Qwen3-8B,32,27,24,14,L24H14
Qwen3-8B,32,28,23,10,L23H10
Qwen3-8B,32,29,24,31,L24H31
Qwen3-8B,32,30,28,18,L28H18
Qwen3-8B,32,31,21,31,L21H31
Qwen3-8B,32,32,24,29,L24H29
Gemma4-E4B,1,1,29,4,L29H4
Gemma4-E4B,2,1,29,4,L29H4
Gemma4-E4B,2,2,35,2,L35H2
Gemma4-E4B,4,1,29,4,L29H4
Gemma4-E4B,4,2,35,2,L35H2
Gemma4-E4B,4,3,35,7,L35H7
Gemma4-E4B,4,4,35,1,L35H1
Gemma4-E4B,8,1,29,4,L29H4
Gemma4-E4B,8,2,35,2,L35H2
Gemma4-E4B,8,3,35,7,L35H7
Gemma4-E4B,8,4,35,1,L35H1
Gemma4-E4B,8,5,35,3,L35H3
Gemma4-E4B,8,6,29,2,L29H2
Gemma4-E4B,8,7,41,1,L41H1
Gemma4-E4B,8,8,29,0,L29H0
Gemma4-E4B,16,1,29,4,L29H4
Gemma4-E4B,16,2,35,2,L35H2
Gemma4-E4B,16,3,35,7,L35H7
Gemma4-E4B,16,4,35,1,L35H1
Gemma4-E4B,16,5,35,3,L35H3
Gemma4-E4B,16,6,29,2,L29H2
Gemma4-E4B,16,7,41,1,L41H1
Gemma4-E4B,16,8,29,0,L29H0
Gemma4-E4B,16,9,35,0,L35H0
Gemma4-E4B,16,10,29,6,L29H6
Gemma4-E4B,16,11,41,4,L41H4
Gemma4-E4B,16,12,35,6,L35H6
Gemma4-E4B,16,13,41,2,L41H2
Gemma4-E4B,16,14,41,5,L41H5
Gemma4-E4B,16,15,41,0,L41H0
Gemma4-E4B,16,16,41,3,L41H3
Gemma4-E4B,32,1,29,4,L29H4
Gemma4-E4B,32,2,35,2,L35H2
Gemma4-E4B,32,3,35,7,L35H7
Gemma4-E4B,32,4,35,1,L35H1
Gemma4-E4B,32,5,35,3,L35H3
Gemma4-E4B,32,6,29,2,L29H2
Gemma4-E4B,32,7,41,1,L41H1
Gemma4-E4B,32,8,29,0,L29H0
Gemma4-E4B,32,9,35,0,L35H0
Gemma4-E4B,32,10,29,6,L29H6
Gemma4-E4B,32,11,41,4,L41H4
Gemma4-E4B,32,12,35,6,L35H6
Gemma4-E4B,32,13,41,2,L41H2
Gemma4-E4B,32,14,41,5,L41H5
Gemma4-E4B,32,15,41,0,L41H0
Gemma4-E4B,32,16,41,3,L41H3
Gemma4-E4B,32,17,41,7,L41H7
Gemma4-E4B,32,18,17,3,L17H3
Gemma4-E4B,32,19,5,2,L5H2
Gemma4-E4B,32,20,23,2,L23H2
Gemma4-E4B,32,21,29,1,L29H1
Gemma4-E4B,32,22,29,7,L29H7
Gemma4-E4B,32,23,5,3,L5H3
Gemma4-E4B,32,24,23,1,L23H1
Gemma4-E4B,32,25,5,1,L5H1
Gemma4-E4B,32,26,23,5,L23H5
Gemma4-E4B,32,27,17,0,L17H0
Gemma4-E4B,32,28,29,5,L29H5
Gemma4-E4B,32,29,17,2,L17H2
Gemma4-E4B,32,30,17,7,L17H7
Gemma4-E4B,32,31,23,7,L23H7
Gemma4-E4B,32,32,17,4,L17H4
