model_label,top_n,analysis_population,primary_metric,primary_effect,ci95_low,ci95_high,pooled_eligible_example_effect,equal_seed_minus_pooled_effect,exact_sign_flip_p,seed_clusters,positive_seed_fraction,nonnegative_seed_fraction,holm_p_within_primary_endpoint_12_tests,significant_raw_0_05,significant_holm_0_05
Gemma4-E4B,1,all_examples_signed,ranked_minus_random_absolute_count_shift,0.25666666666666665,0.1866666666666667,0.33333333333333337,0.2566666666666666,5.551115123125783e-17,7.62939453125e-06,20,0.9,1.0,6.866455078125e-05,True,True
Gemma4-E4B,2,all_examples_signed,ranked_minus_random_absolute_count_shift,0.17,0.10333333333333335,0.24333333333333335,0.17,0.0,0.0001220703125,20,0.75,0.95,0.0008544921875,True,True
Gemma4-E4B,4,all_examples_signed,ranked_minus_random_absolute_count_shift,0.08666666666666667,0.03333333333333335,0.13999999999999996,0.0866666666666666,6.938893903907228e-17,0.0083465576171875,20,0.7,0.85,0.03338623046875,True,True
Gemma4-E4B,8,all_examples_signed,ranked_minus_random_absolute_count_shift,0.7666666666666666,0.6066666666666667,0.9500833333333323,0.7666666666666667,-1.1102230246251565e-16,1.9073486328125e-06,20,1.0,1.0,2.288818359375e-05,True,True
Gemma4-E4B,16,all_examples_signed,ranked_minus_random_absolute_count_shift,0.2866666666666667,0.23666666666666664,0.33999999999999997,0.2866666666666667,0.0,1.9073486328125e-06,20,1.0,1.0,2.288818359375e-05,True,True
Gemma4-E4B,32,all_examples_signed,ranked_minus_random_absolute_count_shift,0.24333333333333335,0.10666666666666669,0.37,0.2433333333333333,5.551115123125783e-17,0.0037384033203125,20,0.7,0.75,0.022430419921875,True,True
Qwen3-8B,1,all_examples_signed,ranked_minus_random_absolute_count_shift,0.02,0.0,0.05,0.02,0.0,0.5,20,0.1,1.0,0.5,False,False
Qwen3-8B,2,all_examples_signed,ranked_minus_random_absolute_count_shift,0.04,0.01,0.07999999999999999,0.04,0.0,0.125,20,0.2,1.0,0.375,False,False
Qwen3-8B,4,all_examples_signed,ranked_minus_random_absolute_count_shift,0.08333333333333334,0.03666666666666667,0.13333333333333336,0.0833333333333333,4.163336342344337e-17,0.00390625,20,0.45,0.95,0.022430419921875,True,True
Qwen3-8B,8,all_examples_signed,ranked_minus_random_absolute_count_shift,0.040000000000000015,-0.013333333333333327,0.09666666666666668,0.04,1.3877787807814457e-17,0.2213592529296875,20,0.5,0.65,0.442718505859375,False,False
Qwen3-8B,16,all_examples_signed,ranked_minus_random_absolute_count_shift,0.5199999999999999,0.28666666666666674,0.7900833333333321,0.52,-1.1102230246251565e-16,2.288818359375e-05,20,0.85,0.95,0.00018310546875,True,True
Qwen3-8B,32,all_examples_signed,ranked_minus_random_absolute_count_shift,1.6233333333333335,1.1166666666666667,2.1366666666666667,1.6233333333333335,0.0,1.9073486328125e-06,20,1.0,1.0,2.288818359375e-05,True,True
Gemma4-E4B,1,clean_correct_only,ranked_minus_random_correct_to_wrong,0.12777777777777777,0.05,0.2125,0.1481481481481481,-0.020370370370370344,0.0078125,20,0.4,0.95,0.0625,True,False
Gemma4-E4B,2,clean_correct_only,ranked_minus_random_correct_to_wrong,0.030555555555555565,-0.08055555555555556,0.13055555555555556,0.0793650793650793,-0.04880952380952374,0.609375,20,0.3,0.85,1.0,False,False
Gemma4-E4B,4,clean_correct_only,ranked_minus_random_correct_to_wrong,0.045833333333333344,-0.004166666666666663,0.10138888888888889,0.0582010582010582,-0.012367724867724854,0.125,20,0.3,0.85,0.625,False,False
Gemma4-E4B,8,clean_correct_only,ranked_minus_random_correct_to_wrong,0.1986111111111111,0.10416666666666666,0.27777777777777773,0.2275132275132275,-0.0289021164021164,0.00086212158203125,20,0.8,0.9,0.00775909423828125,True,True
Gemma4-E4B,16,clean_correct_only,ranked_minus_random_correct_to_wrong,0.2027777777777778,0.1513888888888889,0.24861111111111106,0.2169312169312169,-0.014153439153439085,3.0517578125e-05,20,0.8,1.0,0.000335693359375,True,True
Gemma4-E4B,32,clean_correct_only,ranked_minus_random_correct_to_wrong,0.1277777777777778,-0.020833333333333336,0.23888888888888887,0.1746031746031746,-0.0468253968253968,0.07666397094726562,20,0.8,0.85,0.45998382568359375,False,False
Qwen3-8B,1,clean_correct_only,ranked_minus_random_correct_to_wrong,0.0225,0.0,0.057499999999999996,0.0229885057471264,-0.0004885057471263991,0.5,20,0.1,1.0,1.0,False,False
Qwen3-8B,2,clean_correct_only,ranked_minus_random_correct_to_wrong,0.034999999999999996,0.0,0.0725,0.0344827586206896,0.0005172413793103972,0.25,20,0.15,1.0,1.0,False,False
Qwen3-8B,4,clean_correct_only,ranked_minus_random_correct_to_wrong,0.07250000000000001,0.024166666666666666,0.12416666666666669,0.0766283524904214,-0.004128352490421386,0.015625,20,0.35,0.95,0.109375,True,False
Qwen3-8B,8,clean_correct_only,ranked_minus_random_correct_to_wrong,0.030000000000000016,-0.02166666666666666,0.08166666666666668,0.0344827586206896,-0.004482758620689583,0.2958984375,20,0.4,0.75,1.0,False,False
Qwen3-8B,16,clean_correct_only,ranked_minus_random_correct_to_wrong,0.3166666666666667,0.19666666666666668,0.4408333333333333,0.3026819923371647,0.013984674329502012,3.0517578125e-05,20,0.8,0.95,0.000335693359375,True,True
Qwen3-8B,32,clean_correct_only,ranked_minus_random_correct_to_wrong,0.5869444444444445,0.4766527777777778,0.6927847222222223,0.5747126436781609,0.012231800766283607,1.9073486328125e-06,20,1.0,1.0,2.288818359375e-05,True,True
