model_label,family,site,protocol,layer,k,held_out_seeds,evidence_scope,mean_control_adjusted_transport,ci95_low,ci95_high,exact_sign_flip_p,positive_seed_fraction,holm_p
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,0,1,5,held_out_only,0.8666666666666666,0.5333333333333333,1.3333333333333337,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,0,3,5,held_out_only,0.7777777777777777,0.711111111111111,0.8444444444444443,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,0,5,5,held_out_only,0.72,0.6666666666666666,0.7733333333333334,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,1,1,5,held_out_only,0.8333333333333334,0.5,1.2666666666666668,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,1,3,5,held_out_only,0.7999999999999999,0.7777777777777777,0.8444444444444443,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,1,5,5,held_out_only,0.7066666666666667,0.6399999999999999,0.7733333333333334,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,2,1,5,held_out_only,0.8,0.3999999999999999,1.2666666666666668,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,2,3,5,held_out_only,0.7444444444444444,0.6888888888888888,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,2,5,5,held_out_only,0.7066666666666667,0.6399999999999999,0.7733333333333334,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,3,1,5,held_out_only,0.8333333333333333,0.5333333333333333,1.1666666666666667,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,3,3,5,held_out_only,0.7444444444444444,0.6888888888888888,0.8,0.0625,1.0,1.0
