model_label,family,protocol,k,conditions,mean_effect,median_effect,min_effect,max_effect,ci95_excludes_zero,all_held_out_seeds_positive,holm_p_le_0_05
Qwen3-8B,prompt_patching,cumulative_from_layer,1,18,0.8259259259259258,0.8333333333333333,0.7,0.9333333333333332,18,18,0
Qwen3-8B,prompt_patching,cumulative_from_layer,3,23,0.6763285024154588,0.7666666666666666,0.2444444444444444,0.7999999999999999,23,23,0
Qwen3-8B,prompt_patching,cumulative_from_layer,5,22,0.6454545454545454,0.7066666666666667,0.2199999999999999,0.74,22,22,0
Qwen3-8B,prompt_patching,single_layer,1,18,0.8259259259259258,0.8333333333333333,0.7,0.9333333333333332,18,18,0
Qwen3-8B,prompt_patching,single_layer,3,23,0.6705314009661835,0.7444444444444444,0.2222222222222221,0.7888888888888889,23,23,0
Qwen3-8B,prompt_patching,single_layer,5,22,0.6387878787878788,0.7066666666666667,0.2133333333333333,0.7333333333333333,22,22,0
Qwen3-8B,answer_patching,cumulative_from_layer,1,35,0.8657142857142857,0.8666666666666666,0.8333333333333334,0.8666666666666666,35,35,0
Qwen3-8B,answer_patching,cumulative_from_layer,3,36,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,36,36,0
Qwen3-8B,answer_patching,cumulative_from_layer,5,36,0.7192592592592592,0.72,0.6933333333333334,0.72,36,36,0
Qwen3-8B,answer_patching,single_layer,1,12,0.75,0.8083333333333333,0.5333333333333334,0.8666666666666666,12,12,0
Qwen3-8B,answer_patching,single_layer,3,15,0.6725925925925925,0.7777777777777777,0.2166666666666666,0.8111111111111111,15,15,0
Qwen3-8B,answer_patching,single_layer,5,15,0.6444444444444445,0.6933333333333334,0.2899999999999999,0.7466666666666667,15,15,0
Qwen3-8B,steering,multi_layer,1,1,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1,1,0
Qwen3-8B,steering,multi_layer,3,1,0.7,0.7,0.7,0.7,1,1,0
Qwen3-8B,steering,multi_layer,5,1,0.7533333333333333,0.7533333333333333,0.7533333333333333,0.7533333333333333,1,1,0
Qwen3-8B,steering,single_layer,1,12,0.7166666666666667,0.7166666666666667,0.5666666666666667,0.8333333333333334,12,12,0
Qwen3-8B,steering,single_layer,3,15,0.6614814814814814,0.6888888888888889,0.2888888888888888,0.8111111111111111,15,15,0
Qwen3-8B,steering,single_layer,5,15,0.6613333333333333,0.6933333333333334,0.2733333333333333,0.78,15,15,0
Gemma4-E4B,prompt_patching,cumulative_from_layer,1,17,0.696078431372549,0.7,0.5666666666666667,0.7999999999999999,17,17,0
Gemma4-E4B,prompt_patching,cumulative_from_layer,3,17,0.7274509803921568,0.7444444444444444,0.6333333333333333,0.7666666666666666,17,17,0
Gemma4-E4B,prompt_patching,cumulative_from_layer,5,17,0.6658823529411764,0.6733333333333333,0.6,0.6799999999999999,17,17,0
Gemma4-E4B,prompt_patching,single_layer,1,17,0.7058823529411765,0.7333333333333333,0.5666666666666667,0.7666666666666667,17,17,0
Gemma4-E4B,prompt_patching,single_layer,3,17,0.7176470588235294,0.7333333333333333,0.611111111111111,0.7555555555555556,17,17,0
Gemma4-E4B,prompt_patching,single_layer,5,17,0.6643137254901961,0.6799999999999999,0.58,0.6866666666666668,17,17,0
Gemma4-E4B,answer_patching,cumulative_from_layer,1,42,0.7999999999999998,0.7999999999999999,0.7999999999999999,0.7999999999999999,42,42,0
Gemma4-E4B,answer_patching,cumulative_from_layer,3,42,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7333333333333334,42,42,0
Gemma4-E4B,answer_patching,cumulative_from_layer,5,42,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,42,42,0
Gemma4-E4B,answer_patching,single_layer,1,15,0.7266666666666666,0.7,0.5333333333333333,0.7999999999999999,15,15,0
Gemma4-E4B,answer_patching,single_layer,3,18,0.6077160493827161,0.6777777777777778,0.2666666666666667,0.7333333333333334,18,18,0
Gemma4-E4B,answer_patching,single_layer,5,18,0.5468518518518519,0.665,0.19,0.6733333333333332,18,18,0
Gemma4-E4B,steering,multi_layer,1,1,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.4666666666666666,1,1,0
Gemma4-E4B,steering,multi_layer,3,1,0.7,0.7,0.7,0.7,1,1,0
Gemma4-E4B,steering,multi_layer,5,1,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.6733333333333333,1,1,0
Gemma4-E4B,steering,single_layer,1,15,0.6044444444444445,0.5999999999999999,0.4333333333333333,0.7,15,15,0
Gemma4-E4B,steering,single_layer,3,18,0.5925925925925926,0.6888888888888889,0.1777777777777777,0.7222222222222221,18,17,0
Gemma4-E4B,steering,single_layer,5,18,0.56,0.6633333333333333,0.2133333333333333,0.6933333333333335,18,18,0
