model_label,role,layer,algorithm,rows,seeds,count_classes,count_class_count,accuracy,accuracy_ci95_low,accuracy_ci95_high,seed_accuracy_sd,chance_accuracy,balanced_accuracy,count_mae,signed_error,pca_components
Qwen3-8B,prompt_running,0,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.24,0.19333333333333336,0.2866666666666667,0.13025174563659142,0.1,0.24000000000000005,1.59,0.03,32
Qwen3-8B,prompt_running,0,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.20333333333333334,0.16333333333333336,0.24333333333333335,0.11290317283753194,0.1,0.2033333333333333,1.8933333333333333,-0.02666666666666667,32
Qwen3-8B,prompt_running,0,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.25333333333333335,0.21000000000000002,0.2966666666666667,0.11957780134587122,0.1,0.2533333333333333,1.4866666666666666,0.20666666666666667,32
Qwen3-8B,prompt_running,0,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.23666666666666666,0.19666666666666666,0.27666666666666667,0.11591713250937243,0.1,0.23666666666666666,1.8366666666666667,0.11666666666666667,32
Qwen3-8B,prompt_running,0,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.24,0.2033333333333333,0.27666666666666667,0.1037237710925281,0.1,0.24000000000000005,1.7,0.09333333333333334,32
Qwen3-8B,prompt_running,0,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.19,0.15333333333333335,0.22666666666666668,0.10288929437289249,0.1,0.19,2.5533333333333332,-1.0533333333333332,32
Qwen3-8B,prompt_running,1,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.39666666666666667,0.3433333333333334,0.45,0.15196036990935666,0.1,0.39666666666666667,0.93,-0.043333333333333335,32
Qwen3-8B,prompt_running,1,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.34,0.29333333333333333,0.3866666666666667,0.13544307876819286,0.1,0.33999999999999997,1.2033333333333334,-0.08333333333333333,32
Qwen3-8B,prompt_running,1,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.38333333333333336,0.33999999999999997,0.4266666666666667,0.12617266038997932,0.1,0.38333333333333336,1.03,-0.16333333333333333,32
Qwen3-8B,prompt_running,1,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.37333333333333335,0.32,0.43,0.15742175578808126,0.1,0.37333333333333335,1.15,0.03666666666666667,32
Qwen3-8B,prompt_running,1,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.37333333333333335,0.3166666666666667,0.43,0.15959719411009735,0.1,0.37333333333333335,1.0666666666666667,-0.06,32
Qwen3-8B,prompt_running,1,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.29,0.2466666666666667,0.33333333333333337,0.1268993627874548,0.1,0.29000000000000004,1.78,-0.7733333333333333,32
Qwen3-8B,prompt_running,2,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.37,0.3266666666666667,0.4166666666666668,0.13169976304537112,0.1,0.37,1.0033333333333334,0.27,32
Qwen3-8B,prompt_running,2,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.3466666666666667,0.31333333333333335,0.38000000000000006,0.09371024061116426,0.1,0.3466666666666667,1.1766666666666667,0.09,32
Qwen3-8B,prompt_running,2,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.35,0.31333333333333335,0.3866666666666667,0.10422125006694767,0.1,0.35,1.1333333333333333,0.34,32
Qwen3-8B,prompt_running,2,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.35333333333333333,0.32000000000000006,0.3866666666666667,0.09371024061116426,0.1,0.3533333333333334,1.1033333333333333,0.21666666666666667,32
Qwen3-8B,prompt_running,2,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.35333333333333333,0.32333333333333336,0.38333333333333347,0.08995528902176074,0.1,0.3533333333333334,1.1066666666666667,0.22666666666666666,32
Qwen3-8B,prompt_running,2,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.31666666666666665,0.28,0.3566666666666667,0.10854312136382616,0.1,0.31666666666666665,1.6466666666666667,-0.4533333333333333,32
Qwen3-8B,prompt_running,3,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4266666666666667,0.3933333333333335,0.46,0.09444331755018487,0.1,0.42666666666666664,0.8333333333333334,0.18666666666666668,32
Qwen3-8B,prompt_running,3,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.37666666666666665,0.3433333333333334,0.4100000000000001,0.09714309861845773,0.1,0.37666666666666665,1.1033333333333333,0.09,32
Qwen3-8B,prompt_running,3,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.4033333333333333,0.36000000000000004,0.4466666666666667,0.12452207485597395,0.1,0.4033333333333333,0.9333333333333333,0.03333333333333333,32
Qwen3-8B,prompt_running,3,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.37,0.3366666666666668,0.40333333333333343,0.0952311163288627,0.1,0.37,1.0066666666666666,0.18,32
Qwen3-8B,prompt_running,3,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.39666666666666667,0.36333333333333334,0.4333333333333334,0.10333518722845685,0.1,0.3966666666666666,0.9266666666666666,0.1,32
Qwen3-8B,prompt_running,3,knn_k5_cosine,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.34,0.2966666666666667,0.3866666666666667,0.1302517456365914,0.1,0.34,1.5133333333333334,-0.5533333333333333,32
Qwen3-8B,prompt_running,4,logistic_l2,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.43,0.39325000000000004,0.47,0.10875470659652645,0.1,0.43,0.8366666666666667,0.03,32
Qwen3-8B,prompt_running,4,ridge_classifier,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.39666666666666667,0.3633333333333334,0.43000000000000005,0.09643054793328018,0.1,0.3966666666666666,1.0766666666666667,0.11666666666666667,32
Qwen3-8B,prompt_running,4,linear_svm,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.43,0.3866666666666667,0.47666666666666674,0.12905492014562292,0.1,0.43000000000000005,0.8666666666666667,0.08,32
Qwen3-8B,prompt_running,4,nearest_centroid,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.38666666666666666,0.34666666666666673,0.42666666666666675,0.11366415543118709,0.1,0.3866666666666666,0.9533333333333334,0.20666666666666667,32
Qwen3-8B,prompt_running,4,shrinkage_lda,300,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,0.43,0.39333333333333337,0.4666666666666668,0.10875470659652645,0.1,0.43,0.8833333333333333,0.19666666666666666,32
