model_label,rank,layer,head,discovery_prior_span_mass,confirmation_preference_mean,ci95_low,ci95_high,p_value,seed_count,holm_p_within_model
Qwen3-8B,1,13,29,0.9839107974125016,0.9791703581660043,0.9688615511493761,0.9858661551268624,0.001953125,10,0.01953125
Qwen3-8B,2,12,24,0.9538168087108733,0.9398373322859002,0.9073571468562045,0.9579937215099484,0.001953125,10,0.01953125
Qwen3-8B,3,5,13,0.9406719238640653,0.9439925830494849,0.9323341620845985,0.953890208079044,0.001953125,10,0.01953125
Qwen3-8B,4,15,9,0.9232031952777652,0.9166239710756653,0.904221326863641,0.9287415002682595,0.001953125,10,0.01953125
Qwen3-8B,5,11,9,0.8932193949993155,0.9157741832038045,0.8828683651387543,0.9432151767357233,0.001953125,10,0.01953125
Qwen3-8B,6,19,24,0.8902964332735981,0.9040895982381381,0.8788749406585802,0.9247047906625833,0.001953125,10,0.01953125
Qwen3-8B,7,15,11,0.8833360912261605,0.8716564820219542,0.8452691931807329,0.8976800230597431,0.001953125,10,0.01953125
Qwen3-8B,8,7,7,0.8717223654636089,0.8713510497849125,0.8529538808937475,0.8933584943011637,0.001953125,10,0.01953125
Qwen3-8B,9,9,29,0.8560503281075398,0.8737843359870634,0.8584170957933535,0.8890939597334409,0.001953125,10,0.01953125
Qwen3-8B,10,12,20,0.8484783207657347,0.8587565401664234,0.8512385503400491,0.8667936428010943,0.001953125,10,0.01953125
