model_label,rank,layer,head,seed,prior_span_preference
Gemma4-E4B,1,5,5,1254,0.9583073994626627
Gemma4-E4B,1,5,5,1255,0.9588934588158246
Gemma4-E4B,1,5,5,1256,0.9581050182989189
Gemma4-E4B,1,5,5,1257,0.9715741497315598
Gemma4-E4B,1,5,5,1258,0.9625267128651837
Gemma4-E4B,1,5,5,1259,0.9616833100242435
Gemma4-E4B,1,5,5,1260,0.9528225039188136
Gemma4-E4B,1,5,5,1261,0.956993474380299
Gemma4-E4B,1,5,5,1262,0.9762547818591789
Gemma4-E4B,1,5,5,1263,0.942491904702098
Gemma4-E4B,2,5,0,1254,0.9433453767460624
Gemma4-E4B,2,5,0,1255,0.9756756397689896
Gemma4-E4B,2,5,0,1256,0.9414288665916333
Gemma4-E4B,2,5,0,1257,0.9589325322728653
Gemma4-E4B,2,5,0,1258,0.9291642120185015
Gemma4-E4B,2,5,0,1259,0.9151803438397069
Gemma4-E4B,2,5,0,1260,0.957518892320976
Gemma4-E4B,2,5,0,1261,0.9679011457766773
Gemma4-E4B,2,5,0,1262,0.9306390173373549
Gemma4-E4B,2,5,0,1263,0.9317380344103714
Gemma4-E4B,3,5,3,1254,0.9138565595489805
Gemma4-E4B,3,5,3,1255,0.9570823594461906
Gemma4-E4B,3,5,3,1256,0.9232223379864267
Gemma4-E4B,3,5,3,1257,0.9443200657943006
Gemma4-E4B,3,5,3,1258,0.8998295046499468
Gemma4-E4B,3,5,3,1259,0.918841680316801
Gemma4-E4B,3,5,3,1260,0.9198135054728697
Gemma4-E4B,3,5,3,1261,0.9247930020899474
Gemma4-E4B,3,5,3,1262,0.9317865237651345
Gemma4-E4B,3,5,3,1263,0.8898035662027406
Gemma4-E4B,4,11,3,1254,0.6251035658269715
Gemma4-E4B,4,11,3,1255,0.6223664952857412
Gemma4-E4B,4,11,3,1256,0.5984837692392446
Gemma4-E4B,4,11,3,1257,0.6599645963848246
Gemma4-E4B,4,11,3,1258,0.5623209471831772
Gemma4-E4B,4,11,3,1259,0.5946672978334704
Gemma4-E4B,4,11,3,1260,0.5736822395712409
Gemma4-E4B,4,11,3,1261,0.8467829729546466
Gemma4-E4B,4,11,3,1262,0.6695453502895689
Gemma4-E4B,4,11,3,1263,0.665973461546777
Gemma4-E4B,5,11,2,1254,0.504070077895389
Gemma4-E4B,5,11,2,1255,0.5444027791030905
Gemma4-E4B,5,11,2,1256,0.40472911825293634
Gemma4-E4B,5,11,2,1257,0.40730012904379576
Gemma4-E4B,5,11,2,1258,0.44549820357667613
Gemma4-E4B,5,11,2,1259,0.4453548679373512
Gemma4-E4B,5,11,2,1260,0.49901907917976585
Gemma4-E4B,5,11,2,1261,0.5094037306465171
Gemma4-E4B,5,11,2,1262,0.5202923046359146
Gemma4-E4B,5,11,2,1263,0.5385744280264249
Gemma4-E4B,6,17,1,1254,0.5258319321307772
Gemma4-E4B,6,17,1,1255,0.4786563740843898
Gemma4-E4B,6,17,1,1256,0.5077818338643137
Gemma4-E4B,6,17,1,1257,0.3621309206876302
Gemma4-E4B,6,17,1,1258,0.5044093464545392
Gemma4-E4B,6,17,1,1259,0.4706299624103889
Gemma4-E4B,6,17,1,1260,0.5583081070287165
Gemma4-E4B,6,17,1,1261,0.4057297220766216
Gemma4-E4B,6,17,1,1262,0.5783055270876859
Gemma4-E4B,6,17,1,1263,0.6501819214690927
Gemma4-E4B,7,17,3,1254,0.5678396542442764
Gemma4-E4B,7,17,3,1255,0.542766653065781
Gemma4-E4B,7,17,3,1256,0.5987112217925455
Gemma4-E4B,7,17,3,1257,0.396157760245869
Gemma4-E4B,7,17,3,1258,0.4455386170181589
Gemma4-E4B,7,17,3,1259,0.3579372794970458
Gemma4-E4B,7,17,3,1260,0.5491439114644303
Gemma4-E4B,7,17,3,1261,0.25981035771745764
Gemma4-E4B,7,17,3,1262,0.4701654763099528
Gemma4-E4B,7,17,3,1263,0.4690761096617931
Gemma4-E4B,8,5,1,1254,0.4548624111208916
Gemma4-E4B,8,5,1,1255,0.45327209329463686
Gemma4-E4B,8,5,1,1256,0.4648537035058771
Gemma4-E4B,8,5,1,1257,0.46393500192973336
Gemma4-E4B,8,5,1,1258,0.465138247539314
Gemma4-E4B,8,5,1,1259,0.4263107501548392
Gemma4-E4B,8,5,1,1260,0.4749004944113473
Gemma4-E4B,8,5,1,1261,0.4962283398995342
Gemma4-E4B,8,5,1,1262,0.3718300571508209
Gemma4-E4B,8,5,1,1263,0.4455456142180324
Gemma4-E4B,9,11,0,1254,0.32552984533753754
Gemma4-E4B,9,11,0,1255,0.23460853812556692
Gemma4-E4B,9,11,0,1256,0.2511528431712411
Gemma4-E4B,9,11,0,1257,0.24091483952175813
Gemma4-E4B,9,11,0,1258,0.2222058950773132
Gemma4-E4B,9,11,0,1259,0.22393283494450306
Gemma4-E4B,9,11,0,1260,0.25979867076098734
Gemma4-E4B,9,11,0,1261,0.32439763877047706
Gemma4-E4B,9,11,0,1262,0.2923266336983758
Gemma4-E4B,9,11,0,1263,0.3589372486784848
Gemma4-E4B,10,17,5,1254,0.48521852387967446
Gemma4-E4B,10,17,5,1255,0.47232985803066035
Gemma4-E4B,10,17,5,1256,0.5795873225544655
Gemma4-E4B,10,17,5,1257,0.31136523989696935
Gemma4-E4B,10,17,5,1258,0.4104141487262886
Gemma4-E4B,10,17,5,1259,0.27500401787587736
Gemma4-E4B,10,17,5,1260,0.5136963846528778
Gemma4-E4B,10,17,5,1261,0.2268243550709003
Gemma4-E4B,10,17,5,1262,0.42819343288362866
Gemma4-E4B,10,17,5,1263,0.4261089277165831
